Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Yellow,6,What color is insect blood? ,150,0.69,10,55325.799999952316,,t,W,4088.9000000953674,70116.20000004768,61939.39999997616,65946.79999995232,3,2938.3000000715256,HRV,HRV_0215,2022-11-30 18:42:11
Pieces of Skylab fell there,1,"Why did the Shire of Esperance, in Western Australia, issue the United States a $400 fine for littering in 1979?",391,1.885,11,70116.20000004768,,q,S,2464.7999999523163,74993.0,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Adam,3,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,0.608,12,74993.10000002384,,q,S,3082.7999999523163,79207.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
ZZ Top,2,What musical group chose their name deliberately so that they would appear last in alphabetical listings?,234,1.862,13,79207.39999997616,,q,S,4076.7000000476837,85670.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
cooking,2,"If you suffer from Mageirocophobia, what are you scared of?",438,1.728,14,85670.5,,t,W,3361.0,100534.89999997616,91544.60000002384,95564.0,3,2730.7000000476837,HRV,HRV_0215,2022-11-30 18:42:11
Thomas Crapper,6,What was the unfortunate name of the plumber who helped popularize and improve the flush toilet? ,294,1.955,15,100534.89999997616,,q,S,3557.5,106583.60000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Cheetah,2,Which is the only cat that cannot retract its claws? ,344,1.684,16,106583.70000004768,,t,W,4005.899999976158,121038.5,113104.0,117120.39999997616,3,1711.2000000476837,HRV,HRV_0215,2022-11-30 18:42:11
San Francisco Bay ,1,"What bay is Otis Redding serenading in ""(Sittin' on) the Dock of the Bay""? ",142,1.233,17,121038.60000002384,,q,S,4530.100000023842,127338.79999995232,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Pressure,7,What is measured in millibars? ,202,0.685,18,127339.0,,q,S,1636.6000000238419,130182.0,,,,,HRV,HRV_0215,2022-11-30 18:42:11
On a Jell-O box,6,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,1.447,19,130182.0,,q,S,5042.700000047684,137208.20000004768,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Cygnet ,3,What is the name given to a young swan? ,207,0.671,20,137208.20000004768,,q,S,2042.5,140448.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Adding olive juice,4,What turns a plain martini into a dirty martini?,440,1.108,21,140448.39999997616,,q,S,3469.0,145542.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Holy Roman Emperor Henry IV ,5,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.254,22,145542.5,,t,W,3983.5,159179.89999997616,152046.70000004768,156060.70000004768,3,1330.5,HRV,HRV_0215,2022-11-30 18:42:11
Silicon,5,What element is combined with oxygen to make up the mineral quartz?,269,1.561,23,159179.89999997616,,q,S,2323.2000000476837,163590.10000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Draw,5,What does a screever do on a sidewalk? ,167,0.69,24,163590.10000002384,,q,S,2014.1000000238419,166821.29999995232,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Broccoli! ,6,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.96,25,166821.29999995232,,q,S,2249.600000023842,171540.70000004768,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Bolivia,1,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,1.897,26,171540.79999995232,,q,S,3866.3000000715256,177835.29999995232,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Japan,3,Where is the longest suspension bridge? ,319,1.652,27,177835.29999995232,,q,S,1531.7000000476837,181536.10000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Woodrow Wilson ,5,"Which U.S. president declared the first national ""Mother's Day""?  ",355,0.659,28,181536.20000004768,,q,S,2406.2999999523163,185132.29999995232,,,,,HRV,HRV_0215,2022-11-30 18:42:11
lobster,3,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.715,29,185132.29999995232,,t,W,4416.100000023842,199829.20000004768,192068.89999997616,196081.39999997616,4,1495.8999999761581,HRV,HRV_0215,2022-11-30 18:42:11
potein,5,"What nutrient comes from meat, eggs, and fish?",433,0.628,30,199829.20000004768,,q,S,2836.0,203811.0,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Pepper and Mustard,6,What are the top two most popular spices in the world?,422,1.675,31,203811.10000002384,,q,S,2276.2999999523163,208273.0,,,,,HRV,HRV_0215,2022-11-30 18:42:11
popscicle,1,What food was invented by an 11 year old in 1905?,450,1.154,32,208273.0,,t,W,3627.5,220602.39999997616,214415.10000002384,218431.29999995232,4,504.10000002384186,HRV,HRV_0215,2022-11-30 18:42:11
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,7,What is the most fattening product in the modern diet?,457,0.882,33,220602.39999997616,,t,W,3485.899999976158,233301.5,226619.20000004768,230636.39999997616,3,1258.1000000238419,HRV,HRV_0215,2022-11-30 18:42:11
Germany,7,Which European country was the first to produce decaffeinated coffee? ,412,1.477,34,233301.5,,q,S,3321.7000000476837,238621.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The Notorious BIG,4,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,0.897,35,238622.0,,q,S,3504.2999999523163,243552.70000004768,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Gabriele Falloppio ,1,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.581,36,243552.79999995232,,q,S,3338.8000000715256,248988.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Twenty-fourth ,7,Which Constitutional Amendment deals with poll taxes? ,335,1.099,37,248988.39999997616,,q,S,2060.399999976158,252684.70000004768,,,,,HRV,HRV_0215,2022-11-30 18:42:11
James Buchanan ,7,Who was the only U.S. president never to be married?,383,1.062,38,252684.70000004768,,q,S,4290.899999976158,258565.79999995232,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Haddock,1,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,0.859,39,258565.79999995232,,t,W,4029.5,271688.39999997616,265117.2999999523,269132.2000000477,4,1177.5999999046326,HRV,HRV_0215,2022-11-30 18:42:11
Tuesday,3,Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ,43,0.957,40,271688.5,,q,S,3507.2000000476837,276674.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Hawaii,2,Where is the only royal palace in the United States? ,321,0.853,41,276674.39999997616,,q,S,2439.399999976158,280486.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Michael Dell,5,What founder of PCs Limited went on to become the youngest Fortune 500 CEO in history?,180,1.554,42,280486.5,,q,S,3139.600000023842,285700.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Apple sauce,7,What was the first food eaten in space?,435,1.474,43,285700.89999997616,,q,S,2695.5,290392.60000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
An ostrich egg yolk ,4,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,1.484,44,290392.60000002384,,q,S,2887.600000023842,295298.7000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Silver,4,What metal was found in Nevada's famed Comstock Lode?  ,230,0.643,45,295298.7000000477,,q,S,2869.1999999284744,299332.7000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Mushrooms which have been exposed to light,3,What is the only non-animal natural source of vitamin D?,459,1.324,46,299332.7999999523,,q,S,2312.9000000953674,303489.60000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Westminster Kennel Club dog show ,7,What is the second oldest continuously held American sporting event?  ,214,1.896,47,303489.60000002384,,q,S,3935.399999976158,309847.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
American Beauty,5,What Oscar-winning Best Picture is named for a type of rose? ,240,1.056,48,309847.39999997616,,q,S,2317.8000000715256,313744.10000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Buck,6,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,0.577,49,313744.2000000477,,q,S,3224.399999976158,318078.2999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Lhasa Apso,1,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,1.771,50,318078.39999997616,,q,S,3077.7000000476837,323455.7000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Egypt,5,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,1.781,51,323455.7999999523,,q,S,3259.5,329024.10000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Monrovia,3,What African capital city is named after a U.S. president? ,128,1.558,52,329024.10000002384,,q,S,3600.0,334722.2000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Orca (Killer Whale) ,3,Which is the largest species of dolphin? ,343,1.483,53,334722.2000000477,,t,W,3723.899999976158,347755.2000000477,340969.60000002384,344987.2999999523,3,760.9000000953674,HRV,HRV_0215,2022-11-30 18:42:11
A paper clip,1,"In 1849, Walter Hunt received a patent for turning a single piece of wire into what?",49,1.617,54,347755.2000000477,,q,S,2554.899999976158,352440.60000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Stratosphere,6,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",64,1.224,55,352440.60000002384,,q,S,2340.6999999284744,356529.2000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Museum of Modern Art in NYC ,2,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.494,56,356529.2999999523,,q,S,2436.5,360992.7999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Grace Kelly ,4,What was the name of the American actress who was first to appear on a postage stamp?  ,288,1.086,57,360992.7999999523,,q,S,2954.5,365562.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Marven (Marvin) Gardens,7,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,0.728,58,365563.0,,q,S,4266.200000047684,371084.7999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Pinko,4,What five-letter word did Time magazine coin in 1926 to refer to left-leaners? ,177,0.507,59,371084.7999999523,,q,S,3164.4000000953674,375281.2999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Chitty Chitty Bang Bang ,4,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.874,60,375281.2999999523,,q,S,3768.600000023842,381447.0,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The old-fashioned,2,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,1.288,61,381447.0,,q,S,2941.7999999523163,386188.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Thomas Nast ,4,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,1.944,62,386188.89999997616,,q,S,3848.3000000715256,392497.7999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Captain Cook ,6,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,1.664,63,392497.7999999523,,q,S,2812.3000000715256,397494.2000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The Beatles' Rain ,3,What was the first rock song ever to feature hidden messages in the form of back-masked vocals?  ,284,1.582,64,397494.2000000477,,q,S,3693.899999976158,403306.7999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Ozone,7,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,1.22,65,403306.89999997616,,q,S,4258.5,409324.2999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
citrus fruit (scurvy is caused by a lack of vitamin c),4,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,0.859,66,409324.2999999523,,q,S,3557.600000023842,414271.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Equal Employment Opportunity Commission ,6,"What federal agency, which targets workplace discrimination, was chaired by Clarence Thomas for most of the 1980s?",176,1.764,67,414271.39999997616,,q,S,3080.399999976158,419638.2000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The crust and the mantle,7,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,1.531,68,419638.2000000477,,q,S,2316.6999999284744,424002.0,,,,,HRV,HRV_0215,2022-11-30 18:42:11
over 10 billion donuts. ,3,How many donuts are concumed in the US every year?,463,0.555,69,424002.0,,q,S,2818.600000023842,427893.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
An otter,5,What animal lives in a holt? ,133,0.649,70,427893.89999997616,,q,S,2533.2000000476837,431619.60000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Nuclear Disarmament,5,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.679,71,431619.60000002384,,q,S,2264.6999999284744,436097.2999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Pig,3,What is the only type of animal besides a human that can get a sunburn?,212,1.957,72,436097.2999999523,,q,S,2853.7000000476837,441436.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Eddie Van Halen,4,"Who performs the guest guitar solo on Michael Jackson's ""Beat It""?  ",371,1.882,73,441436.5,,q,S,2915.5,446760.0,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Midnight Cowboy ,5,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,1.566,74,446760.10000002384,,q,S,2259.399999976158,451105.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Coca-cola,7,What popular drink was first marketed as a brain tonic?,405,0.814,75,451105.89999997616,,q,S,2145.2000000476837,454589.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Every jar of peanut butter must be at least 90% peanuts,2,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.242,76,454589.89999997616,,t,W,4472.800000071526,468316.60000002384,461575.60000002384,465597.39999997616,4,953.5,HRV,HRV_0215,2022-11-30 18:42:11
Aluminum,2,Bauxite ore is mined so it can be processed into what metal?,25,1.727,77,468316.60000002384,,q,S,3144.899999976158,473715.2000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Rhesus antigens (Rh or RhD),6,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,0.527,78,473715.2000000477,,q,S,2471.7999999523163,477241.39999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Mung beans ,7,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.136,79,477241.39999997616,,q,S,1892.5,480804.2999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Shaving,5,"The average male spends 2,965 hours doing what over the course of his lifetime?",92,1.287,80,480804.2999999523,,t,W,3513.4000000953674,494135.89999997616,486856.39999997616,490864.39999997616,2,1469.8999999761581,HRV,HRV_0215,2022-11-30 18:42:11
Dragees,4,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.912,81,494135.89999997616,,q,S,3240.899999976158,499822.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Canadian Oil,1,What is canola an abbreviation for?,436,1.977,82,499822.5,,q,S,1749.2999999523163,504075.89999997616,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Iraq,4,In which country were the Hanging Gardens of Babylon located?,69,1.426,83,504075.89999997616,,q,S,2003.2000000476837,508026.10000002384,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Yahoo!,3,What Internet portal was sued for copyright infringement in 2000 by the star of Young Einstein? ,190,1.91,84,508026.2000000477,,q,S,3538.1999999284744,513993.7999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Charles Babbage ,7,"What inventor of the Difference Engine once baked himself in an oven for five minutes, ""to see what would happen""?",192,0.733,85,513993.7999999523,,q,S,3348.0,518599.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Roulette,2,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,1.896,86,518599.5,,q,S,3521.100000023842,524537.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Cayenne pepper ,1,What spice is named for the capital of French Guiana? ,409,0.563,87,524537.6000000238,,q,S,2398.399999976158,528039.7000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Latex. This is known as the latex-fruit syndrome. ,7,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.465,88,528039.7000000477,,q,S,3142.899999976158,533167.1000000238,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The World Almanac and Book of Facts,3,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.257,89,533167.1000000238,,q,S,2197.5,537156.7000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Peanuts ,3,What snack food is an ingredient in the explosive dynamite?  ,408,1.783,90,537156.7000000477,,t,W,4106.599999904633,550873.7999999523,543783.1000000238,547796.1000000238,3,766.1000000238419,HRV,HRV_0215,2022-11-30 18:42:11
Don Adams,3,Who provided the voice for cartoon character Inspector Gadget? ,372,1.79,91,550873.7999999523,,q,S,2302.8000000715256,555494.1000000238,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Sic semper tyrannis ,1,What state motto of Virginia did John Wilkes Booth shout as he jumped from Lincoln's box to the stage of Ford's Theatre? ,262,1.844,92,555494.1000000238,,q,S,1561.3999999761581,559421.8999999762,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Habanero,5,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.223,93,559422.0,,q,S,2010.7999999523163,563172.7000000477,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Plumbing,3,"What common English word derives from the Latin for ""lead"", for the Roman practice of making water pipes out of lead?",153,1.942,94,563172.7000000477,,q,S,2798.1999999284744,568429.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Bruce Springsteen's Born in the USA ,1,What was the first CD pressed for commerical release in the U.S.?,282,0.508,95,568429.5,,q,S,2151.0,571608.5,,,,,HRV,HRV_0215,2022-11-30 18:42:11
Crocodiles,5,"Which animals swallow large stones, which remain in their bellies and are thought to be used as ballasts for diving?",330,1.42,96,571608.5,,q,S,3944.0,577501.6000000238,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The Chesapeake Bay,3,What bay is actually the United States's largest tidal estuary? ,141,0.95,97,577501.7000000477,,q,S,2229.0999999046326,581208.7999999523,,,,,HRV,HRV_0215,2022-11-30 18:42:11
"Gail Borden, Jr. ",6,Who invented condensed milk in 1856? ,414,1.345,98,581208.7999999523,,q,S,2560.0,585629.1000000238,,,,,HRV,HRV_0215,2022-11-30 18:42:11
The popsicle,2,Which popular treat was invented by an 11-year-old in California? ,413,1.546,99,585629.1000000238,,q,S,3005.600000023842,590702.6000000238,,,,,HRV,HRV_0215,2022-11-30 18:42:11
60 fragments per 100 gram ,2,What amount of insects does the FDA allow in chocolate,453,1.536,100,590702.7000000477,,t,W,3174.6999999284744,603753.2999999523,596403.1000000238,600408.7000000477,4,1277.0,HRV,HRV_0215,2022-11-30 18:42:11
