Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
"A peanut is a legume, not a nut",4,What type of food is a peanut?,447,1.402,11,267630,,279153,t,W,2238.0,272394.0,276406.0,5,814.0,HRV,HRV_0063,2022-11-30 17:36:15
Happy Birthday,2,What was the first song ever performed in outer space? ,285,1.156,12,279153,,282871,p,K,2041.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
An ostrich egg yolk ,3,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,0.769,13,282871,,286171,p,K,1990.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
On a Jell-O box,7,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.541,14,286171,,289267,p,K,2031.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Paper,4,"What invention should make Ts'ai Lun, a second-century inventor, a household name? ",191,0.971,15,289267,,292265,p,K,1510.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
San Fancisco,3,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.845,16,292265,,296551,p,K,1909.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Canadian Oil,7,What is canola an abbreviation for?,436,0.588,17,296551,,299257,p,K,1599.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
George H.W. Bush ,3,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,0.936,18,299257,,302999,p,K,2289.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Oregon ,6,"The world's smallest park, measuring two feet in diameter, is located in what U.S. state? ",112,1.201,19,302999,,314087,t,W,2051.0,307562.0,311605.0,4,761.0,HRV,HRV_0063,2022-11-30 17:36:15
Japan ,7,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,1.372,20,314087,,317684,q,S,1704.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Coca-Cola,4,"The BBC once banned the Beatles' ""Come Together"" for ""advertising"" what product in the lyrics?",93,0.772,21,317684,,321054,p,K,2068.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The Super Bowl ,2,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,1.332,22,321054,,325071,q,S,2159.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Uncle Tom's Cabin ,4,What was the first American novel to sell one million copies? ,281,0.76,23,325071,,328991,p,K,2635.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Grace Kelly ,3,What was the name of the American actress who was first to appear on a postage stamp?  ,288,1.252,24,328991,,333877,p,K,3115.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Sapphire,4,What type of stone is referred to as the Star of India?  ,270,1.072,25,333877,,337598,p,K,2118.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
"Portland, Oregon",3,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.892,26,337598,,342254,p,K,2233.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Newborns ,6,The apgar score is used to measure the color and condition of what? ,91,1.486,27,342254,,354233,t,W,2573.0,347339.0,351350.0,4,877.0,HRV,HRV_0063,2022-11-30 17:36:15
Every jar of peanut butter must be at least 90% peanuts,2,What percentage of peanuts is found in a standard jar of peanut butter?,423,0.563,28,354233,,357377,p,K,2051.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
It sits beside the Finger Lakes ,7,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,1.83,29,357377,,362104,p,K,2283.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Rat,4,Which animal can go longer without water than a camel can? ,323,1.926,30,362104,,366113,p,K,1554.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Cell,5,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,1.309,31,366113,,369871,p,K,1927.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Nutmeg,2,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.618,32,369872,,373089,p,K,2067.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Lou Gehrig,4,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,1.065,33,373089,,376470,p,K,1796.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
AstroTurf ,1,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,0.939,34,376470,,379791,p,K,1859.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Liberia,2,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",27,0.522,35,379791,,382691,p,K,1851.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The Guinness Book of World Records,4,What did Ross and Norris McWhirter compile as a promotional giveaway in 1955? ,164,1.921,36,382691,,394606,t,W,2178.0,387391.0,391412.0,3,759.0,HRV,HRV_0063,2022-11-30 17:36:15
Bright red,5,Vitamin A is largely available in natural food sources with which colour?,448,1.484,37,394606,,398458,q,S,1837.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Apple sauce,4,What was the first food eaten in space?,435,0.968,38,398458,,401974,p,K,2017.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Ronin,6,"What Japanese word for ""wave person"" refers to a masterless samurai?  ",219,1.385,39,401974,,406310,p,K,2419.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
A Spoonful of Sugar ,4,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,0.831,40,406310,,409182,p,K,1514.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Escape,1,"What word is the actual title of the 1979 hit usually called ""The Pina Colada Song""?   ",299,1.152,41,409182,,412753,p,K,1898.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
popscicle,3,What food was invented by an 11 year old in 1905?,450,1.111,42,412753,,416368,p,K,1991.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Tea leaves,2,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.534,43,416368,,420290,q,S,1837.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Lhasa Apso,7,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,1.062,44,420291,,424439,p,K,2562.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Snoopy's,3,"Whose doghouse apparently contains a basement, a pool table, an Andrew Wyeth painting, and a Jacuzzi?",387,1.124,45,424439,,436266,t,W,2281.0,429240.0,433266.0,4,1345.0,HRV,HRV_0063,2022-11-30 17:36:15
the skin and bones of animals,1,What is gelatin made from?,445,0.969,46,436267,,439391,p,K,1644.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Adam,7,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.365,47,439391,,443734,p,K,2456.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Radar,3,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,1.021,48,443734,,447377,p,K,2092.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Library of Congress,6,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",48,1.39,49,447377,,452145,p,K,2850.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The dodo,4,"What is believed to have received its name from the Portuguese word for ""simpleton""? ",199,1.672,50,452145,,456121,q,S,1772.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Dorito is Spanish for little golden things,4,What does Dorito actually mean?,434,1.431,51,456121,,460222,p,K,2146.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
over 10 billion donuts. ,5,How many donuts are concumed in the US every year?,463,1.89,52,460222,,464514,p,K,1823.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The Atlas,1,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,0.901,53,464514,,467631,p,K,1692.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Lolita by Vladimir Nabokov,2,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,0.701,54,467631,,470790,q,S,1940.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Bed ,4,"Shakespeare mentioned his wife only once in his will, making her the odd bequest of his ""second best"" what? ",82,1.145,55,470790,,474298,p,K,1849.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
On Christ's crucifix ,2,"Where did the abbreviation ""INRI"" traditionally appear? ",315,0.766,56,474298,,484745,t,W,1940.0,478772.0,482782.0,4,683.0,HRV,HRV_0063,2022-11-30 17:36:15
Thomas Hardy,5,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",116,1.549,57,484745,,489024,p,K,2187.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Marven (Marvin) Gardens,6,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.259,58,489025,,492705,p,K,1898.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Stratosphere,7,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",64,1.769,59,492705,,497151,q,S,2149.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Anaconda,6,Which species of snake gives birth to its young instead of laying eggs?  ,353,1.955,60,497151,,502722,p,K,3097.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Mushrooms which have been exposed to light,3,What is the only non-animal natural source of vitamin D?,459,1.084,61,502722,,506756,q,S,2427.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Brigham Young University,2,What is the most sober school according to The Princeton Review? ,206,1.546,62,506756,,510762,p,K,1933.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The Korean War,2,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,0.989,63,510762,,513785,p,K,1513.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
South Africa,5,In what country was the largest rough diamond ever discovered?,62,0.667,64,513785,,517009,p,K,1998.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Untethered space walk,2,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,1.757,65,517010,,521304,p,K,2031.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Cricket,4,"What sport used the term ""home run"" long before baseball?  ",260,0.677,66,521304,,524322,p,K,1823.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Gecko,1,What is the only type of lizard that has a voice? ,213,1.679,67,524323,,535848,t,W,2101.0,528960.0,532995.0,5,651.0,HRV,HRV_0063,2022-11-30 17:36:15
Vietnam,5,"In what country did the domesticated ""potbellied pig"" originate?",61,1.103,68,535848,,539567,q,S,2092.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Everything ,3,Pantophobia is the fear of what?,79,1.373,69,539567,,543096,p,K,1638.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
"the white flesh that houses the seeds, known as the placenta",1,What is the hottest part of a chili?,432,1.597,70,543096,,547235,p,K,1970.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Xanadu ,6,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,123,1.427,71,547241,,550925,p,K,1715.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
It's stamped on the coin's edge.,7,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,1.687,72,550925,,556050,p,K,2913.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Let's spend some time together,2,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,0.881,73,556050,,559714,p,K,2233.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The old-fashioned,3,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,0.947,74,559714,,562769,p,K,1593.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The crocodile,1,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.829,75,562769,,567119,p,K,2009.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
60 fragments per 100 gram ,4,What amount of insects does the FDA allow in chocolate,453,1.314,76,567119,,571290,p,K,2344.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Teapot Dome scandal,7,Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ,19,1.088,77,571290,,574937,q,S,2032.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
The Hindenburg explosion,7,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.323,78,574937,,578587,p,K,1801.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Asparagus,6,what vegetable loses its flavour the quickest?,451,1.475,79,578587,,583558,q,S,2963.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Luxor,1,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,1.372,80,583558,,587662,p,K,2219.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Matches,1,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,1.254,81,587662,,591525,p,K,2070.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Bono ,3,What singer took his stage name from a Dublin hearing aid billboard?  ,257,1.441,82,591525,,595414,p,K,1914.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Jamaica Bay,4,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,1.414,83,595414,,598878,q,S,1509.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
Germany,1,Which European country was the first to produce decaffeinated coffee? ,412,1.375,84,598878,,602602,p,K,1828.0,,,,,HRV,HRV_0063,2022-11-30 17:36:15
