Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Midnight Cowboy ,1,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,0.989,14,113331.79999995232,t,W,2827.7000000476837,125878.29999995232,118677.69999992847,122691.09999990463,2,1679.8000000715256,,HRV,HRV_0125,2022-11-30 18:13:24
Australia,3,What country has six sheep for every human? ,158,0.83,15,125878.39999997616,t,W,4450.799999952316,139024.19999992847,132859.29999995232,136871.5,4,799.3999999761581,,HRV,HRV_0125,2022-11-30 18:13:24
Poison-arrow frog,3,"Which animal's poison could kill up to 2,200 people? ",329,0.753,16,139024.39999997616,t,W,1953.6000000238419,149797.09999990463,143507.0,147516.29999995232,1,996.2000000476837,,HRV,HRV_0125,2022-11-30 18:13:24
Come by her,5,"The title of the song ""Kumbaya"" is actually a distortion of what three-word phrase?",106,1.776,17,149797.09999990463,q,S,1546.8000000715256,153652.39999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
It causes sour foods subsequently consumed to taste sweet. ,7,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,1.971,18,153652.39999997616,q,S,1563.8999999761581,157720.29999995232,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The bishop,5,Which chess piece was originally called 'the elephant'? ,334,1.672,19,157720.29999995232,q,S,2280.2000000476837,162214.79999995232,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Ampersand (&),4,"What began as a ligature of the letters ""e"" and ""t""?",144,1.111,20,162214.79999995232,t,W,3080.2999999523163,174333.09999990463,167807.39999997616,171817.5,1,889.7999999523163,,HRV,HRV_0125,2022-11-30 18:13:24
Near Alaska,5,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,1.855,21,174333.09999990463,q,S,1576.4000000953674,178277.79999995232,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
School buses were painted yellow,2,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,9,1.478,22,178277.79999995232,q,S,2030.7999999523163,182307.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Jim Lovell,2,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.548,23,182307.0,q,S,1849.7999999523163,186232.19999992847,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
KISS ,3,"According to the Guinness Book of Records, what was the loudest rock band ever?",13,0.658,24,186232.19999992847,t,W,3538.0,198178.5,192287.69999992847,196306.69999992847,1,687.6000000238419,,HRV,HRV_0125,2022-11-30 18:13:24
Strom Thurmond ,5,Who filibustered for a record twenty-four hours and eighteen minutes -- with a urine pail standing at the ready -- in the hope of preventing the Civil Rights Act of 1957?,366,0.814,25,198178.5,q,S,1731.5999999046326,201248.39999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Twenty-fourth ,5,Which Constitutional Amendment deals with poll taxes? ,335,1.664,26,201248.39999997616,q,S,1716.1999999284744,205146.19999992847,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
A paper clip,4,"In 1849, Walter Hunt received a patent for turning a single piece of wire into what?",49,0.765,27,205146.29999995232,q,S,1585.2999999523163,208033.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The Ritz (Hotel),4,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",39,0.539,28,208033.0,q,S,1721.5,210815.29999995232,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Betty Rubble,7,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,1.022,29,210815.29999995232,q,S,2890.7999999523163,215252.69999992847,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
lobster,6,Which expensive restaurant item used to be fed to pisinors and servants?,449,0.831,30,215252.69999992847,q,S,2043.6000000238419,218651.29999995232,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
James Buchanan ,5,Who was the only U.S. president never to be married?,383,0.533,31,218651.29999995232,t,W,2854.100000023842,229759.09999990463,224042.19999992847,228058.09999990463,5,640.5,,HRV,HRV_0125,2022-11-30 18:13:24
A jenny ,7,What is a female donkey called?,194,1.729,32,229759.09999990463,q,S,2691.600000023842,234709.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Sweden,1,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,1.475,33,234709.89999997616,q,S,1667.0,238383.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Vietnam,3,"In what country did the domesticated ""potbellied pig"" originate?",61,0.749,34,238383.0,q,S,3009.899999976158,242669.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Michael Dell,3,What founder of PCs Limited went on to become the youngest Fortune 500 CEO in history?,180,1.4,35,242669.89999997616,q,S,2192.899999976158,246786.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Butt,5,The adjective callipygian refers to someone who has a beautiful what? ,88,1.861,36,246787.0,q,S,1983.8999999761581,251174.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Cornea,4,What is the only part of the body that has no blood supply? ,211,1.221,37,251175.0,t,W,2963.399999976158,263188.2999999523,256670.59999990463,260682.19999992847,3,750.7000000476837,,HRV,HRV_0125,2022-11-30 18:13:24
The old-fashioned,4,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,0.584,38,263188.2999999523,q,S,1514.0,265801.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
A truce ,7,What was put in place by the Ancient Greeks before and during all Olympic festivals? ,278,1.039,39,265801.1999999285,q,S,1840.3999999761581,269205.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Everything ,3,Pantophobia is the fear of what?,79,0.846,40,269206.0,q,S,1719.2999999523163,272289.2999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
"A peanut is a legume, not a nut",1,What type of food is a peanut?,447,1.95,41,272289.39999997616,q,S,2688.100000023842,277463.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Westminster Kennel Club dog show ,2,What is the second oldest continuously held American sporting event?  ,214,1.364,42,277463.09999990463,t,W,2654.2000000476837,289076.09999990463,282648.2999999523,286656.89999997616,4,515.1000000238419,,HRV,HRV_0125,2022-11-30 18:13:24
Oxygen,5,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,0.859,43,289076.1999999285,q,S,1532.3999999761581,291995.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The Netherlands,1,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,0.534,44,291995.09999990463,q,S,1788.0,294842.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The budgerigar,1,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.777,45,294842.1999999285,q,S,2316.0,299459.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Chuck E. Cheese's,2,What restaurant chain was the brainchild of Atari founder Nolan Bushnell? ,251,1.263,46,299459.89999997616,q,S,2481.7999999523163,303717.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Honey,7,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.519,47,303717.09999990463,q,S,1932.6000000238419,307700.6999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Grace Kelly ,5,What was the name of the American actress who was first to appear on a postage stamp?  ,288,0.503,48,307700.6999999285,q,S,2413.399999976158,311149.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
"the Red Hot Chili Peppers, followed closely by Meatloaf",5,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.933,49,311149.59999990463,q,S,2968.0,316568.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Paper,3,"What invention should make Ts'ai Lun, a second-century inventor, a household name? ",191,0.845,50,316568.89999997616,q,S,1657.3999999761581,319599.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
60 fragments per 100 gram ,4,What amount of insects does the FDA allow in chocolate,453,0.769,51,319599.09999990463,q,S,1946.6000000238419,322851.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Habanero,6,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.802,52,322851.0,q,S,1515.5999999046326,326686.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Shoe sizes,1,"In Europe, but not the U.S., what are measured in ""Paris Points""?",59,1.819,53,326686.59999990463,q,S,3077.8000000715256,332101.1999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Texas,2,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",67,0.701,54,332101.1999999285,q,S,1624.1000000238419,334956.39999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
C,2,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",71,1.297,55,334956.39999997616,q,S,1970.1999999284744,338739.7999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Captain Cook ,3,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,0.737,56,338739.7999999523,q,S,1560.2000000476837,341570.2999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
USA,2,Which country invented volleyball?   ,340,0.55,57,341570.39999997616,t,W,2573.1999999284744,352573.09999990463,346674.0,350679.89999997616,1,823.7999999523163,,HRV,HRV_0125,2022-11-30 18:13:24
spiced ham,4,What two words were combined to make the word Spam?,426,1.362,58,352573.09999990463,q,S,1520.0,355972.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
A Spoonful of Sugar ,4,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,0.761,59,355972.89999997616,q,S,1677.7999999523163,358932.7999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Brigham Young University,1,What is the most sober school according to The Princeton Review? ,206,1.683,60,358932.7999999523,q,S,1671.1000000238419,362797.2999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Your blind spot,7,What's the more common name for the retinal scotoma caused by the optic nerve? ,303,1.028,61,362797.39999997616,q,S,1551.8999999761581,365888.5,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
PayPal,5,YouTube.com is the brainchild of three former employees of what other major website? ,396,1.86,62,365888.59999990463,q,S,1628.4000000953674,369902.39999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Latex. This is known as the latex-fruit syndrome. ,7,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.144,63,369902.39999997616,q,S,1922.7999999523163,373494.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Dragees,1,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.505,64,373494.59999990463,q,S,1530.2000000476837,377052.39999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The Notorious BIG,4,"Who released only a single album during his lifetime, the ominously named Ready to Die? ",373,1.618,65,377052.39999997616,q,S,1640.8999999761581,380837.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",3,Cooking which food requires over two years of training?,461,1.112,66,380837.0,t,W,1957.0,393625.89999997616,385897.5,389917.39999997616,2,2062.600000023842,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 384680, 'date time': 1669831781782}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 390386, 'date time': 1669831787488}]",HRV,HRV_0125,2022-11-30 18:13:24
Martin Luther King Jr. ,4,Who won the Nobel Peace Prize in 1964? ,386,1.671,67,393626.0,q,S,1927.3999999761581,397740.1999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Museum of Modern Art in NYC ,2,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.326,68,397740.1999999285,q,S,1524.0,401131.6999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The Loch Ness Monster,3,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,0.667,69,401131.6999999285,q,S,2473.5,404790.6999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Mountain Dew,7,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.089,70,404790.7999999523,q,S,2663.399999976158,409065.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Pumpkin,3,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,360,0.613,71,409065.59999990463,q,S,1992.2000000476837,412191.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
"The code is ""SUX"" ",4,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,0.521,72,412191.89999997616,q,S,1605.3999999761581,414846.89999997616,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Choking on food,1,"Each year, approximately 125 people die of what? ",417,1.396,73,414847.0,q,S,1639.3999999761581,418406.7999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Juvenile deliquent,7,What did popular author J.D. Salinger reveal the first two intials in his name to stand for?  ,163,1.924,74,418406.7999999523,q,S,2247.2999999523163,423098.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Ivory Coast's ,2,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",111,1.448,75,423098.0,q,S,3090.899999976158,428163.6999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Bed ,1,"Shakespeare mentioned his wife only once in his will, making her the odd bequest of his ""second best"" what? ",82,1.619,76,428163.6999999285,q,S,1601.5,431902.2999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Claudius,2,Which Roman emperor had a speech impediment?  ,351,0.812,77,431902.39999997616,t,W,1549.1000000238419,442120.7999999523,435975.09999990463,439984.7999999523,2,792.3999999761581,,HRV,HRV_0125,2022-11-30 18:13:24
"Third finger, left hand ",6,What part of his body did Keith Richards insure for a million pounds?,243,0.756,78,442120.7999999523,q,S,1838.2000000476837,445233.5,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Espresso,3,The Italian government regulates the price of what beverage?,399,0.561,79,445233.5,q,S,1671.8999999761581,447999.7999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Hey Jude,5,What Beatles song lasted the longest on the American charts? ,143,0.85,80,447999.89999997616,q,S,2054.5,451418.7999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Two of the seven cities of gold,2,What are Quivira and Cibola?  ,136,0.912,81,451418.7999999523,t,W,1893.3999999761581,462447.1999999285,455846.1999999285,459866.5,2,1143.3999999761581,,HRV,HRV_0125,2022-11-30 18:13:24
Marriage,6,Gamophobia is the fear of what?,42,1.691,82,462447.1999999285,t,W,1679.6000000238419,473594.09999990463,466653.6999999285,470666.2999999523,2,702.7000000476837,,HRV,HRV_0125,2022-11-30 18:13:24
I'm a Believer ,6,What Monkees number one hit was written by a young Neil Diamond? ,233,1.157,83,473594.09999990463,q,S,1626.6000000238419,476908.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Untethered space walk,7,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,1.974,84,476908.59999990463,q,S,1524.1000000238419,480944.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Ciabatta,4,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,0.633,85,480944.0,q,S,1737.0999999046326,483837.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Charles ,3,What river runs through Boston? ,252,1.527,86,483837.59999990463,t,W,1543.5,494580.09999990463,487903.6999999285,491913.2999999523,2,611.8999999761581,,HRV,HRV_0125,2022-11-30 18:13:24
Brazil,5,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,1.126,87,494580.09999990463,q,S,1554.5,497795.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Frankie Avalon ,1,"Who had the last number one hit of the 1950s with his song ""Why""? ",367,0.665,88,497795.6999999285,q,S,1766.7000000476837,500750.59999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Texas,3,"What state's motto is ""friendship"" since that's supposed to have been the meaning of the state's Caddo Indian name?",263,1.65,89,500750.59999990463,q,S,1823.5,504748.09999990463,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Dark Side of the Moon,6,What album spent a record 741 weeks on Billboard's Top 200 Albums chart? ,129,1.926,90,504748.1999999285,q,S,3553.100000023842,510756.2999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Social Security,3,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.722,91,510756.2999999523,q,S,1792.5,514793.1999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
George Washington,7,Who is pictured on a US Purple Heart medal? ,368,1.208,92,514793.1999999285,t,W,2405.399999976158,527472.0999999046,519722.39999997616,523738.0,1,2005.8999999761581,,HRV,HRV_0125,2022-11-30 18:13:24
Prairie dogs,1,"In 1900, Texas biologist Vernon Bailey discovered a network of tunnels the size of the state of Maryland. What had dug them?",51,0.852,93,527472.0999999046,q,S,2014.6000000238419,530862.3999999762,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Frog,4,Certain types of which animal can be frozen solid and then continue living once thawed?,30,1.893,94,530862.5,q,S,2750.899999976158,536028.0999999046,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Adam,7,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.034,95,536028.1999999285,p,K,1646.5,539236.7999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Kiwi,6,"Which bird species has survived more than 70 million years, despite the fact that it lays one egg a year and is nearly blind?",331,0.838,96,539236.7999999523,q,S,1973.8999999761581,542575.5999999046,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
James Brown,4,"When asked to define ""cool,"" what two words did James Brown use? ",312,1.707,97,542575.5999999046,p,K,3001.0,547810.0999999046,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Australia,4,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.503,98,547810.0999999046,q,S,3585.7000000476837,553430.0999999046,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
a spit,4,"If something is described as rotisserie, what has it been cooked on?",428,0.853,99,553430.1999999285,q,S,3129.3000000715256,557935.6999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Coca-cola,5,What popular drink was first marketed as a brain tonic?,405,1.209,100,557935.6999999285,q,S,3423.100000023842,563086.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Avocado,6,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,0.765,101,563086.0,q,S,2766.6999999284744,567141.7999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The Atlas,6,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",107,0.588,102,567141.8999999762,q,S,4045.100000023842,572304.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
It sits beside the Finger Lakes ,2,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,1.372,103,572304.0,q,S,1882.7999999523163,576087.2999999523,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Marven (Marvin) Gardens,7,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,0.882,104,576087.2999999523,q,S,2221.7000000476837,579709.6999999285,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Japan ,2,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,0.62,105,579709.7999999523,q,S,1708.7999999523163,582571.0,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Penny Marshall,3,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,1.471,106,582571.0999999046,q,S,1807.8000000715256,586364.5999999046,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
The crust and the mantle,5,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,0.632,107,586364.5999999046,q,S,1588.8000000715256,589116.8999999762,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Cayenne pepper ,5,What spice is named for the capital of French Guiana? ,409,1.19,108,589117.0,q,S,1675.2999999523163,592517.5,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Peregrine falcon,4,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,0.852,109,592517.5,q,S,2349.5999999046326,596249.3999999762,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
Sapphire,6,What type of stone is referred to as the Star of India?  ,270,1.94,110,596249.5,q,S,2009.1999999284744,600708.8999999762,,,,,,HRV,HRV_0125,2022-11-30 18:13:24
