Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
cooking,7,"If you suffer from Mageirocophobia, what are you scared of?",438,1.205,22,184314.90000009537,p,K,1964.0999999046326,188016.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Bookkeeper,4,What is the only English word with three consecutive double letters?  ,209,1.549,23,188016.5,p,K,1952.6000001430511,192051.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Gerald Ford ,4,What president was shot while walking to California Governor Jerry Brown's office?  ,247,1.826,24,192051.5,p,K,2912.9000000953674,197325.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Gone with the Wind,2,The first swear word on the big screen was in what movie?,100,1.37,25,197325.40000009537,p,K,1779.2999999523163,201001.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
popscicle,7,What food was invented by an 11 year old in 1905?,450,1.442,26,201001.10000014305,p,K,3822.5,206792.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Avocados have twice the amount of potassium as bananas. ,6,Which fruit has more potassium than bananas?,455,0.704,27,206792.60000014305,p,K,2239.7000000476837,210248.20000004768,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Tears,1,"At 6-8 weeks, babies start producing what? ",23,1.864,28,210248.20000004768,p,K,2822.7000000476837,215448.10000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Coca-cola,6,What popular drink was first marketed as a brain tonic?,405,0.504,29,215448.10000014305,p,K,3198.2999999523163,219674.90000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Bumblebee bat,3,"Which mammal is the world's smallest, weighing less than a penny? ",347,1.518,30,219674.90000009537,p,K,2230.4000000953674,223951.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Habanero,6,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,0.79,31,223951.40000009537,p,K,2053.0999999046326,227324.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Pandemonium,6,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,1.022,32,227324.60000014305,p,K,1532.7999999523163,230397.30000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
spiced ham,7,What two words were combined to make the word Spam?,426,0.823,33,230397.30000019073,p,K,2023.7999999523163,233778.10000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Jamaica Bay,5,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,1.239,34,233778.10000014305,p,K,2587.5,238193.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The Millenium Falcon ,7,"What could be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",156,0.573,35,238193.60000014305,p,K,2928.0999999046326,242226.30000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Shaving,7,"The average male spends 2,965 hours doing what over the course of his lifetime?",92,1.606,36,242226.30000019073,p,K,3261.399999856949,247627.90000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Tea leaves,6,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.971,37,247628.0,p,K,2612.4000000953674,252728.30000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The Blair Witch Project,6,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,1.886,38,252728.30000019073,p,K,1807.2999999523163,256951.10000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Choking on food,7,"Each year, approximately 125 people die of what? ",417,1.063,39,256951.20000004768,t,W,1820.9000000953674,268546.2000000477,261297.40000009537,265318.90000009537,5,1641.9000000953674,,HRV,HRV_0032,2022-11-30 18:08:13
Molasses,4,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",10,1.681,40,268546.40000009537,p,K,1904.0,272656.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
"the Red Hot Chili Peppers, followed closely by Meatloaf",6,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,0.926,41,272656.40000009537,t,W,1829.5999999046326,283667.90000009537,277015.90000009537,281041.30000019073,4,1173.2999999523163,,HRV,HRV_0032,2022-11-30 18:08:13
Stratosphere,4,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",64,1.656,42,283668.0,q,S,2161.300000190735,288012.30000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
chickpeas,1,What is used to make hummus?,424,1.352,43,288012.40000009537,p,K,1845.5999999046326,291743.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Ginseng ,3,"What plant takes its name for the Chinese words for ""man root""? ",245,0.5,44,291743.30000019073,p,K,1617.3999998569489,294378.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Giant squid,3,What is the largest creature without a backbone? ,203,1.618,45,294378.0,p,K,1761.7000000476837,298293.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Thomas Nast ,3,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,0.959,46,298293.40000009537,t,W,1758.5,309217.60000014305,302575.5,306599.0,3,1124.4000000953674,,HRV,HRV_0032,2022-11-30 18:08:13
Social Security,1,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,0.999,47,309217.7000000477,p,K,1868.7000000476837,312617.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Equal Employment Opportunity Commission ,5,"What federal agency, which targets workplace discrimination, was chaired by Clarence Thomas for most of the 1980s?",176,1.826,48,312617.60000014305,p,K,3195.7000000476837,318174.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Charles Babbage ,2,"What inventor of the Difference Engine once baked himself in an oven for five minutes, ""to see what would happen""?",192,1.834,49,318174.60000014305,t,W,2244.5999999046326,330176.30000019073,322983.7000000477,327010.0,5,816.6000001430511,,HRV,HRV_0032,2022-11-30 18:08:13
Mars,7,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,316,0.577,50,330176.30000019073,p,K,2148.5999999046326,333415.10000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Frog,7,Certain types of which animal can be frozen solid and then continue living once thawed?,30,1.67,51,333415.10000014305,p,K,2161.2999999523163,337751.80000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Gecko,3,What is the only type of lizard that has a voice? ,213,0.631,52,337751.80000019073,p,K,1610.7999999523163,340535.7000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Liberia,6,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",27,1.311,53,340535.7000000477,p,K,2140.600000143051,344515.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Tobacco,7,"In 2005, Bhutan became the first country to entirely ban what?",57,0.884,54,344515.40000009537,p,K,1882.0,347802.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
A sneeze,7,The air expelled from what can travel at 100 mph?,90,1.256,55,347802.2000000477,p,K,2255.4000000953674,351839.80000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
France,3,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,0.856,56,351839.80000019073,,,,361371.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Don Adams,7,Who provided the voice for cartoon character Inspector Gadget? ,372,0.673,57,361371.40000009537,,,,370888.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Shoe sizes,3,"In Europe, but not the U.S., what are measured in ""Paris Points""?",59,1.132,58,370888.2000000477,p,K,3801.4000000953674,376350.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The names of the Great Lakes ,7,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,1.942,59,376350.40000009537,p,K,2463.2999999523163,381276.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
"A peanut is a legume, not a nut",5,What type of food is a peanut?,447,0.993,60,381276.60000014305,p,K,2975.2000000476837,385797.90000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Orca (Killer Whale) ,1,Which is the largest species of dolphin? ,343,0.818,61,385797.90000009537,p,K,1704.7000000476837,388842.80000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
"Portland, Oregon",4,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.596,62,388842.80000019073,p,K,1553.0,392511.30000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Botany Bay,5,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.834,63,392511.30000019073,p,K,2310.699999809265,397175.90000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Matches,4,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,0.756,64,397175.90000009537,p,K,2704.2999999523163,401167.80000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Pearl Harbor ,2,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.313,65,401167.80000019073,p,K,1888.5,404891.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Lolita by Vladimir Nabokov,3,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,1.321,66,404891.0,p,K,1569.1000001430511,408304.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Darwin's,4,"For his tenacity, 19th century biologist Thomas Huxley was nicknamed whose ""bulldog""?",40,1.396,67,408304.60000014305,t,W,2156.7000000476837,420193.10000014305,412987.30000019073,417000.90000009537,5,1286.4000000953674,,HRV,HRV_0032,2022-11-30 18:08:13
Mice,2,"After humans, what's the worlds most abundant mammal species?",16,1.632,68,420193.10000014305,p,K,1512.7000000476837,423875.10000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
ZZ Top,4,What musical group chose their name deliberately so that they would appear last in alphabetical listings?,234,0.823,69,423875.10000014305,p,K,1789.5,427013.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Rhesus antigens (Rh or RhD),6,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,0.723,70,427013.40000009537,p,K,1736.4000000953674,430006.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Model train set,7,HO scale is the world's most popular size of what?,45,0.789,71,430006.10000014305,p,K,1596.8999998569489,432920.30000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Cornea,3,What is the only part of the body that has no blood supply? ,211,1.832,72,432920.40000009537,p,K,1916.4000000953674,437196.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Gibralter,2,"Europe's only free-range monkeys are the Barbary apes, which live where?",37,1.287,73,437196.60000014305,p,K,1588.0999999046326,440583.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
at least 97%,6,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,1.815,74,440583.2000000477,p,K,1858.2999999523163,444766.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Pen(n)sylvania ,5,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.112,75,444766.60000014305,p,K,1755.2000000476837,448167.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Giant squid,1,Which animal can have eyes that are a foot in diameter? ,324,1.494,76,448167.30000019073,p,K,1575.2999999523163,451765.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,5,What is the most fattening product in the modern diet?,457,1.983,77,451765.40000009537,p,K,1630.7999999523163,455918.7000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
American Beauty,3,What Oscar-winning Best Picture is named for a type of rose? ,240,0.785,78,455918.7000000477,p,K,1973.6000001430511,459191.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
cheese ,7,What item of food holds the world record for being the most stolen item of food in the world?,444,1.214,79,459191.0,q,S,2363.300000190735,463288.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Odor Eaters ,5,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,1.722,80,463288.5,p,K,3285.5,468822.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Cygnet ,1,What is the name given to a young swan? ,207,1.42,81,468822.2000000477,q,S,3456.4000000953674,474245.7000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Catapult ,4,What artillery weapon was launched upon the world in 400 B.C.?  ,140,1.337,82,474245.80000019073,p,K,3029.7999999523163,479142.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The budgerigar,5,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.818,83,479142.60000014305,p,K,3680.5,485160.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Cockroach,5,What animal can live up to a week without its head?,131,0.547,84,485160.0,p,K,5559.5,491798.40000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Owl,5,"Which animal has tubular shaped eyeballs, which therefore cannot move?  ",325,1.162,85,491798.5,p,K,2813.4000000953674,496308.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
" ""!"" ",4,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?",35,1.327,86,496308.60000014305,p,K,1600.3999998569489,499759.0,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
James Brown,3,"When asked to define ""cool,"" what two words did James Brown use? ",312,0.672,87,499759.10000014305,p,K,1728.5999999046326,502679.80000019073,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The bishop,7,Which chess piece was originally called 'the elephant'? ,334,0.775,88,502679.80000019073,p,K,2681.899999856949,506661.10000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
St. Louis Gateway Arch ,6,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,0.545,89,506661.2000000477,q,S,1608.5,509367.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Ampersand (&),6,"What began as a ligature of the letters ""e"" and ""t""?",144,1.417,90,509367.5,p,K,6325.800000190735,517633.90000009537,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
George Marshall,6,What future secretary of state became America's first five-star general in December 1944? ,181,1.727,91,517633.90000009537,p,K,1874.0999999046326,521763.60000014305,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Ripe cranerries bounce when dropped on the ground,7,How do farmers test whether cranberries are ripe?,452,0.853,92,521763.7000000477,p,K,1568.1000001430511,524716.4000000954,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Zinfindel,5,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.002,93,524716.4000000954,t,W,1837.7999999523163,537604.9000000954,529112.2000000477,533125.7000000477,4,2958.9000000953674,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 527584.7000000477, 'date time': 1669831606583}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 535021.2000000477, 'date time': 1669831614020}]",HRV,HRV_0032,2022-11-30 18:08:13
over 10 billion donuts. ,5,How many donuts are concumed in the US every year?,463,0.908,94,537605.0,p,K,2715.7000000476837,541786.8000001907,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The paper clip,1,"""Gem"" is the trade name for the most common, three-loop design of what?",4,1.212,95,541786.9000000954,p,K,1660.5999999046326,545169.8000001907,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Eric the Red,5,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,1.475,96,545169.9000000954,p,K,1607.0,548767.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Lhasa Apso,6,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,1.317,97,548767.2000000477,p,K,1798.9000000953674,552414.600000143,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The nock,1,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,0.651,98,552414.600000143,p,K,2170.0999999046326,555748.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Japan,2,Where is the longest suspension bridge? ,319,1.951,99,555748.3000001907,p,K,1531.3999998569489,559754.100000143,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
The crocodile,6,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.408,100,559754.100000143,p,K,1948.8999998569489,563647.7000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Abraham Lincoln ,4,"What president has three ""A's"" in his first name, each of which has a different sound? ",246,0.653,101,563647.7000000477,p,K,2294.5,567119.4000000954,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
New Jersey's Rutgers,6,Which U.S. state's leading public university is the only one not to be named for the state?  ,357,1.227,102,567119.4000000954,p,K,1654.9000000953674,570531.9000000954,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Green Eggs and Ham,7,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.439,103,570531.9000000954,p,K,1990.7000000476837,574495.100000143,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Broccoli! ,4,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.741,104,574495.100000143,q,S,1675.5999999046326,578444.3000001907,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Yellow,3,What color is insect blood? ,150,1.467,105,578444.3000001907,p,K,1927.3999998569489,582378.5,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Cayenne pepper ,6,What spice is named for the capital of French Guiana? ,409,0.622,106,582378.5,p,K,1546.9000000953674,585073.2000000477,,,,,,HRV,HRV_0032,2022-11-30 18:08:13
Woodrow Wilson,3,Which U.S. president's home was named Shadow Lawn?,356,1.79,107,585073.2000000477,p,K,1737.5,589122.600000143,,,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 588714, 'date time': 1669831667713}]",HRV,HRV_0032,2022-11-30 18:08:13
Oliver!,7,What's the only Best Picture Oscar winner whose title ends with an exclamation point?  ,306,1.51,108,589122.8000001907,,,,598641.600000143,,,,,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 597590.600000143, 'date time': 1669831676589}]",HRV,HRV_0032,2022-11-30 18:08:13
Pet Rocks,6,What imports from a Baja California beach made Gary Drahl a millionaire in late 1975?,186,1.38,109,598641.600000143,t,W,1902.2000000476837,611598.100000143,603068.0,607085.0,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 602125.9000000954, 'date time': 1669831681125}]",HRV,HRV_0032,2022-11-30 18:08:13
