Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,exp,subjectId,date
Zinfindel,1,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.717,45,280008.2999999821,287136.5,q,S,4902.4000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Hong Kong ,1,What city's harbor is overlooked by Victoria Peak? ,185,0.528,46,287136.6999999881,290112.6999999881,q,S,1933.2000000178814,HRV,HRV_0221,2022-11-30 18:51:52
Graham Greene,4,"Which British novelist said, ""Fame is a powerful aphrodisiac""?",332,0.973,47,290112.6999999881,294847.7999999821,q,S,3253.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Coca-Cola,4,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.625,48,294847.90000000596,299864.7999999821,q,S,3870.5999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Australia,5,What country has six sheep for every human? ,158,1.61,49,299864.7999999821,304392.90000000596,p,K,2407.0,HRV,HRV_0221,2022-11-30 18:51:52
The Korean War,5,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,1.45,50,304392.90000000596,311752.1999999881,p,K,5399.799999982119,HRV,HRV_0221,2022-11-30 18:51:52
The Loch Ness Monster,3,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,0.847,51,311752.1999999881,319112.90000000596,p,K,6002.200000017881,HRV,HRV_0221,2022-11-30 18:51:52
Teapot Dome scandal,1,Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ,19,0.501,52,319112.90000000596,326800.2999999821,p,K,6677.0,HRV,HRV_0221,2022-11-30 18:51:52
Bumblebee bat,2,"Which mammal is the world's smallest, weighing less than a penny? ",347,1.287,53,326800.2999999821,331264.40000000596,q,S,2669.4000000059605,HRV,HRV_0221,2022-11-30 18:51:52
State quarters ,5,What's been released five times a year from January 1999 to fall 2008?,300,1.681,54,331264.40000000596,339392.09999999404,q,S,5936.399999976158,HRV,HRV_0221,2022-11-30 18:51:52
Mountain Dew,3,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.684,55,339392.09999999404,348544.1999999881,q,S,6946.699999988079,HRV,HRV_0221,2022-11-30 18:51:52
Gecko,1,What is the only type of lizard that has a voice? ,213,1.759,56,348544.6999999881,354791.7999999821,q,S,3984.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Two of the seven cities of gold,1,What are Quivira and Cibola?  ,136,0.758,57,354791.90000000596,358280.90000000596,q,S,2222.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Andy Kaufman,6,Who was banned from Saturday Night Live by viewer phone vote in 1982? ,376,1.756,58,358280.90000000596,367273.2999999821,q,S,6726.899999976158,HRV,HRV_0221,2022-11-30 18:51:52
Shenandoah Valley,2,What area changed hands 72 times during the Civil War? ,139,1.932,59,367273.40000000596,373072.40000000596,q,S,3355.399999976158,HRV,HRV_0221,2022-11-30 18:51:52
Lolita by Vladimir Nabokov,6,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,1.249,60,373072.5,378407.40000000596,p,K,3570.2999999821186,HRV,HRV_0221,2022-11-30 18:51:52
Albert Einstein,5,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,0.786,61,378407.40000000596,383527.59999999404,p,K,3819.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
honey,3,Which is the only food that can never go off or go bad?,442,0.909,62,383527.6999999881,393104.40000000596,q,S,8163.0,HRV,HRV_0221,2022-11-30 18:51:52
@,2,"in 2004, for the Internet age, what new character was added to the Morse code alphabet, the first ever official addition since world war I?",56,0.785,63,393104.40000000596,402615.59999999404,,,,HRV,HRV_0221,2022-11-30 18:51:52
Joan of Arc's ,6,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,0.955,64,402615.6999999881,407628.1999999881,q,S,3549.2000000178814,HRV,HRV_0221,2022-11-30 18:51:52
Quotations ,5,What did the letter Q originally stand for in NASDAQ?  ,165,0.996,65,407628.2999999821,413751.7999999821,q,S,4622.0,HRV,HRV_0221,2022-11-30 18:51:52
Ronin,5,"What Japanese word for ""wave person"" refers to a masterless samurai?  ",219,1.334,66,413751.7999999821,422320.59999999404,q,S,6726.800000011921,HRV,HRV_0221,2022-11-30 18:51:52
Gabriele Falloppio ,1,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,0.641,67,422320.59999999404,430183.7999999821,q,S,6711.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Dragees,3,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,0.899,68,430184.0,435248.5,p,K,3659.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Bouquet,1,"Young wines are said to have ""aroma."" What do older wines have instead?",395,0.873,69,435248.59999999404,444759.90000000596,,,,HRV,HRV_0221,2022-11-30 18:51:52
New Jersey's Rutgers,3,Which U.S. state's leading public university is the only one not to be named for the state?  ,357,0.979,70,444759.90000000596,454736.59999999404,q,S,8489.699999988079,HRV,HRV_0221,2022-11-30 18:51:52
Peregrine falcon,4,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,1.136,71,454736.7999999821,461551.59999999404,q,S,5165.300000011921,HRV,HRV_0221,2022-11-30 18:51:52
Avocados have twice the amount of potassium as bananas. ,1,Which fruit has more potassium than bananas?,455,1.524,72,461552.0,467184.2999999821,q,S,3600.0,HRV,HRV_0221,2022-11-30 18:51:52
Haddock,2,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,0.841,73,467184.40000000596,472976.7999999821,q,S,4437.5,HRV,HRV_0221,2022-11-30 18:51:52
Sixteenth,3,Which Constitutional Amendment deals with the income tax? ,336,0.527,74,472976.7999999821,476343.7999999821,p,K,2326.7000000178814,HRV,HRV_0221,2022-11-30 18:51:52
Gerald Ford ,2,What president was shot while walking to California Governor Jerry Brown's office?  ,247,1.1,75,476343.90000000596,484111.90000000596,q,S,6157.5999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Iraq,7,In which country were the Hanging Gardens of Babylon located?,69,1.667,76,484112.2999999821,490120.2999999821,p,K,3830.300000011921,HRV,HRV_0221,2022-11-30 18:51:52
PayPal,6,YouTube.com is the brainchild of three former employees of what other major website? ,396,1.079,77,490120.6999999881,499631.5,,,,HRV,HRV_0221,2022-11-30 18:51:52
citrus fruit (scurvy is caused by a lack of vitamin c),4,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,0.565,78,499631.5,503672.0,p,K,2969.0999999940395,HRV,HRV_0221,2022-11-30 18:51:52
Thrust,4,What term for a rocket's propulsive force is calculated by multiplying its exhaust velocity by the burn rate of its fuel?,265,1.741,79,503672.0,512912.2999999821,q,S,6987.799999982119,HRV,HRV_0221,2022-11-30 18:51:52
The bishop,6,Which chess piece was originally called 'the elephant'? ,334,1.402,80,512912.59999999404,518112.09999999404,q,S,3282.300000011921,HRV,HRV_0221,2022-11-30 18:51:52
Ostrich,4,Which animal's eyes are bigger than its brain?   ,327,0.933,81,518112.09999999404,522120.2999999821,q,S,2565.800000011921,HRV,HRV_0221,2022-11-30 18:51:52
Mushrooms which have been exposed to light,2,What is the only non-animal natural source of vitamin D?,459,1.366,82,522120.5,530247.900000006,q,S,6251.199999988079,HRV,HRV_0221,2022-11-30 18:51:52
Smurfette,7,"Who did Gargamel create using ingredients like crocodile tears, the tip of an adder's tongue and a hard stone for a heart?",364,1.99,83,530247.900000006,539960.0,p,K,7218.399999976158,HRV,HRV_0221,2022-11-30 18:51:52
Near Alaska,2,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,98,1.624,84,539960.0,547008.400000006,q,S,4913.699999988079,HRV,HRV_0221,2022-11-30 18:51:52
Patch Addams ,5,"What doctor, whose life was fictionalized in a 1998 film, founded the Gesundheit! Institute and named his oldest son ""Atomic Zagnut""?",166,1.338,85,547008.400000006,554680.2999999821,q,S,5825.199999988079,HRV,HRV_0221,2022-11-30 18:51:52
Tea leaves,5,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.639,86,554680.2999999821,560288.099999994,q,S,3450.300000011921,HRV,HRV_0221,2022-11-30 18:51:52
The Stanley Cup ,7,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,1.609,87,560288.1999999881,566976.099999994,q,S,4568.0,HRV,HRV_0221,2022-11-30 18:51:52
Brazil,7,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,1.493,88,566976.2999999821,574992.400000006,q,S,6011.800000011921,HRV,HRV_0221,2022-11-30 18:51:52
Brine Shrimp ,5,"What kind of animal is Artemia Salina, the ""sea monkey"" of novelty pet ad fame? ",222,1.098,89,574992.599999994,581304.599999994,q,S,4705.0,HRV,HRV_0221,2022-11-30 18:51:52
The Commodore 64 ,1,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,1.974,90,581304.599999994,589088.5,q,S,5304.9000000059605,HRV,HRV_0221,2022-11-30 18:51:52
Shark,2,"What animal is thought to be immune to most all diseases, including cancer? ",132,1.786,91,589088.599999994,597927.6999999881,q,S,6546.300000011921,HRV,HRV_0221,2022-11-30 18:51:52
Pepper and Mustard,7,What are the top two most popular spices in the world?,422,1.055,92,597927.6999999881,603048.400000006,q,S,3562.7000000178814,HRV,HRV_0221,2022-11-30 18:51:52
