Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,exp,subjectId,date
Honey,6,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.516,10,87885.40000000224,t,W,2666.699999999255,93080.19999999925,97095.60000000149,101038.5,5,1912.199999999255,HRV,HRV_0184,2022-11-30 18:35:09
Asparagus,6,what vegetable loses its flavour the quickest?,451,1.893,11,101038.80000000075,p,K,3583.39999999851,,,107047.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Pinko,7,What five-letter word did Time magazine coin in 1926 to refer to left-leaners? ,177,1.36,12,107047.80000000075,p,K,5255.5,,,114205.5,,,HRV,HRV_0184,2022-11-30 18:35:09
George Marshall,2,What future secretary of state became America's first five-star general in December 1944? ,181,1.431,13,114205.60000000149,q,S,3068.89999999851,,,119226.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Eddie Van Halen,3,"Who performs the guest guitar solo on Michael Jackson's ""Beat It""?  ",371,0.885,14,119226.5,p,K,1755.5,,,122409.10000000149,,,HRV,HRV_0184,2022-11-30 18:35:09
Haddock,2,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.005,15,122409.19999999925,t,W,1629.2000000029802,126569.5,130587.69999999925,134081.5,5,1961.9000000022352,HRV,HRV_0184,2022-11-30 18:35:09
Mars,6,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,316,0.899,16,134082.0,q,S,1693.9000000022352,,,137198.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
The Netherlands,3,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,0.859,17,137198.19999999925,p,K,1854.0,,,140451.5,,,HRV,HRV_0184,2022-11-30 18:35:09
The names of the Great Lakes ,3,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,0.901,18,140451.5,t,W,1844.9000000022352,144826.40000000224,148843.69999999925,151525.6000000015,3,1265.6000000014901,HRV,HRV_0184,2022-11-30 18:35:09
Pumpkin,3,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,360,1.182,19,151526.1000000015,p,K,1637.199999999255,,,154881.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
Botany Bay,5,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.661,20,154881.5,q,S,1546.199999999255,,,158597.69999999925,,,HRV,HRV_0184,2022-11-30 18:35:09
A castrated rooster,1,What is a capon?  ,193,1.287,21,158597.69999999925,t,W,1682.7000000029802,162810.0,166825.5,169190.40000000224,2,555.0,HRV,HRV_0184,2022-11-30 18:35:09
The I Ching,6,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",80,1.882,22,169190.40000000224,q,S,1880.199999999255,,,173488.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Matches,5,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,0.885,23,173488.40000000224,p,K,1855.7999999970198,,,176750.30000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
Germany,6,Which European country was the first to produce decaffeinated coffee? ,412,0.954,24,176750.30000000075,p,K,1616.199999999255,,,179859.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Bookkeeper,4,What is the only English word with three consecutive double letters?  ,209,1.34,25,179859.69999999925,q,S,1904.9000000022352,,,183634.90000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
The popsicle,6,Which popular treat was invented by an 11-year-old in California? ,413,0.93,26,183635.19999999925,t,W,1580.1000000014901,187748.5,191761.30000000075,194624.1000000015,5,1401.199999999255,HRV,HRV_0184,2022-11-30 18:35:09
lobster,1,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.685,27,194624.40000000224,p,K,1844.2999999970198,,,198688.80000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
Monday,2,The risk of heart attack is highest on which day of the week?,104,1.076,28,198688.80000000075,q,S,1893.300000000745,,,202193.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Mung beans ,7,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.153,29,202193.5,t,W,1748.1000000014901,206465.69999999925,210482.90000000224,213058.30000000075,3,892.7999999970198,HRV,HRV_0184,2022-11-30 18:35:09
J,2,What's the only letter that doesn't appear in the periodic table of elements?,309,1.359,30,213058.30000000075,p,K,1638.1000000014901,,,216581.30000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
Egypt,2,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,1.899,31,216581.40000000224,q,S,1767.0999999977648,,,220772.80000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
Thomas Nast ,3,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,1.959,32,220772.80000000075,t,W,1828.800000000745,225131.40000000224,229155.80000000075,232649.90000000224,5,1010.1000000014901,HRV,HRV_0184,2022-11-30 18:35:09
Peregrine falcon,1,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,1.331,33,232650.1000000015,p,K,1532.699999999255,,,236042.5,,,HRV,HRV_0184,2022-11-30 18:35:09
Apple sauce,6,What was the first food eaten in space?,435,0.703,34,236042.90000000224,q,S,1920.7999999970198,,,239187.19999999925,,,HRV,HRV_0184,2022-11-30 18:35:09
Lhasa Apso,3,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,1.789,35,239187.19999999925,t,W,1827.2000000029802,243551.6000000015,247566.5,251027.6000000015,5,1146.9000000022352,HRV,HRV_0184,2022-11-30 18:35:09
A sneeze,5,The air expelled from what can travel at 100 mph?,90,0.557,36,251027.90000000224,p,K,1698.2999999970198,,,253822.69999999925,,,HRV,HRV_0184,2022-11-30 18:35:09
The bishop,5,Which chess piece was originally called 'the elephant'? ,334,1.23,37,253822.69999999925,q,S,1976.2000000029802,,,257564.80000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
Bhutan,4,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,1.78,38,257564.80000000075,t,W,1656.699999999255,261748.80000000075,265766.80000000075,269486.6000000015,4,1413.800000000745,HRV,HRV_0184,2022-11-30 18:35:09
Snoopy's,4,"Whose doghouse apparently contains a basement, a pool table, an Andrew Wyeth painting, and a Jacuzzi?",387,1.242,39,269486.69999999925,p,K,1559.6000000014901,,,272821.0,,,HRV,HRV_0184,2022-11-30 18:35:09
Frog,3,Certain types of which animal can be frozen solid and then continue living once thawed?,30,1.025,40,272821.0,t,W,1531.199999999255,276890.69999999925,280918.0,283743.30000000075,5,1265.300000000745,HRV,HRV_0184,2022-11-30 18:35:09
@,5,"in 2004, for the Internet age, what new character was added to the Morse code alphabet, the first ever official addition since world war I?",56,1.799,41,283743.5,t,W,3210.800000000745,289481.6000000015,293491.0,296711.30000000075,1,894.8000000007451,HRV,HRV_0184,2022-11-30 18:35:09
Oregon ,6,"The world's smallest park, measuring two feet in diameter, is located in what U.S. state? ",112,1.875,42,296711.5,q,S,2008.199999999255,,,301111.90000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Shower curtain ,7,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,33,1.755,43,301112.0,p,K,2509.699999999255,,,305894.80000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
Sixteenth,5,Which Constitutional Amendment deals with the income tax? ,336,1.114,44,305895.1000000015,t,W,2011.8999999985099,310442.69999999925,314457.5,316876.30000000075,3,778.0,HRV,HRV_0184,2022-11-30 18:35:09
San Fancisco,7,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.694,45,316876.30000000075,p,K,3640.60000000149,,,322744.30000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
Liffey,1,What river runs through Dublin?   ,253,1.546,46,322744.30000000075,t,W,2597.0,327857.80000000075,331874.40000000224,334740.0,4,796.5,HRV,HRV_0184,2022-11-30 18:35:09
Broccoli! ,4,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.494,47,334740.30000000075,p,K,1857.199999999255,,,338618.30000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
The Commodore 64 ,2,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,0.723,48,338618.40000000224,q,S,1552.699999999255,,,341407.90000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Bouquet,2,"Young wines are said to have ""aroma."" What do older wines have instead?",395,0.715,49,341407.90000000224,p,K,1870.0,,,344509.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
The Hindenburg explosion,7,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.212,50,344509.40000000224,t,W,2059.89999999851,349095.40000000224,353106.30000000075,356227.30000000075,4,1376.8999999985099,HRV,HRV_0184,2022-11-30 18:35:09
Gone with the Wind,6,The first swear word on the big screen was in what movie?,100,1.071,51,356227.30000000075,p,K,1768.300000000745,,,359600.90000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Ripe cranerries bounce when dropped on the ground,3,How do farmers test whether cranberries are ripe?,452,1.216,52,359601.30000000075,q,S,2194.5,,,363535.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
Gary Busey,1,What actor campaigned against helmet laws until he was almost killed in a helmetless 1988 motorcycle accident?,127,1.95,53,363535.40000000224,t,W,1667.5,367726.40000000224,371737.0,375529.69999999925,4,1315.1000000014901,HRV,HRV_0184,2022-11-30 18:35:09
The Loch Ness Monster,2,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.945,54,375530.0,q,S,1831.199999999255,,,379839.5,,,HRV,HRV_0184,2022-11-30 18:35:09
The sky,6,The Linke Scale is used to measure the blueness of what?,101,1.801,55,379839.5,p,K,2487.300000000745,,,384665.19999999925,,,HRV,HRV_0184,2022-11-30 18:35:09
Ciabatta,7,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,1.363,56,384665.69999999925,q,S,1812.5,,,388369.0,,,HRV,HRV_0184,2022-11-30 18:35:09
Generals,4,Eleven U.S. presidents have been what before being elected?,36,1.485,57,388369.40000000224,t,W,1539.3999999985099,392434.80000000075,396460.5,399209.6000000015,2,734.5,HRV,HRV_0184,2022-11-30 18:35:09
Prairie dogs,1,"In 1900, Texas biologist Vernon Bailey discovered a network of tunnels the size of the state of Maryland. What had dug them?",51,1.909,58,399209.6000000015,p,K,2336.199999999255,,,403984.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
On Christ's crucifix ,4,"Where did the abbreviation ""INRI"" traditionally appear? ",315,1.679,59,403984.40000000224,t,W,1691.2999999970198,408201.90000000224,412209.90000000224,415139.0,2,730.6999999992549,HRV,HRV_0184,2022-11-30 18:35:09
Oxygen,4,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,1.979,60,415139.0,p,K,1951.699999999255,,,419596.6000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
Blue,5,Lobster blood is what color?,73,1.221,61,419596.90000000224,q,S,1549.8999999985099,,,422897.90000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Ronin,5,"What Japanese word for ""wave person"" refers to a masterless samurai?  ",219,0.953,62,422898.19999999925,q,S,2150.7000000029802,,,426533.80000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
"Gail Borden, Jr. ",7,Who invented condensed milk in 1856? ,414,0.975,63,426533.90000000224,q,S,3048.199999999255,,,431089.6000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
Martin Luther King Jr. ,2,Who won the Nobel Peace Prize in 1964? ,386,1.722,64,431089.6000000015,p,K,1843.5,,,435177.0,,,HRV,HRV_0184,2022-11-30 18:35:09
Butt,6,The adjective callipygian refers to someone who has a beautiful what? ,88,0.672,65,435177.40000000224,p,K,6762.29999999702,,,443140.0,,,HRV,HRV_0184,2022-11-30 18:35:09
Capitol Hill,6,"Until 1790, what was known as Jenkins Hill? ",119,1.795,66,443140.19999999925,q,S,2014.9000000022352,,,447469.19999999925,,,HRV,HRV_0184,2022-11-30 18:35:09
Coca-cola,5,What popular drink was first marketed as a brain tonic?,405,1.861,67,447469.5,t,W,1553.199999999255,451558.30000000075,455577.30000000075,458695.80000000075,2,736.5,HRV,HRV_0184,2022-11-30 18:35:09
60 fragments per 100 gram ,3,What amount of insects does the FDA allow in chocolate,453,1.877,68,458696.19999999925,p,K,2007.1000000014901,,,463119.90000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
coca-cola,5,Which famous soft drink was invented in 1892?,425,0.925,69,463120.30000000075,q,S,1933.3999999985099,,,466504.5,,,HRV,HRV_0184,2022-11-30 18:35:09
It causes sour foods subsequently consumed to taste sweet. ,4,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,0.791,70,466504.6000000015,t,W,2199.300000000745,471234.30000000075,475241.40000000224,477184.90000000224,5,616.0999999977648,HRV,HRV_0184,2022-11-30 18:35:09
Choking on food,4,"Each year, approximately 125 people die of what? ",417,0.506,71,477184.90000000224,p,K,2591.89999999851,,,480819.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Habanero,5,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.416,72,480819.69999999925,q,S,1828.5,,,484589.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Death,6,"In ancient Egypt, what was the penalty for killing a cat?",58,0.918,73,484589.6000000015,p,K,2075.599999997765,,,488101.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
pastry,6,Choux and filo are two types of what food product?,446,1.255,74,488101.40000000224,p,K,2089.39999999851,,,491984.80000000075,,,HRV,HRV_0184,2022-11-30 18:35:09
General Electric ,7,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,310,1.442,75,491985.1000000015,t,W,2277.300000000745,496790.1000000015,500805.1000000015,505314.69999999925,,,HRV,HRV_0184,2022-11-30 18:35:09
Cornea,1,What is the only part of the body that has no blood supply? ,211,1.138,76,505315.0,p,K,2289.300000000745,,,509271.0,,,HRV,HRV_0184,2022-11-30 18:35:09
"The code is ""SUX"" ",3,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,1.912,77,509271.1000000015,q,S,1714.800000000745,,,513419.40000000224,,,HRV,HRV_0184,2022-11-30 18:35:09
Criss-Cross ,7,What was the game of Scrabble originally called? ,286,1.671,78,513419.40000000224,t,W,4412.199999999255,520369.6000000015,524377.4000000022,527428.5,5,855.1999999992549,HRV,HRV_0184,2022-11-30 18:35:09
Aerie,2,What name is given to an eagle's nest?   ,235,1.591,79,527428.9000000022,p,K,1841.5,,,531381.3000000007,,,HRV,HRV_0184,2022-11-30 18:35:09
Saffron,1,What is the most expensive spice (by weight) in the world?,431,1.416,80,531381.6999999993,q,S,1750.2000000029802,,,535072.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
Uncle Tom's Cabin ,4,What was the first American novel to sell one million copies? ,281,0.824,81,535072.1000000015,t,W,1807.5,539406.3000000007,543428.1000000015,545428.3000000007,4,652.3000000007451,HRV,HRV_0184,2022-11-30 18:35:09
Library of Congress,6,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",48,0.798,82,545428.6000000015,,,,,,554948.3000000007,,,HRV,HRV_0184,2022-11-30 18:35:09
All in the Family ,5,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.022,83,554948.4000000022,q,S,4952.29999999702,,,561450.6999999993,,,HRV,HRV_0184,2022-11-30 18:35:09
India,2,What's the only country outside Africa where lions still live in the wild?  ,307,1.386,84,561450.6999999993,p,K,1643.1000000014901,,,564998.1000000015,,,HRV,HRV_0184,2022-11-30 18:35:09
The Oxford English Dictionary,4,"W.C. Minor, a murderer, spent the last decades of his life in an insane asylum writing hundreds of entries for what reference work? ",121,1.253,85,564998.4000000022,q,S,2750.199999999255,,,569522.9000000022,,,HRV,HRV_0184,2022-11-30 18:35:09
The Korean War,3,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,1.363,86,569522.9000000022,t,W,1598.5999999977648,573652.9000000022,577672.3000000007,580990.4000000022,5,1427.1000000014901,HRV,HRV_0184,2022-11-30 18:35:09
Abraham Lincoln,3,Who was the only U.S. president to also hold a patent for an invention?,384,0.796,87,580990.8000000007,p,K,1601.3999999985099,,,583913.5,,,HRV,HRV_0184,2022-11-30 18:35:09
Michael Dell,1,What founder of PCs Limited went on to become the youngest Fortune 500 CEO in history?,180,1.828,88,583913.5,p,K,1695.199999999255,,,587956.6999999993,,,HRV,HRV_0184,2022-11-30 18:35:09
Draw,6,What does a screever do on a sidewalk? ,167,0.838,89,587956.6999999993,q,S,4377.400000002235,,,593691.0,,,HRV,HRV_0184,2022-11-30 18:35:09
Canadian Oil,5,What is canola an abbreviation for?,436,0.956,90,593691.0,t,W,2129.800000000745,598345.6000000015,602359.1000000015,606881.0,,,HRV,HRV_0184,2022-11-30 18:35:09
