Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,trialEvents,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Smoke,6,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?",52,0.972,17,98115.5,q,S,3058.199999988079,,,,,,102662.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
The Commodore 64 ,3,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,1.549,18,102662.39999997616,q,S,2620.600000023842,,,,,,107353.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Haricot beans,5,Baked beans are made from what type of bean?,443,0.887,19,107353.59999999404,q,S,1645.0,,,,,,110411.0,HRV,HRV_0006,2022-07-11 14:08:53
The evacuation of Saigon,6,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",6,0.728,20,110411.0,q,S,1906.699999988079,,,,,,113550.0,HRV,HRV_0006,2022-07-11 14:08:53
School buses were painted yellow,1,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,9,0.72,21,113550.09999999404,q,S,1795.5,,,,,,116581.89999997616,HRV,HRV_0006,2022-07-11 14:08:53
The nock,7,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,0.949,22,116581.89999997616,q,S,2979.600000023842,,,,,,121042.69999998808,HRV,HRV_0006,2022-07-11 14:08:53
Cricket,5,"What sport used the term ""home run"" long before baseball?  ",260,1.553,23,121042.69999998808,q,S,1859.5999999940395,,,,,,124977.19999998808,HRV,HRV_0006,2022-07-11 14:08:53
Eric the Red,7,"According to Norse sagas, who gave Greenland its misleading name in order to attract settlers? ",12,0.579,24,124977.29999998212,q,S,2382.9000000059605,,,,,,128459.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Cygnet ,7,What is the name given to a young swan? ,207,0.638,25,128459.39999997616,q,S,1805.1000000238419,,,,,,131426.19999998808,HRV,HRV_0006,2022-07-11 14:08:53
Black,4,What color lipstick did silent movie stars wear?  ,151,1.148,26,131426.19999998808,q,S,1871.0,,,,,,134955.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Australia,3,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.415,27,134955.5,q,S,2278.0,,,,,,139178.19999998808,HRV,HRV_0006,2022-07-11 14:08:53
Xanadu ,2,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,123,1.715,28,139178.19999998808,q,S,1616.800000011921,,,,,,143032.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Graham Greene,1,"Which British novelist said, ""Fame is a powerful aphrodisiac""?",332,0.894,29,143032.09999999404,q,S,1513.2999999821186,,,,,,145950.79999998212,HRV,HRV_0006,2022-07-11 14:08:53
Tim McGraw,1,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",24,1.828,30,145950.79999998212,q,S,1663.0,,,,,,149964.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
cheese ,7,What item of food holds the world record for being the most stolen item of food in the world?,444,0.799,31,149964.59999999404,q,S,1579.7999999821186,,,,,,152863.0,HRV,HRV_0006,2022-07-11 14:08:53
Sweden,7,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,1.74,32,152863.0,q,S,1768.7999999821186,,,,,,156883.5,HRV,HRV_0006,2022-07-11 14:08:53
Bacon,3,"In Britain, what kind of meat comes in rashers?",397,0.563,33,156883.59999999404,q,S,1609.0,,,,,,159569.0,HRV,HRV_0006,2022-07-11 14:08:53
Gilbert Van Camp ,5,What Indianapolis grocer made his name by selling canned pork and beans to U.S. troops during the Civil War?,187,0.928,34,159569.0,q,S,2014.7999999821186,,,,,,163032.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Cheetah,2,Which is the only cat that cannot retract its claws? ,344,1.163,35,163032.39999997616,q,S,1843.6000000238419,,,,,,166561.5,HRV,HRV_0006,2022-07-11 14:08:53
Marriage,5,Gamophobia is the fear of what?,42,1.031,36,166561.59999999404,q,S,1757.0,,,,,,169874.69999998808,HRV,HRV_0006,2022-07-11 14:08:53
Queen Isabella I ,1,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",50,0.599,37,169874.79999998212,q,S,1738.9000000059605,,,,,,172730.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Espresso,1,The Italian government regulates the price of what beverage?,399,0.964,38,172730.39999997616,q,S,1875.0,,,,,,176089.29999998212,HRV,HRV_0006,2022-07-11 14:08:53
Blue,5,Lobster blood is what color?,73,1.439,39,176089.39999997616,q,S,1650.1000000238419,,,,,,179694.79999998212,HRV,HRV_0006,2022-07-11 14:08:53
Koala,7,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,1.525,40,179694.89999997616,,,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 180415.5, 'date time': 1657562510098}]",,,,189219.29999998212,HRV,HRV_0006,2022-07-11 14:08:53
Adlai Stevenson,2,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,0.579,41,189219.39999997616,q,S,6931.700000017881,,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 195678.39999997616, 'date time': 1657562525361}]",,,,197242.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Theodore Roosevelt ,5,"What former president coined the phrase ""lunatic fringe"" to refer to the wackos in his own reform movement?",178,1.427,42,197242.69999998808,q,S,2345.5999999940395,,,,,,201535.0,HRV,HRV_0006,2022-07-11 14:08:53
Gibralter,1,"Europe's only free-range monkeys are the Barbary apes, which live where?",37,1.247,43,201535.0,q,S,2566.699999988079,,,,,,205864.79999998212,HRV,HRV_0006,2022-07-11 14:08:53
Echinoderms,2,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.676,44,205864.79999998212,q,S,1662.800000011921,,,,,,209730.69999998808,HRV,HRV_0006,2022-07-11 14:08:53
Odor Eaters ,5,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,1.482,45,209730.69999998808,q,S,1557.9000000059605,,,,,,213289.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
"The code is ""SUX"" ",6,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,0.643,46,213289.69999998808,q,S,1732.5999999940395,,,,,,216183.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
pastry,7,Choux and filo are two types of what food product?,446,1.683,47,216183.69999998808,q,S,1544.5,,,,,,219921.69999998808,HRV,HRV_0006,2022-07-11 14:08:53
Buck,5,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,1.039,48,219921.69999998808,q,S,1773.9000000059605,,,,,,223247.79999998212,HRV,HRV_0006,2022-07-11 14:08:53
Sepia,3,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,0.856,49,223247.79999998212,q,S,1524.300000011921,,,,,,226151.29999998212,HRV,HRV_0006,2022-07-11 14:08:53
State quarters ,5,What's been released five times a year from January 1999 to fall 2008?,300,1.282,50,226151.29999998212,q,S,1858.7000000178814,,,,,,229812.89999997616,HRV,HRV_0006,2022-07-11 14:08:53
a spit,3,"If something is described as rotisserie, what has it been cooked on?",428,1.524,51,229812.89999997616,q,S,2055.300000011921,,,,,,233912.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Oxygen,1,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,0.682,52,233912.39999997616,q,S,1564.2000000178814,,,,,,236689.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Dark Side of the Moon,5,What album spent a record 741 weeks on Billboard's Top 200 Albums chart? ,129,1.858,53,236689.39999997616,q,S,1552.9000000059605,,,,,,240620.19999998808,HRV,HRV_0006,2022-07-11 14:08:53
"Cle(a)veland, Ohio",6,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,1.077,54,240620.29999998212,q,S,3821.5,,,,,,246038.79999998212,HRV,HRV_0006,2022-07-11 14:08:53
Sixteenth,7,Which Constitutional Amendment deals with the income tax? ,336,0.595,55,246038.79999998212,q,S,1535.2000000178814,,,,,,248673.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Ciabatta,3,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,1.839,56,248673.69999998808,q,S,2555.5999999940395,,,,,,253588.0,HRV,HRV_0006,2022-07-11 14:08:53
Choking on food,4,"Each year, approximately 125 people die of what? ",417,1.141,57,253588.0,q,S,2016.0,,,,,,257266.89999997616,HRV,HRV_0006,2022-07-11 14:08:53
Ostrich,4,Which animal's eyes are bigger than its brain?   ,327,1.907,58,257266.89999997616,q,S,2046.300000011921,,,,,,261738.0,HRV,HRV_0006,2022-07-11 14:08:53
San Fancisco,6,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.095,59,261738.0,q,S,1834.0,,,,,,265186.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Francisco Goya,3,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?",15,0.922,60,265186.09999999404,q,S,1758.0,,,,,,268381.1999999881,HRV,HRV_0006,2022-07-11 14:08:53
Sao Paulo,6,What's the most populous city in the Southern Hemisphere?,304,1.125,61,268381.1999999881,q,S,3253.0999999940395,,,,,,273272.5,HRV,HRV_0006,2022-07-11 14:08:53
South America,4,The electric eel is native only to what continent?,96,0.885,62,273272.5,q,S,2363.7999999821186,,,,,,277032.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
Pachyderm,2,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.021,63,277032.7999999821,q,S,1569.0999999940395,,,,,,280141.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Orville Wright,3,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.366,64,280141.5,q,S,1695.3999999761581,,,,,,283729.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
The Hindenburg explosion,3,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.433,65,283729.6999999881,q,S,2028.300000011921,,,,,,287706.89999997616,HRV,HRV_0006,2022-07-11 14:08:53
Ivory Coast's ,7,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",111,0.655,66,287706.89999997616,,,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 288527.2999999821, 'date time': 1657562618210}]",,,,297233.0,HRV,HRV_0006,2022-07-11 14:08:53
Snoopy's,7,"Whose doghouse apparently contains a basement, a pool table, an Andrew Wyeth painting, and a Jacuzzi?",387,1.798,67,297233.09999999404,q,S,3560.5999999940395,,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 299994.5, 'date time': 1657562629677}]",,,,303105.89999997616,HRV,HRV_0006,2022-07-11 14:08:53
Egypt,3,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,1.604,68,303105.89999997616,q,S,1573.4000000059605,,,,,,306807.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
Prairie dogs,1,"In 1900, Texas biologist Vernon Bailey discovered a network of tunnels the size of the state of Maryland. What had dug them?",51,1.833,69,306807.6999999881,q,S,2765.0,,,,,,311918.0,HRV,HRV_0006,2022-07-11 14:08:53
Ian Thorpe ,4,Who outgrew a childhood chlorine allergy to become the biggest Olympic medal winner in Australian history? ,370,1.078,70,311918.0,q,S,1951.0999999940395,,,,,,315454.89999997616,HRV,HRV_0006,2022-07-11 14:08:53
The World Almanac and Book of Facts,3,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,0.87,71,315455.0,q,S,2917.5999999940395,,,,,,319763.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Aerie,4,What name is given to an eagle's nest?   ,235,1.935,72,319763.6999999881,q,S,2736.4000000059605,,,,,,324949.5,HRV,HRV_0006,2022-07-11 14:08:53
Museum of Modern Art in NYC ,6,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.302,73,324949.5,q,S,1856.0999999940395,,,,,,328617.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Peanuts ,4,What snack food is an ingredient in the explosive dynamite?  ,408,1.112,74,328617.59999999404,q,S,1750.2999999821186,,,,,,331993.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Strom Thurmond ,2,Who filibustered for a record twenty-four hours and eighteen minutes -- with a urine pail standing at the ready -- in the hope of preventing the Civil Rights Act of 1957?,366,1.156,75,331993.39999997616,q,S,1814.7000000178814,,,,,,335487.5,HRV,HRV_0006,2022-07-11 14:08:53
Anaconda,3,Which species of snake gives birth to its young instead of laying eggs?  ,353,1.03,76,335487.5,q,S,1686.0999999940395,,,,,,338719.1999999881,HRV,HRV_0006,2022-07-11 14:08:53
Pressure,6,What is measured in millibars? ,202,0.921,77,338719.2999999821,q,S,1773.300000011921,,,,,,341934.1999999881,HRV,HRV_0006,2022-07-11 14:08:53
Paris,2,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,1.608,78,341934.1999999881,q,S,1516.699999988079,,,,,,345576.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
The crust and the mantle,3,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,0.658,79,345576.39999997616,p,K,3239.300000011921,,,,,,349999.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
North Korea,3,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",120,0.551,80,349999.59999999404,,,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 354031.39999997616, 'date time': 1657562683714}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 357822.2999999821, 'date time': 1657562687505}]",,,,359500.7999999821,HRV,HRV_0006,2022-07-11 14:08:53
potein,4,"What nutrient comes from meat, eggs, and fish?",433,0.747,81,359500.89999997616,q,S,2128.2000000178814,,,,,,362902.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
honey,1,Which is the only food that can never go off or go bad?,442,0.578,82,362902.6999999881,q,S,2528.800000011921,,,,,,366528.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Coca-Cola,5,"The BBC once banned the Beatles' ""Come Together"" for ""advertising"" what product in the lyrics?",93,1.408,83,366528.39999997616,p,K,5695.5,,,,,,374146.0,HRV,HRV_0006,2022-07-11 14:08:53
Lhasa Apso,1,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,1.929,84,374146.0,q,S,2841.899999976158,,,,,,379447.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Oklahoma,1,"What U.S. state has the slogan ""Native America"" on its license plates?",271,0.608,85,379447.09999999404,q,S,1847.699999988079,,,,,,382427.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
"Portland, Oregon",3,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,0.591,86,382427.7999999821,q,S,3113.800000011921,,,,,,386643.0,HRV,HRV_0006,2022-07-11 14:08:53
"A peanut is a legume, not a nut",4,What type of food is a peanut?,447,1.106,87,386643.0,q,S,1506.8999999761581,,,,,,389777.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Green Eggs and Ham,3,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.016,88,389777.09999999404,p,K,3098.699999988079,,,,,,394404.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
A Spoonful of Sugar ,1,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.618,89,394404.09999999404,q,S,1910.9000000059605,,,,,,398454.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
Haddock,7,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,0.932,90,398454.5,q,S,1642.2999999821186,,,,,,401545.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Giant squid,2,Which animal can have eyes that are a foot in diameter? ,324,0.823,91,401545.59999999404,q,S,1567.5999999940395,,,,,,404452.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
Roulette,6,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,1.881,92,404452.2999999821,q,S,3740.0,,,,,,410592.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
coca-cola,2,Which famous soft drink was invented in 1892?,425,0.697,93,410592.2999999821,q,S,1839.5,,,,,,413637.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
ZZ Top,7,What musical group chose their name deliberately so that they would appear last in alphabetical listings?,234,1.928,94,413637.7999999821,p,K,2701.0,,,,,,418784.5,HRV,HRV_0006,2022-07-11 14:08:53
popscicle,5,What food was invented by an 11 year old in 1905?,450,1.399,95,418784.5,p,K,3640.899999976158,,,,,,424349.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
On Christ's crucifix ,3,"Where did the abbreviation ""INRI"" traditionally appear? ",315,1.42,96,424349.6999999881,p,K,3359.0,,,,,,429641.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Adam,6,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.031,97,429641.59999999404,p,K,2834.699999988079,,,,,,434019.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
Twenty-fourth ,5,Which Constitutional Amendment deals with poll taxes? ,335,1.358,98,434019.39999997616,p,K,2547.2000000178814,,,,,,438445.1999999881,HRV,HRV_0006,2022-07-11 14:08:53
Ripe cranerries bounce when dropped on the ground,6,How do farmers test whether cranberries are ripe?,452,1.861,99,438445.2999999821,p,K,2957.0999999940395,,,,,,443776.0,HRV,HRV_0006,2022-07-11 14:08:53
Nutmeg,1,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,1.868,100,443776.0,p,K,1714.0999999940395,,,,,,447873.89999997616,HRV,HRV_0006,2022-07-11 14:08:53
Japan,7,Where is the longest suspension bridge? ,319,0.819,101,447873.89999997616,p,K,1937.4000000059605,,,,,,451143.1999999881,HRV,HRV_0006,2022-07-11 14:08:53
Saffron,3,What is the most expensive spice (by weight) in the world?,431,1.87,102,451143.1999999881,p,K,3119.5,,,,,,456645.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
Mountain Dew,6,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.482,103,456645.6999999881,p,K,3799.800000011921,,,,,,462440.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
Matches,1,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,1.572,104,462440.39999997616,p,K,2601.9000000059605,,,,,,467139.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
Martin Luther King Jr. ,7,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,1.204,105,467139.2999999821,p,K,3462.4000000059605,,,,,,472325.5,HRV,HRV_0006,2022-07-11 14:08:53
Everything ,1,Pantophobia is the fear of what?,79,1.782,106,472325.5,p,K,1855.0999999940395,,,,,,476471.59999999404,HRV,HRV_0006,2022-07-11 14:08:53
Don Adams,7,Who provided the voice for cartoon character Inspector Gadget? ,372,1.504,107,476471.59999999404,p,K,2762.0999999940395,,,,,,481261.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
A soccer ball,4,What common item is usually made up of twelve pentagons and twenty hexagons?,154,1.84,108,481261.2999999821,p,K,2694.5,,,,,,486311.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
Grace Kelly ,6,What was the name of the American actress who was first to appear on a postage stamp?  ,288,1.811,109,486311.1999999881,p,K,2126.0999999940395,,,,,,490756.1999999881,HRV,HRV_0006,2022-07-11 14:08:53
Shenandoah Valley,1,What area changed hands 72 times during the Civil War? ,139,1.88,110,490756.2999999821,p,K,2004.9000000059605,,,,,,495166.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
Lolita by Vladimir Nabokov,3,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,1.918,111,495166.2999999821,p,K,1795.9000000059605,,,,,,499399.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
Tea leaves,7,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.817,112,499399.6999999881,p,K,2432.4000000059605,,,,,,504179.5,HRV,HRV_0006,2022-07-11 14:08:53
Cayenne pepper ,5,What spice is named for the capital of French Guiana? ,409,1.334,113,504179.59999999404,p,K,3278.699999988079,,,,,,509305.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
NY,7,In which state was the first execution by electric chair?  ,70,0.602,114,509305.6999999881,p,K,2731.4000000059605,,,,,,513155.7999999821,HRV,HRV_0006,2022-07-11 14:08:53
Antawn Jamison ,4,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,0.941,115,513155.89999997616,p,K,2057.100000023842,,,,,,516659.39999997616,HRV,HRV_0006,2022-07-11 14:08:53
India,5,What's the only country outside Africa where lions still live in the wild?  ,307,0.721,116,516659.39999997616,p,K,2685.800000011921,,,,,,520587.09999999404,HRV,HRV_0006,2022-07-11 14:08:53
The old-fashioned,4,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,1.46,117,520587.1999999881,p,K,3095.4000000059605,,,,,,525661.6999999881,HRV,HRV_0006,2022-07-11 14:08:53
Adding olive juice,2,What turns a plain martini into a dirty martini?,440,1.46,118,525661.6999999881,p,K,3412.4000000059605,,,,,,531051.2999999821,HRV,HRV_0006,2022-07-11 14:08:53
Rechargeable batteries,2,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,1.436,119,531051.2999999821,p,K,1655.5,,,,,,534652.5,HRV,HRV_0006,2022-07-11 14:08:53
Brine Shrimp ,3,"What kind of animal is Artemia Salina, the ""sea monkey"" of novelty pet ad fame? ",222,1.331,120,534652.599999994,p,K,2359.9000000059605,,,,,,538865.8999999762,HRV,HRV_0006,2022-07-11 14:08:53
Throat,4,Where in the human body is the only bone that is not jointed to another?  ,317,1.515,121,538865.8999999762,p,K,1504.7000000178814,,,,,,542414.3999999762,HRV,HRV_0006,2022-07-11 14:08:53
citrus fruit (scurvy is caused by a lack of vitamin c),4,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,0.819,122,542414.3999999762,p,K,1871.4000000059605,,,,,,545613.7999999821,HRV,HRV_0006,2022-07-11 14:08:53
American Pie,1,What was the name of the plane Buddy Holly died in?  ,289,1.721,123,545613.7999999821,p,K,1514.0,,,,,,549357.1999999881,HRV,HRV_0006,2022-07-11 14:08:53
Dorito is Spanish for little golden things,3,What does Dorito actually mean?,434,1.798,124,549357.1999999881,p,K,1541.5999999940395,,,,,,553202.099999994,HRV,HRV_0006,2022-07-11 14:08:53
Shark,3,"What animal is thought to be immune to most all diseases, including cancer? ",132,0.796,125,553202.099999994,p,K,2117.0,,,,,,556630.3999999762,HRV,HRV_0006,2022-07-11 14:08:53
A Cheeta born in 1932,4,Who is the world's oldest (non-human) primate on record?  ,369,1.634,126,556630.3999999762,p,K,1550.300000011921,,,,,,560329.0,HRV,HRV_0006,2022-07-11 14:08:53
The Missouri River ,7,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",179,0.951,127,560329.0,p,K,2065.699999988079,,,,,,563865.0,HRV,HRV_0006,2022-07-11 14:08:53
Lou Gehrig,1,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,1.083,128,563865.0,p,K,4000.7999999821186,,,,,,569455.0,HRV,HRV_0006,2022-07-11 14:08:53
Cockroach,5,What animal can live up to a week without its head?,131,1.539,129,569455.099999994,p,K,2391.199999988079,,,,,,573915.099999994,HRV,HRV_0006,2022-07-11 14:08:53
Monday,2,The risk of heart attack is highest on which day of the week?,104,0.558,130,573915.099999994,p,K,1645.4000000059605,,,,,,576631.099999994,HRV,HRV_0006,2022-07-11 14:08:53
