Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,trialEvents,exp,subjectId,date
The barrel of a gun,5,"According to Chairman Mao, ""political power grows out of"" what?",11,1.281,27,172064.5,q,S,3464.0,177331.20000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Quotations ,6,What did the letter Q originally stand for in NASDAQ?  ,165,1.398,28,177331.20000004768,q,S,2877.199999988079,182137.70000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Cement,5,"The SS Faith, a ship built by Leslie Comyn, was made of what unique material?",105,0.577,29,182137.80000001192,q,S,4258.699999988079,187498.30000001192,,HRV,HRV_0261,2022-11-30 19:37:27
Bacon,5,"In Britain, what kind of meat comes in rashers?",397,0.777,30,187498.30000001192,q,S,5633.100000023842,194431.20000004768,,HRV,HRV_0261,2022-11-30 19:37:27
spiced ham,1,What two words were combined to make the word Spam?,426,0.603,31,194431.20000004768,,,,203947.70000004768,,HRV,HRV_0261,2022-11-30 19:37:27
The Chesapeake Bay,6,What bay is actually the United States's largest tidal estuary? ,141,0.753,32,203947.80000001192,q,S,3469.600000023842,208683.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Midnight Cowboy ,6,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,1.672,33,208683.10000002384,q,S,3491.300000011921,214359.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Canadian Oil,3,What is canola an abbreviation for?,436,0.825,34,214359.10000002384,q,S,3538.600000023842,219247.5,,HRV,HRV_0261,2022-11-30 19:37:27
a spit,4,"If something is described as rotisserie, what has it been cooked on?",428,1.06,35,219247.5,p,K,3619.900000035763,224454.0,,HRV,HRV_0261,2022-11-30 19:37:27
"A peanut is a legume, not a nut",1,What type of food is a peanut?,447,0.541,36,224454.10000002384,p,K,2924.800000011921,228453.80000001192,,HRV,HRV_0261,2022-11-30 19:37:27
The Super Bowl ,6,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,0.794,37,228453.80000001192,q,S,5042.900000035763,234809.20000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Escape,3,"What word is the actual title of the 1979 hit usually called ""The Pina Colada Song""?   ",299,1.845,38,234809.20000004768,q,S,4108.299999952316,241274.60000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Benjamin Franklin ,2,"Who carried hundreds of imported books in his Philadelphia shop in the 1730s, the same decade in which he started America's first lending library?",362,1.342,39,241274.60000002384,q,S,4975.100000023842,248118.70000004768,,HRV,HRV_0261,2022-11-30 19:37:27
Frankie Avalon ,6,"Who had the last number one hit of the 1950s with his song ""Why""? ",367,0.75,40,248118.80000001192,q,S,3140.600000023842,252540.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
South Africa,6,In what country was the largest rough diamond ever discovered?,62,1.781,41,252540.10000002384,q,S,2929.300000011921,257766.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Sri Lanka,2,"The word serendipity comes from Serendip, the Persian name for what island? ",109,1.489,42,257766.90000003576,q,S,3500.599999964237,263275.60000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Antawn Jamison ,1,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,1.446,43,263275.7000000477,q,S,4149.299999952316,269397.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Ripe cranerries bounce when dropped on the ground,2,How do farmers test whether cranberries are ripe?,452,0.538,44,269397.2000000477,q,S,2190.5,272647.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Brazil,6,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,0.859,45,272647.2000000477,q,S,4607.799999952316,278646.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Haricot beans,3,Baked beans are made from what type of bean?,443,1.045,46,278646.2000000477,q,S,3187.2999999523163,283407.5,,HRV,HRV_0261,2022-11-30 19:37:27
Green Eggs and Ham,4,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.231,47,283407.5,q,S,5571.400000035763,290732.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Ciabatta,5,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,1.314,48,290732.90000003576,q,S,4908.800000011921,297476.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
The Mini Cooper,4,"With over 5.3 million sold since 1959, what's by far the most successful British car of all time?",394,1.376,49,297476.3000000119,q,S,4278.199999988079,303654.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
potein,5,"What nutrient comes from meat, eggs, and fish?",433,0.981,50,303654.2000000477,p,K,2835.399999976158,307995.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Boston Tea Party,5,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",94,1.492,51,307995.90000003576,q,S,4341.5,314353.3000000119,,HRV,HRV_0261,2022-11-30 19:37:27
Westminster Kennel Club dog show ,1,What is the second oldest continuously held American sporting event?  ,214,1.92,52,314353.40000003576,q,S,2595.300000011921,319390.8000000119,,HRV,HRV_0261,2022-11-30 19:37:27
Paper,7,"What invention should make Ts'ai Lun, a second-century inventor, a household name? ",191,1.107,53,319390.8000000119,q,S,3896.600000023842,324922.5,,HRV,HRV_0261,2022-11-30 19:37:27
AstroTurf ,2,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,0.858,54,324922.5,q,S,3134.100000023842,329434.5,,HRV,HRV_0261,2022-11-30 19:37:27
Brigham Young University,7,What is the most sober school according to The Princeton Review? ,206,0.934,55,329434.5,q,S,2772.900000035763,333671.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Woodrow Wilson ,4,"Which U.S. president declared the first national ""Mother's Day""?  ",355,0.518,56,333671.3000000119,q,S,2225.100000023842,336935.7000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Library of Congress,1,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",48,1.096,57,336935.7000000477,q,S,4566.0,343112.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Rooster,3,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,1.31,58,343112.2000000477,p,K,4244.199999988079,349185.0,,HRV,HRV_0261,2022-11-30 19:37:27
The guppy,6,What common aquarium fish is named for the naturalist who discovered it in Trinidad in 1876? ,152,1.816,59,349185.0,q,S,4241.300000011921,355760.60000002384,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 352744.7000000477, 'date time': 1669836795997}]",HRV,HRV_0261,2022-11-30 19:37:27
Bono ,1,What singer took his stage name from a Dublin hearing aid billboard?  ,257,0.808,60,355760.60000002384,q,S,4337.899999976158,361442.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Adobe,5,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,0.517,61,361442.90000003576,q,S,4914.800000011921,367400.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
60 fragments per 100 gram ,3,What amount of insects does the FDA allow in chocolate,453,1.893,62,367400.10000002384,q,S,3292.800000011921,373116.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
The Pope,5,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",32,0.91,63,373116.90000003576,q,S,5119.099999964237,379668.0,,HRV,HRV_0261,2022-11-30 19:37:27
Marven (Marvin) Gardens,6,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.412,64,379668.0,q,S,5078.5,386693.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
The paper clip,5,"""Gem"" is the trade name for the most common, three-loop design of what?",4,1.529,65,386693.10000002384,q,S,4913.600000023842,393651.40000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Sri Lanka,4,Ninety percent of the world's true cinnamon comes from what island nation? ,74,1.616,66,393651.40000003576,q,S,3063.199999988079,398848.60000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Orville Wright,3,Who was flying the plane in which the first US airplane fatality occurred? ,377,0.89,67,398848.60000002384,q,S,2412.800000011921,402680.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
Coca-cola,3,What popular drink was first marketed as a brain tonic?,405,1.685,68,402680.10000002384,q,S,2928.5,407812.40000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Pandemonium,1,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,1.391,69,407812.40000003576,q,S,4308.0,414037.7000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Pen(n)sylvania ,1,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,0.666,70,414037.7000000477,q,S,5233.0,420469.7000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Abraham Lincoln ,2,"What president has three ""A's"" in his first name, each of which has a different sound? ",246,1.193,71,420469.7000000477,q,S,4858.699999988079,427036.40000003576,,HRV,HRV_0261,2022-11-30 19:37:27
The Hindenburg explosion,7,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.448,72,427036.40000003576,q,S,6403.199999988079,435409.7000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Eisenhower ,4,Who was president when the first U.S. presidential news conference was filmed for TV?,378,0.568,73,435409.7000000477,q,S,3209.7999999523163,439704.8000000119,,HRV,HRV_0261,2022-11-30 19:37:27
The Missouri River ,4,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",179,1.109,74,439704.90000003576,q,S,5052.699999988079,446397.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Peter Pan ,3,What was the first English play to be written especially for children? ,283,0.691,75,446397.2000000477,q,S,2925.199999988079,450542.10000002384,,HRV,HRV_0261,2022-11-30 19:37:27
A truce ,1,What was put in place by the Ancient Greeks before and during all Olympic festivals? ,278,0.907,76,450542.2000000477,q,S,5175.5,457144.90000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Mung beans ,3,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.992,77,457144.90000003576,p,K,4550.599999964237,464205.5,,HRV,HRV_0261,2022-11-30 19:37:27
The Big Bang,7,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,0.634,78,464205.5,q,S,4609.100000023842,469962.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
lobster,5,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.001,79,469962.3000000119,p,K,4040.199999988079,475528.40000003576,,HRV,HRV_0261,2022-11-30 19:37:27
Poison-arrow frog,2,"Which animal's poison could kill up to 2,200 people? ",329,1.856,80,475528.5,q,S,2399.900000035763,480309.3000000119,,HRV,HRV_0261,2022-11-30 19:37:27
State quarters ,2,What's been released five times a year from January 1999 to fall 2008?,300,1.6,81,480309.3000000119,q,S,3798.900000035763,486237.7000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Nutmeg,4,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.96,82,486237.7000000477,q,S,3771.899999976158,491499.40000003576,,HRV,HRV_0261,2022-11-30 19:37:27
It's stamped on the coin's edge.,1,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,1.47,83,491499.40000003576,q,S,4412.300000011921,497917.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Pinko,1,What five-letter word did Time magazine coin in 1926 to refer to left-leaners? ,177,1.461,84,497917.2000000477,q,S,4528.799999952316,504443.3000000119,,HRV,HRV_0261,2022-11-30 19:37:27
Haddock,6,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,0.54,85,504443.3000000119,q,S,3854.400000035763,509369.5,,HRV,HRV_0261,2022-11-30 19:37:27
Pancreas,2,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,1.554,86,509369.5,q,S,4976.0,516408.60000002384,,HRV,HRV_0261,2022-11-30 19:37:27
The old-fashioned,4,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,0.687,87,516408.60000002384,q,S,5670.899999976158,523281.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Bamboo ,7,What were the first modern Olympic pole vaulters' poles made of? ,296,1.942,88,523281.2000000477,q,S,4744.199999988079,530500.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Charles ,4,What river runs through Boston? ,252,1.841,89,530500.2000000477,q,S,5033.0,537896.9000000358,,HRV,HRV_0261,2022-11-30 19:37:27
Belgium,2,Where were French fries invented?,437,1.148,90,537896.9000000358,q,S,4592.099999964237,544157.6000000238,,HRV,HRV_0261,2022-11-30 19:37:27
Liffey,7,What river runs through Dublin?   ,253,1.518,91,544157.6000000238,q,S,2624.600000023842,548829.3000000119,,HRV,HRV_0261,2022-11-30 19:37:27
Mountain Dew,7,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,0.78,92,548829.3000000119,q,S,5979.300000011921,556115.9000000358,,HRV,HRV_0261,2022-11-30 19:37:27
chickpeas,3,What is used to make hummus?,424,1.142,93,556115.9000000358,p,K,3837.800000011921,561630.0,,HRV,HRV_0261,2022-11-30 19:37:27
"Gaslight CafÃ©, Greenwich Village",1,Where did Bob Dylan first play in public? ,314,1.621,94,561630.1000000238,q,S,1783.3999999761581,565560.5,,HRV,HRV_0261,2022-11-30 19:37:27
Smurfette,3,"Who did Gargamel create using ingredients like crocodile tears, the tip of an adder's tongue and a hard stone for a heart?",364,1.604,95,565560.5,q,S,3856.0,571536.2000000477,,HRV,HRV_0261,2022-11-30 19:37:27
Ronin,2,"What Japanese word for ""wave person"" refers to a masterless samurai?  ",219,1.19,96,571536.2000000477,q,S,3167.599999964237,576416.6000000238,,HRV,HRV_0261,2022-11-30 19:37:27
Brine Shrimp ,1,"What kind of animal is Artemia Salina, the ""sea monkey"" of novelty pet ad fame? ",222,0.923,97,576416.6000000238,q,S,4767.899999976158,582621.9000000358,,HRV,HRV_0261,2022-11-30 19:37:27
Italy ,2,What country borders both of the world's only two nations with square flags? ,157,1.682,98,582622.0,q,S,4922.700000047684,589749.0,,HRV,HRV_0261,2022-11-30 19:37:27
Walt Disney,2,Which person has been awarded the most Oscars ever? ,349,0.618,99,589749.0,q,S,3756.5,594638.9000000358,,HRV,HRV_0261,2022-11-30 19:37:27
Copperhead snake,4,Which poisonous snake smells like fresh cut cucumbers? ,350,1.814,100,594638.9000000358,q,S,4094.899999976158,601077.3000000119,,HRV,HRV_0261,2022-11-30 19:37:27
