Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
The Pope,3,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",32,1.185,13,69583.59999990463,,q,S,2758.5999999046326,74073.29999995232,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Iraq,5,In which country were the Hanging Gardens of Babylon located?,69,1.793,14,74073.29999995232,,q,S,2525.0,78906.39999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The Oxford English Dictionary,3,"W.C. Minor, a murderer, spent the last decades of his life in an insane asylum writing hundreds of entries for what reference work? ",121,1.999,15,78906.5,,q,S,3971.899999856949,85411.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Darwin's,3,"For his tenacity, 19th century biologist Thomas Huxley was nicknamed whose ""bulldog""?",40,1.878,16,85411.09999990463,,q,S,3043.2000000476837,90865.0,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Peter Pan ,1,What was the first English play to be written especially for children? ,283,1.318,17,90865.09999990463,,t,W,3341.4000000953674,103285.09999990463,96724.69999980927,100741.5,2,696.7999999523163,HRV,HRV_0196,2022-11-30 18:34:52
The Hindenburg explosion,1,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.146,18,103285.19999980927,,q,S,1553.2000000476837,106502.89999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Espresso,4,The Italian government regulates the price of what beverage?,399,1.172,19,106503.0,,q,S,2391.2999999523163,110596.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Westminster Kennel Club dog show ,3,What is the second oldest continuously held American sporting event?  ,214,1.259,20,110596.5,,q,S,2235.0,114606.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The Leek ,7,"What bulb vegetable is traditionally worn on Saint David's Day, as it's a national symbol of Wales?",145,1.121,21,114606.5,,q,S,3063.899999856949,119314.69999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Andy Kaufman,5,Who was banned from Saturday Night Live by viewer phone vote in 1982? ,376,1.137,22,119314.69999980927,,q,S,3131.600000143051,124116.29999995232,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Cricket,1,"What sport used the term ""home run"" long before baseball?  ",260,0.56,23,124116.29999995232,,q,S,2057.7000000476837,127257.29999995232,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Oxygen,7,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,1.482,24,127257.29999995232,,q,S,4548.899999856949,133806.79999995232,,,,,HRV,HRV_0196,2022-11-30 18:34:52
"the white flesh that houses the seeds, known as the placenta",7,What is the hottest part of a chili?,432,1.879,25,133806.79999995232,,q,S,3408.5,139605.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Columbus Circle ,3,What Manhattan intersection was America's first traffic circle?,228,1.711,26,139605.5,,q,S,3976.899999856949,145814.89999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,1,Whice fruit is effective than coffee at waking you up in the morning?,454,1.508,27,145814.89999985695,,t,W,3552.600000143051,159674.09999990463,151891.5,155923.5,3,1706.8999998569489,HRV,HRV_0196,2022-11-30 18:34:52
Columbia,3,What company introduced the first LP record albums?  ,155,1.638,28,159674.09999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 159896.79999995232, 'date time': 1669832638360}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 159952.59999990463, 'date time': 1669832638415}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 164619.09999990463, 'date time': 1669832643082}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 165745.5, 'date time': 1669832644208}]",q,S,6859.799999952316,168696.69999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Sudan,2,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,0.58,29,168696.79999995232,,q,S,3829.5,173630.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Broccoli! ,6,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.723,30,173630.09999990463,,t,W,5625.599999904633,190302.0,181774.09999990463,185780.19999980927,4,2289.300000190735,HRV,HRV_0196,2022-11-30 18:34:52
Sapphire,6,What type of stone is referred to as the Star of India?  ,270,1.401,31,190302.0,,q,S,2104.2999999523163,194337.0,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Echinoderms,6,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,0.814,32,194337.0,,q,S,2469.199999809265,198145.69999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Lava lamp ,7,What was first made by suspending paraffin in a solution of water and antifreeze? ,276,0.552,33,198145.69999980927,,q,S,2916.5,202140.39999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The Discovery,7,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,0.74,34,202140.5,,q,S,4226.699999809265,207632.29999995232,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Adding olive juice,7,What turns a plain martini into a dirty martini?,440,0.921,35,207632.29999995232,,q,S,2573.399999856949,211662.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The crocodile,3,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.561,36,211662.19999980927,,q,S,2575.4000000953674,216336.89999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Ginseng ,1,"What plant takes its name for the Chinese words for ""man root""? ",245,1.24,37,216336.89999985695,,,,,225846.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Joan of Arc's ,6,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,1.398,38,225846.59999990463,,q,S,6649.299999952316,234413.89999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Two of the seven cities of gold,6,What are Quivira and Cibola?  ,136,1.12,39,234413.89999985695,,q,S,4360.200000047684,240414.29999995232,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The budgerigar,2,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.859,40,240414.29999995232,,q,S,5367.700000047684,248169.29999995232,,,,,HRV,HRV_0196,2022-11-30 18:34:52
South America,5,The electric eel is native only to what continent?,96,1.487,41,248169.39999985695,,q,S,4420.200000047684,254594.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Walt Disney,5,Which person has been awarded the most Oscars ever? ,349,0.749,42,254594.19999980927,,q,S,6100.100000143051,261975.69999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
A mine shaft passage,1,What is an adit?  ,197,0.623,43,261975.79999995232,,q,S,4710.399999856949,267841.59999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
coca-cola,4,Which famous soft drink was invented in 1892?,425,0.538,44,267841.69999980927,,t,W,4820.5,283747.39999985695,275186.69999980927,279207.69999980927,3,3478.300000190735,HRV,HRV_0196,2022-11-30 18:34:52
Green Eggs and Ham,2,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,0.957,45,283747.39999985695,,q,S,3698.600000143051,288924.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Generals,2,Eleven U.S. presidents have been what before being elected?,36,0.712,46,288924.2999999523,,q,S,4210.899999856949,294380.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
"Intercourse, Pennsylvania",7,"What Amish country village in Pennsylvania, where ""Witness"" was filmed, is a frequent victim of street-sign theft?",130,1.162,47,294380.2999999523,,q,S,2945.0,299021.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Saffron,2,What is the most expensive spice (by weight) in the world?,431,0.775,48,299021.5,,q,S,1831.8999998569489,302159.69999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Come by her,2,"The title of the song ""Kumbaya"" is actually a distortion of what three-word phrase?",106,1.797,49,302159.69999980927,,q,S,2391.600000143051,306880.59999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Pancreas,5,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,66,1.523,50,306880.69999980927,,q,S,2428.9000000953674,311359.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Turkey,4,Which animal was named for what was wrongly thought to be its country of origin? ,326,0.868,51,311359.5,,q,S,4007.899999856949,316760.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Ohio,4,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,1.301,52,316760.2999999523,,q,S,4605.0,323192.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Queen Isabella I ,2,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",50,1.049,53,323192.09999990463,,q,S,3135.0,327894.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Zinfindel,6,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.505,54,327894.2999999523,,q,S,2751.7000000476837,332671.39999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Montenegro,1,What European country is named for the dark-looking Dinaric Alps? ,173,1.924,55,332671.5,,q,S,3253.7999999523163,338383.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Happy Birthday,1,What was the first song ever performed in outer space? ,285,0.805,56,338383.69999980927,,q,S,4574.300000190735,344279.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
A Spoonful of Sugar ,5,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.912,57,344279.2999999523,,q,S,6494.200000047684,353211.19999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Arkansas ,2,Where is the only active diamond mine in the U.S.?,320,1.383,58,353211.5,,q,S,3908.0,359034.19999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Fiber is the gut bacteria's preferred fuel source. ,3,What food is most beneficial for your gut bacteria?,458,1.013,59,359034.2999999523,,q,S,2491.7000000476837,363051.69999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Rat,3,Which animal can go longer without water than a camel can? ,323,1.455,60,363051.7999999523,,q,S,5050.200000047684,370083.89999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
"A peanut is a legume, not a nut",3,What type of food is a peanut?,447,1.316,61,370083.89999985695,,q,S,3305.2000000476837,375244.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
It causes sour foods subsequently consumed to taste sweet. ,2,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,1.788,62,375244.59999990463,,q,S,3921.5,381491.89999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Rafflesia (corpse lily) ,7,What is the largest flower in the world? ,204,0.568,63,381492.0,,q,S,2473.2999999523163,385056.39999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Blue,1,Lobster blood is what color?,73,0.879,64,385056.39999985695,,t,W,3533.2999999523163,398402.0,391104.39999985695,395125.2999999523,2,1874.0,HRV,HRV_0196,2022-11-30 18:34:52
Koala,6,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,1.478,65,398402.09999990463,,q,S,3867.7000000476837,404272.0,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Ian Thorpe ,4,Who outgrew a childhood chlorine allergy to become the biggest Olympic medal winner in Australian history? ,370,1.949,66,404272.0,,q,S,4533.5,411289.59999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The old-fashioned,5,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,1.228,67,411289.59999990463,,q,S,2931.2999999523163,415962.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The barrel of a gun,6,"According to Chairman Mao, ""political power grows out of"" what?",11,1.82,68,415962.5,,q,S,2771.199999809265,421086.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Radar,3,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,1.05,69,421086.5,,q,S,2728.5999999046326,425386.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The Mona Lisa,4,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.395,70,425386.39999985695,,q,S,5923.100000143051,433230.59999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
A glacial ridge,6,What is an esker? ,198,0.778,71,433230.59999990463,,q,S,2790.9000000953674,437319.19999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Bhutan,7,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,1.556,72,437319.19999980927,,q,S,2950.600000143051,442358.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Pepper and Mustard,5,What are the top two most popular spices in the world?,422,1.923,73,442358.5,,q,S,5535.299999952316,450348.39999985695,,,,,HRV,HRV_0196,2022-11-30 18:34:52
over 10 billion donuts. ,2,How many donuts are concumed in the US every year?,463,1.487,74,450348.39999985695,,q,S,3664.7999999523163,456022.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Sixteenth,5,Which Constitutional Amendment deals with the income tax? ,336,1.795,75,456022.09999990463,,q,S,3367.5999999046326,461698.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Marven (Marvin) Gardens,3,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,1.976,76,461698.2999999523,,q,S,4099.5,468313.7999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Copperhead snake,6,Which poisonous snake smells like fresh cut cucumbers? ,350,1.446,77,468313.7999999523,,q,S,4677.799999952316,474963.0,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Honey,3,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.974,78,474963.0,,q,S,3529.899999856949,480988.69999980927,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Lightning strike,2,Carnivorous animals will not eat another animal that has been killed by what means?,29,1.423,79,480988.69999980927,,t,W,5209.100000143051,496173.2999999523,488719.7999999523,492740.19999980927,5,1489.5,HRV,HRV_0196,2022-11-30 18:34:52
Dorito is Spanish for little golden things,4,What does Dorito actually mean?,434,1.773,80,496173.2999999523,,q,S,2337.0999999046326,500811.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
cooking,3,"If you suffer from Mageirocophobia, what are you scared of?",438,1.429,81,500811.09999990463,,q,S,2362.5999999046326,505129.7999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Coca-cola,4,What popular drink was first marketed as a brain tonic?,405,1.395,82,505129.7999999523,,,,,514657.09999990463,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Botany Bay,3,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.767,83,514657.19999980927,,q,S,8149.100000143051,525095.399999857,,,,,HRV,HRV_0196,2022-11-30 18:34:52
University of Phoenix,3,"What school has the most students over age 25, according to U.S. News & World Report?",256,1.669,84,525095.399999857,,q,S,4254.200000047684,531535.7999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
pastry,5,Choux and filo are two types of what food product?,446,1.775,85,531535.7999999523,,q,S,3534.0,537364.1999998093,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Great Britain,4,"Of the world's seven most populous islands, what's the only one not in Asia? ",76,1.884,86,537364.1999998093,,q,S,2745.2000000476837,542511.7999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
KISS ,5,"According to the Guinness Book of Records, what was the loudest rock band ever?",13,1.134,87,542511.7999999523,,q,S,4021.899999856949,548190.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
The World Almanac and Book of Facts,4,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.39,88,548190.2999999523,,q,S,3094.5999999046326,553204.899999857,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Habanero,3,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,1.781,89,553204.899999857,,q,S,4385.0,559898.399999857,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Silicon,6,What element is combined with oxygen to make up the mineral quartz?,269,0.617,90,559898.399999857,,q,S,2411.0,563450.1999998093,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Grover Cleveland ,7,Who was the only U.S. president to have been married in the White House? ,385,1.39,91,563450.1999998093,,q,S,4098.800000190735,569465.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Holy Roman Emperor Henry IV ,3,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,0.616,92,569465.5999999046,,q,S,4491.599999904633,575096.5,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Pachyderm,5,"What word comes to us from the Greek for ""thick-skinned""?  ",297,0.51,93,575096.5,,q,S,4844.299999952316,580976.0999999046,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Kayak,2,An umiak is a larger version of what? ,20,0.665,94,580976.0999999046,,q,S,3742.5999999046326,585904.2999999523,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Germany,4,Which European country was the first to produce decaffeinated coffee? ,412,1.506,95,585904.399999857,,q,S,2893.100000143051,590816.399999857,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Dragonflies,3,"Which insect, one of the fastest, can fly at speeds up to 60 mph? ",342,1.562,96,590816.399999857,,q,S,3526.4000000953674,596422.5999999046,,,,,HRV,HRV_0196,2022-11-30 18:34:52
Charles Babbage ,4,"What inventor of the Difference Engine once baked himself in an oven for five minutes, ""to see what would happen""?",192,1.982,97,596422.5999999046,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 597197.7999999523, 'date time': 1669833075661}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 597240.399999857, 'date time': 1669833075703}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 600734.7999999523, 'date time': 1669833079198}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 601817.7999999523, 'date time': 1669833080281}]",q,S,6873.099999904633,605805.399999857,,,,,HRV,HRV_0196,2022-11-30 18:34:52
