Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Dutch Oven,3,"What kind of ""oven"" is the official state cooking pot of Utah? ",220,0.822,10,139268.09999999963,,146615.69999999925,p,K,6012.5,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Australia,4,"""Welcome Stranger,"" the largest nugget of gold discovered, weighed 158 pounds and was discovered in what country?",5,1.586,11,146615.69999999925,,156139.0,,,,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Coca-Cola,7,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.855,12,156139.0,,173130.3999999985,t,W,5593.5999999996275,164262.69999999925,168270.19999999925,5,2479.4000000003725,HRV,HRV_0039,2022-11-30 17:34:30
Grace Kelly ,6,What was the name of the American actress who was first to appear on a postage stamp?  ,288,0.566,13,173130.3999999985,,188621.69999999925,t,W,5249.200000001118,180911.29999999888,184932.69999999925,5,2589.0,HRV,HRV_0039,2022-11-30 17:34:30
Haricot beans,2,Baked beans are made from what type of bean?,443,0.772,14,188621.69999999925,,202977.09999999963,t,W,4751.5999999996275,195901.69999999925,199913.09999999963,5,1770.5,HRV,HRV_0039,2022-11-30 17:34:30
Japan ,3,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,1.853,15,202977.09999999963,,212496.3999999985,,,,,,,,HRV,HRV_0039,2022-11-30 17:34:30
A wiki,5,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,1.851,16,212496.3999999985,,226783.5,t,W,3571.4000000003725,218603.79999999888,222617.29999999888,5,1786.9000000003725,HRV,HRV_0039,2022-11-30 17:34:30
Dorito is Spanish for little golden things,1,What does Dorito actually mean?,434,1.843,17,226783.5,,233978.19999999925,q,S,4811.5,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Walt Disney,7,Which person has been awarded the most Oscars ever? ,349,0.924,18,233978.19999999925,,250316.79999999888,t,W,6484.800000000745,242981.09999999963,246988.09999999963,5,1879.4000000003725,HRV,HRV_0039,2022-11-30 17:34:30
Owl,3,"Which animal has tubular shaped eyeballs, which therefore cannot move?  ",325,1.041,19,250316.79999999888,,260102.69999999925,p,K,8226.900000000373,,,,,HRV,HRV_0039,2022-11-30 17:34:30
a spit,1,"If something is described as rotisserie, what has it been cooked on?",428,1.655,20,260102.69999999925,,267145.7999999989,p,K,4875.800000000745,,,,,HRV,HRV_0039,2022-11-30 17:34:30
The old-fashioned,2,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,1.611,21,267145.7999999989,,283206.0,t,W,6812.0,276478.8999999985,280500.19999999925,4,570.3000000007451,HRV,HRV_0039,2022-11-30 17:34:30
General Electric ,7,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,310,1.519,22,283206.0,,301879.0,t,W,7609.799999998882,293336.2999999989,297351.0999999996,,,HRV,HRV_0039,2022-11-30 17:34:30
Robert Lincoln ,2,Who was the only person to be nearby at three different presidential assassinations? ,382,1.524,23,301879.0,,315164.2999999989,t,W,3349.0,307756.19999999925,311773.5,2,1340.5,HRV,HRV_0039,2022-11-30 17:34:30
St. Louis Gateway Arch ,1,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,1.475,24,315164.3999999985,,327071.0999999996,t,W,2233.800000000745,319915.5,323935.8999999985,4,1143.0,HRV,HRV_0039,2022-11-30 17:34:30
Escape,7,"What word is the actual title of the 1979 hit usually called ""The Pina Colada Song""?   ",299,1.283,25,327071.0999999996,,335152.3999999985,p,K,6261.5,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Cadabra.com ,2,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,1.651,26,335152.3999999985,,344546.5,p,K,7212.4000000003725,,,,,HRV,HRV_0039,2022-11-30 17:34:30
A Cheeta born in 1932,1,Who is the world's oldest (non-human) primate on record?  ,369,1.417,27,344546.5,,360335.5999999996,t,W,5922.39999999851,352997.2999999989,357006.0,4,1393.0999999996275,HRV,HRV_0039,2022-11-30 17:34:30
Mice,7,"After humans, what's the worlds most abundant mammal species?",16,1.951,28,360335.5999999996,,366355.5,q,S,3534.9000000003725,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Yahoo!,2,What Internet portal was sued for copyright infringement in 2000 by the star of Young Einstein? ,190,1.288,29,366355.5,,383616.19999999925,t,W,7951.5,376827.0999999996,380846.5999999996,5,971.6999999992549,HRV,HRV_0039,2022-11-30 17:34:30
Lightning strike,5,Carnivorous animals will not eat another animal that has been killed by what means?,29,0.568,30,383616.19999999925,,393116.8999999985,p,K,8399.599999999627,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Claudius,5,Which Roman emperor had a speech impediment?  ,351,1.617,31,393116.8999999985,,399223.19999999925,p,K,3970.7000000011176,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Luge,1,What sports term is the shortest word ever to decide the National Spelling Bee?   ,261,1.352,32,399223.19999999925,,413369.5999999996,t,W,5118.4000000003725,406869.8999999985,410880.5,4,613.3999999985099,HRV,HRV_0039,2022-11-30 17:34:30
Montenegro,3,What European country is named for the dark-looking Dinaric Alps? ,173,1.054,33,413369.5999999996,,419416.3999999985,q,S,4467.799999998882,,,,,HRV,HRV_0039,2022-11-30 17:34:30
over 10 billion donuts. ,5,How many donuts are concumed in the US every year?,463,1.886,34,419416.3999999985,,425457.5999999996,p,K,3618.800000000745,,,,,HRV,HRV_0039,2022-11-30 17:34:30
popscicle,5,What food was invented by an 11 year old in 1905?,450,1.331,35,425457.5999999996,,440701.7999999989,t,W,6119.799999998882,434104.5,438123.0,5,733.6999999992549,HRV,HRV_0039,2022-11-30 17:34:30
Roulette,2,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,1.74,36,440701.8999999985,,456561.5,t,W,5187.300000000745,448408.5999999996,452429.7999999989,2,1877.2000000011176,HRV,HRV_0039,2022-11-30 17:34:30
Graham Greene,2,"Which British novelist said, ""Fame is a powerful aphrodisiac""?",332,1.419,37,456561.5999999996,,463674.0,q,S,5173.5999999996275,,,,,HRV,HRV_0039,2022-11-30 17:34:30
citrus fruit (scurvy is caused by a lack of vitamin c),1,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,1.347,38,463674.0,,470799.8999999985,p,K,5262.39999999851,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Phosphorus,5,"What element did alchemist Hennig Brand discover in 1669 when, boiling his own urine in the hopes of making gold, he observed glowing fumes?",169,1.821,39,470799.8999999985,,480691.8999999985,q,S,7559.800000000745,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,6,What is the most fattening product in the modern diet?,457,1.804,40,480691.8999999985,,488593.5,q,S,5581.60000000149,,,,,HRV,HRV_0039,2022-11-30 17:34:30
The Super Bowl ,2,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,0.651,41,488593.5,,494843.8999999985,p,K,5068.299999998882,,,,,HRV,HRV_0039,2022-11-30 17:34:30
" ""!"" ",4,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?",35,1.551,42,494844.0,,504373.5999999996,,,,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Tse-tse fly,3,What transmits the disease typanosomiasis to humans and cattle? ,267,0.748,43,504373.69999999925,,519458.2999999989,t,W,5439.800000000745,512349.8999999985,516364.69999999925,3,1819.699999999255,HRV,HRV_0039,2022-11-30 17:34:30
Zinfindel,6,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,0.861,44,519458.2999999989,,526290.0999999996,q,S,5448.200000001118,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Prussian Blue ,1,What craylola color became 'midnight blue' in 1985 to remove an out-of-date geographical term? ,160,1.953,45,526290.0999999996,,543563.6999999993,t,W,7590.0,536413.2999999989,540425.6999999993,3,652.9000000003725,HRV,HRV_0039,2022-11-30 17:34:30
San Fancisco,2,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.685,46,543563.6999999993,,548991.6999999993,p,K,3225.4000000003725,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Matches,2,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,1.057,47,548991.6999999993,,556943.8999999985,q,S,6383.4000000003725,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Capitol Hill,5,"Until 1790, what was known as Jenkins Hill? ",119,1.93,48,556943.8999999985,,562346.2999999989,q,S,2953.10000000149,,,,,HRV,HRV_0039,2022-11-30 17:34:30
"Portland, Oregon",6,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.743,49,562346.2999999989,,570410.8999999985,q,S,5792.0,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Sepia,7,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.79,50,570410.8999999985,,579429.3999999985,q,S,6711.0,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Woodrow Wilson,6,Which U.S. president's home was named Shadow Lawn?,356,1.241,51,579429.3999999985,,586355.6999999993,q,S,5168.60000000149,,,,,HRV,HRV_0039,2022-11-30 17:34:30
Albert Einstein,1,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,1.253,52,586355.7999999989,,597997.0999999996,t,W,2458.5999999996275,591339.2999999989,595348.7999999989,5,876.8000000007451,HRV,HRV_0039,2022-11-30 17:34:30
Honda's Civic,2,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",17,0.983,53,597997.0999999996,,604205.3999999985,p,K,4698.299999998882,,,,,HRV,HRV_0039,2022-11-30 17:34:30
