Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,exp,subjectId,date
Matches,6,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,1.326,39,157543.60000002384,162142.70000004768,q,S,2750.0,HRV,HRV_0017,2022-11-30 17:46:09
Condoleeza (con dolcezza) Rice ,6,"Whose unusual first name is derived from an Italian musical term for ""with sweetness""? ",390,1.974,40,162142.80000001192,167250.60000002384,q,S,2609.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
potein,7,"What nutrient comes from meat, eggs, and fish?",433,1.936,41,167250.70000004768,171743.0,p,K,2034.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Bright red,3,Vitamin A is largely available in natural food sources with which colour?,448,0.612,42,171743.10000002384,174959.70000004768,p,K,2092.0,HRV,HRV_0017,2022-11-30 17:46:09
Jim Lovell,3,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.628,43,174959.80000001192,179926.5,q,S,2821.400000035763,HRV,HRV_0017,2022-11-30 17:46:09
State quarters ,1,What's been released five times a year from January 1999 to fall 2008?,300,0.915,44,179926.5,183546.30000001192,q,S,2174.0,HRV,HRV_0017,2022-11-30 17:46:09
Andy Kaufman,6,Who was banned from Saturday Night Live by viewer phone vote in 1982? ,376,1.017,45,183546.30000001192,187230.10000002384,q,S,2145.900000035763,HRV,HRV_0017,2022-11-30 17:46:09
UFOs,1,What was studied by Project Blue Book?   ,279,1.083,46,187230.20000004768,190454.30000001192,q,S,1624.5999999642372,HRV,HRV_0017,2022-11-30 17:46:09
Saffron,3,What is the most expensive spice (by weight) in the world?,431,1.791,47,190454.40000003576,194766.60000002384,p,K,1999.3999999761581,HRV,HRV_0017,2022-11-30 17:46:09
Japan ,7,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,0.657,48,194766.60000002384,197743.10000002384,q,S,1804.5,HRV,HRV_0017,2022-11-30 17:46:09
Choking on food,6,"Each year, approximately 125 people die of what? ",417,1.332,49,197743.10000002384,201701.70000004768,q,S,2103.100000023842,HRV,HRV_0017,2022-11-30 17:46:09
Martin Luther King Jr. ,4,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,1.316,50,201701.80000001192,205360.80000001192,p,K,1814.5,HRV,HRV_0017,2022-11-30 17:46:09
Ampersand (&),5,"What began as a ligature of the letters ""e"" and ""t""?",144,0.681,51,205360.90000003576,208258.60000002384,q,S,1695.5,HRV,HRV_0017,2022-11-30 17:46:09
Poland,2,What EU nation was once led by a president and a prime minister who were identical twins? ,172,0.814,52,208258.70000004768,211682.0,q,S,2087.099999964237,HRV,HRV_0017,2022-11-30 17:46:09
Marven (Marvin) Gardens,7,"What Margate City, NJ, housing area has been misspelled on the Monopoly board for almost 80 years?",229,0.939,53,211682.0,215049.5,q,S,1909.0,HRV,HRV_0017,2022-11-30 17:46:09
What do women want? ,4,"What was the one question Sigmund Freud said he was unable to answer, despite 30 years of research?",291,0.993,54,215049.5,218666.60000002384,q,S,2100.2000000476837,HRV,HRV_0017,2022-11-30 17:46:09
The Mona Lisa,7,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.904,55,218666.70000004768,223077.90000003576,q,S,1986.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Espresso,6,The Italian government regulates the price of what beverage?,399,1.749,56,223077.90000003576,228000.70000004768,p,K,2660.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
The Hindenburg explosion,2,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.186,57,228000.80000001192,232957.60000002384,q,S,3251.900000035763,HRV,HRV_0017,2022-11-30 17:46:09
Strom Thurmond ,6,Who filibustered for a record twenty-four hours and eighteen minutes -- with a urine pail standing at the ready -- in the hope of preventing the Civil Rights Act of 1957?,366,1.011,58,232957.60000002384,237654.5,q,S,3171.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Excalibur,3,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",14,1.182,59,237654.5,243345.40000003576,p,K,3989.900000035763,HRV,HRV_0017,2022-11-30 17:46:09
The Blair Witch Project,2,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,1.031,60,243345.5,247351.0,q,S,2457.2000000476837,HRV,HRV_0017,2022-11-30 17:46:09
Genetics,1,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,0.981,61,247351.10000002384,254167.20000004768,q,S,5315.5,HRV,HRV_0017,2022-11-30 17:46:09
Adlai Stevenson,2,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.081,62,254167.20000004768,258965.70000004768,q,S,3199.5,HRV,HRV_0017,2022-11-30 17:46:09
Lhasa Apso,2,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,0.771,63,258965.70000004768,264062.2000000477,q,S,3807.899999976158,HRV,HRV_0017,2022-11-30 17:46:09
Czechoslovakia,6,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.784,64,264062.2000000477,270246.3000000119,q,S,3884.5,HRV,HRV_0017,2022-11-30 17:46:09
Gone with the Wind,3,The first swear word on the big screen was in what movie?,100,0.722,65,270246.40000003576,273089.2000000477,q,S,1598.5999999642372,HRV,HRV_0017,2022-11-30 17:46:09
The old-fashioned,4,"What whiskey cocktail lends its name to the short glass also called a ""lowball""?",410,1.739,66,273089.3000000119,277730.0,q,S,2382.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Silver,2,What metal was found in Nevada's famed Comstock Lode?  ,230,0.678,67,277730.0,280582.7000000477,q,S,1660.9000000357628,HRV,HRV_0017,2022-11-30 17:46:09
On a Jell-O box,3,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,1.215,68,280582.7000000477,286146.60000002384,q,S,3827.099999964237,HRV,HRV_0017,2022-11-30 17:46:09
A jenny ,3,What is a female donkey called?,194,1.15,69,286146.60000002384,289640.7000000477,q,S,1826.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
The Millenium Falcon ,5,"What could be built by the largest Lego set ever sold, a 5195-piece monstrosity? ",156,1.184,70,289640.7000000477,292897.10000002384,q,S,1548.7999999523163,HRV,HRV_0017,2022-11-30 17:46:09
Social Security,4,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.067,71,292897.10000002384,297113.90000003576,q,S,2633.100000023842,HRV,HRV_0017,2022-11-30 17:46:09
Butt,4,The adjective callipygian refers to someone who has a beautiful what? ,88,1.527,72,297113.90000003576,302425.2000000477,q,S,3261.899999976158,HRV,HRV_0017,2022-11-30 17:46:09
at least 97%,7,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,0.644,73,302425.2000000477,306375.10000002384,p,K,2788.0,HRV,HRV_0017,2022-11-30 17:46:09
Boston Tea Party,7,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",94,0.817,74,306375.10000002384,309937.0,q,S,2227.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
It causes sour foods subsequently consumed to taste sweet. ,6,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,1.843,75,309937.10000002384,314381.60000002384,q,S,2079.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Sudan,6,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.132,76,314381.60000002384,318565.8000000119,q,S,2536.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Habanero,6,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,0.688,77,318565.8000000119,323130.5,q,S,3352.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Ripe cranerries bounce when dropped on the ground,3,How do farmers test whether cranberries are ripe?,452,1.46,78,323130.5,327248.3000000119,q,S,2138.0,HRV,HRV_0017,2022-11-30 17:46:09
George VI,4,Who was the last British Monarch to also be an emperor?  ,381,1.482,79,327248.3000000119,330848.40000003576,q,S,1599.5,HRV,HRV_0017,2022-11-30 17:46:09
A Spoonful of Sugar ,1,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.167,80,330848.5,334253.90000003576,q,S,1717.1000000238419,HRV,HRV_0017,2022-11-30 17:46:09
George H.W. Bush ,1,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,1.961,81,334253.90000003576,338672.10000002384,q,S,1933.3999999761581,HRV,HRV_0017,2022-11-30 17:46:09
Lolita by Vladimir Nabokov,4,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,1.722,82,338672.10000002384,343070.0,q,S,2158.5,HRV,HRV_0017,2022-11-30 17:46:09
Gerald Ford ,6,What president was shot while walking to California Governor Jerry Brown's office?  ,247,1.724,83,343070.0,347848.8000000119,q,S,2525.400000035763,HRV,HRV_0017,2022-11-30 17:46:09
Syzygy,6,What's the astronomical term for three celestial bodies aligning?   ,302,1.051,84,347848.8000000119,351342.0,p,K,1923.9000000357628,HRV,HRV_0017,2022-11-30 17:46:09
A wiki,5,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,1.574,85,351342.10000002384,355375.2000000477,q,S,1941.1000000238419,HRV,HRV_0017,2022-11-30 17:46:09
Pandemonium,5,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,1.11,86,355375.3000000119,359258.60000002384,q,S,2253.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
popscicle,4,What food was invented by an 11 year old in 1905?,450,0.814,87,359258.7000000477,362166.10000002384,q,S,1584.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
"Gaslight Caf̩, Greenwich Village",6,Where did Bob Dylan first play in public? ,314,1.416,88,362166.10000002384,365854.3000000119,q,S,1750.5,HRV,HRV_0017,2022-11-30 17:46:09
C,5,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",71,1.719,89,365854.5,371749.60000002384,q,S,3649.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Air bags,4,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",84,0.508,90,371749.7000000477,375711.0,q,S,2936.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Carbon,6,What element must be burned out of pig iron to make steel? ,170,1.956,91,375711.10000002384,380946.60000002384,q,S,2750.0,HRV,HRV_0017,2022-11-30 17:46:09
Sepia,3,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.031,92,380946.60000002384,385569.10000002384,q,S,3052.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
Cornea,1,What is the only part of the body that has no blood supply? ,211,1.011,93,385569.2000000477,389416.90000003576,q,S,2316.5,HRV,HRV_0017,2022-11-30 17:46:09
Pearl Harbor ,2,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.759,94,389416.90000003576,395167.2000000477,q,S,3473.0,HRV,HRV_0017,2022-11-30 17:46:09
Broccoli! ,4,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.693,95,395167.2000000477,399890.3000000119,p,K,2509.599999964237,HRV,HRV_0017,2022-11-30 17:46:09
Orca (Killer Whale) ,7,Which is the largest species of dolphin? ,343,1.615,96,399890.40000003576,403642.60000002384,q,S,1615.8999999761581,HRV,HRV_0017,2022-11-30 17:46:09
The bishop,1,Which chess piece was originally called 'the elephant'? ,334,0.926,97,403642.60000002384,407034.3000000119,p,K,1948.0,HRV,HRV_0017,2022-11-30 17:46:09
Lou Gehrig,3,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,1.631,98,407034.3000000119,411482.5,q,S,2292.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
The budgerigar,7,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.467,99,411482.60000002384,415858.7000000477,q,S,2387.899999976158,HRV,HRV_0017,2022-11-30 17:46:09
Cell,4,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,1.809,100,415858.7000000477,420120.10000002384,q,S,1937.2999999523163,HRV,HRV_0017,2022-11-30 17:46:09
Temple Prostitute,2,"Anciently, what was the job description of a ""hierodule""?",21,1.918,101,420120.10000002384,424061.60000002384,q,S,1509.0,HRV,HRV_0017,2022-11-30 17:46:09
Lava lamp ,6,What was first made by suspending paraffin in a solution of water and antifreeze? ,276,1.72,102,424061.7000000477,428410.5,q,S,2105.2999999523163,HRV,HRV_0017,2022-11-30 17:46:09
coca-cola,3,Which famous soft drink was invented in 1892?,425,1.551,103,428410.60000002384,432101.90000003576,q,S,1620.8999999761581,HRV,HRV_0017,2022-11-30 17:46:09
Peanuts ,1,What snack food is an ingredient in the explosive dynamite?  ,408,1.827,104,432101.90000003576,436384.3000000119,q,S,1932.0999999642372,HRV,HRV_0017,2022-11-30 17:46:09
Thrust,2,What term for a rocket's propulsive force is calculated by multiplying its exhaust velocity by the burn rate of its fuel?,265,0.7,105,436384.3000000119,439325.60000002384,q,S,1714.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Chicago,1,What city has the only drive-thru post office in the world? ,147,1.672,106,439325.60000002384,444286.7000000477,q,S,2769.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
The sky,5,The Linke Scale is used to measure the blueness of what?,101,1.111,107,444286.7000000477,448038.2000000477,q,S,2124.7999999523163,HRV,HRV_0017,2022-11-30 17:46:09
Tea leaves,4,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.912,108,448038.2000000477,452703.90000003576,q,S,2230.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Antawn Jamison ,7,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,1.992,109,452704.0,458185.90000003576,q,S,2969.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
Albert Einstein,7,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,1.141,110,458186.0,461455.60000002384,q,S,1617.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Sapphire,1,What type of stone is referred to as the Star of India?  ,270,1.248,111,461455.7000000477,465394.60000002384,q,S,2166.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Catapult ,6,What artillery weapon was launched upon the world in 400 B.C.?  ,140,1.382,112,465394.7000000477,469319.8000000119,q,S,2025.2999999523163,HRV,HRV_0017,2022-11-30 17:46:09
Utah,3,"What US state advertised ""The Greatest Snow on Earth"" on its license plates? ",273,0.685,113,469319.8000000119,472473.90000003576,q,S,1942.0,HRV,HRV_0017,2022-11-30 17:46:09
Westminster Kennel Club dog show ,4,What is the second oldest continuously held American sporting event?  ,214,1.283,114,472474.0,477102.0,q,S,2824.7000000476837,HRV,HRV_0017,2022-11-30 17:46:09
Adobe,2,"What word for mud bricks comes to us from the ancient Egyptian word ""dbt""? ",298,1.23,115,477102.0,480904.40000003576,q,S,2047.7000000476837,HRV,HRV_0017,2022-11-30 17:46:09
Nutmeg,7,What slightly hallucinogenic spice did Malcolm X use to get high while in prison? ,407,0.662,116,480904.40000003576,484320.2000000477,p,K,2235.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
Vietnam,6,"In what country did the domesticated ""potbellied pig"" originate?",61,1.017,117,484320.3000000119,487986.60000002384,q,S,2129.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
Generals,4,Eleven U.S. presidents have been what before being elected?,36,1.19,118,487986.60000002384,492018.7000000477,q,S,2315.399999976158,HRV,HRV_0017,2022-11-30 17:46:09
Ciabatta,5,"What sandwich bread, because of its shape, takes its name from the Italian for ""carpet slipper""? ",406,1.003,119,492018.7000000477,495853.8000000119,q,S,2315.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Dark Side of the Moon,3,What album spent a record 741 weeks on Billboard's Top 200 Albums chart? ,129,1.726,120,495853.90000003576,500119.3000000119,q,S,2022.3999999761581,HRV,HRV_0017,2022-11-30 17:46:09
citrus fruit (scurvy is caused by a lack of vitamin c),6,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,0.739,121,500119.40000003576,503401.60000002384,p,K,2014.0999999642372,HRV,HRV_0017,2022-11-30 17:46:09
Rooster,4,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,0.581,122,503401.7000000477,507158.10000002384,p,K,2660.199999988079,HRV,HRV_0017,2022-11-30 17:46:09
Prussian Blue ,4,What craylola color became 'midnight blue' in 1985 to remove an out-of-date geographical term? ,160,0.676,123,507158.10000002384,511837.8000000119,q,S,3484.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
Everything ,2,Pantophobia is the fear of what?,79,1.579,124,511837.8000000119,516114.90000003576,q,S,2178.100000023842,HRV,HRV_0017,2022-11-30 17:46:09
Odor Eaters ,3,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,1.368,125,516115.0,520898.60000002384,q,S,2889.900000035763,HRV,HRV_0017,2022-11-30 17:46:09
Pig,3,What is the only type of animal besides a human that can get a sunburn?,212,0.857,126,520898.7000000477,524813.8000000119,q,S,2540.099999964237,HRV,HRV_0017,2022-11-30 17:46:09
Giant squid,7,Which animal can have eyes that are a foot in diameter? ,324,0.689,127,524813.8000000119,527904.6000000238,q,S,1886.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
Oregon ,2,"The world's smallest park, measuring two feet in diameter, is located in what U.S. state? ",112,1.498,128,527904.6000000238,532055.3000000119,q,S,2138.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
Bacon,5,"In Britain, what kind of meat comes in rashers?",397,0.723,129,532055.4000000358,534914.6000000238,q,S,1615.3999999761581,HRV,HRV_0017,2022-11-30 17:46:09
Bumblebee bat,1,"Which mammal is the world's smallest, weighing less than a penny? ",347,1.616,130,534914.7000000477,538638.6000000238,q,S,1586.3999999761581,HRV,HRV_0017,2022-11-30 17:46:09
honey,3,Which is the only food that can never go off or go bad?,442,0.924,131,538638.7000000477,542744.0,q,S,2654.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
Texas,2,"What state's motto is ""friendship"" since that's supposed to have been the meaning of the state's Caddo Indian name?",263,0.582,132,542744.0,546098.6000000238,q,S,2252.800000011921,HRV,HRV_0017,2022-11-30 17:46:09
China,5,Which country first used the decimal system?  ,338,1.545,133,546098.6000000238,550142.1000000238,q,S,1982.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
The nock,5,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.271,134,550142.1000000238,554174.0,p,K,2245.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
It's stamped on the coin's edge.,5,"What is unusual about the ""in God We Trust"" Motto on the U.S. Mint's recent presidential dollar coins?",215,0.922,135,554174.1000000238,558798.9000000358,q,S,3183.100000023842,HRV,HRV_0017,2022-11-30 17:46:09
School buses were painted yellow,7,A conference on safety held at Columbia University's Teacher College in 1939 led to what change? ,9,1.775,136,558798.9000000358,562666.6000000238,q,S,1572.3999999761581,HRV,HRV_0017,2022-11-30 17:46:09
Lightning strike,6,Carnivorous animals will not eat another animal that has been killed by what means?,29,1.032,137,562666.6000000238,567578.5,p,K,3360.600000023842,HRV,HRV_0017,2022-11-30 17:46:09
The Commodore 64 ,5,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,1.449,138,567578.5,571934.6000000238,q,S,2388.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
A Galapagos giant tortoise ,2,"What kind of animal was Hariet, who died at the Queensland Zoo in 2006 and was claimed to have belonged to Charles Darwin?",223,1.905,139,571934.6000000238,577630.6000000238,p,K,3272.699999988079,HRV,HRV_0017,2022-11-30 17:46:09
George Orwell ,5,"Whose first book was ""Down and Out in Paris and London"", about his year among the poverty-stricken underclass of those cities?",388,0.502,140,577630.6000000238,580273.4000000358,q,S,1617.5,HRV,HRV_0017,2022-11-30 17:46:09
Columbia,6,What company introduced the first LP record albums?  ,155,1.633,141,580273.4000000358,584362.6000000238,q,S,1935.0999999642372,HRV,HRV_0017,2022-11-30 17:46:09
Yellow,2,What color is insect blood? ,150,1.408,142,584362.6000000238,587882.5,q,S,1588.300000011921,HRV,HRV_0017,2022-11-30 17:46:09
