Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
Pen(n)sylvania ,3,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.721,39,196605.79999995232,,q,S,1735.7000000476837,200576.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
There was a pound of every ingredient in the original reciipe. ,7,How did the pound cake get its name?,460,1.223,40,200576.89999985695,,p,K,1633.2999999523163,203964.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Gecko,4,What is the only type of lizard that has a voice? ,213,0.743,41,203964.89999985695,,p,K,1601.6000001430511,206823.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Sapphire,1,What type of stone is referred to as the Star of India?  ,270,1.58,42,206823.89999985695,,q,S,1641.7000000476837,210580.69999980927,HRV,HRV_0149,2022-11-30 18:11:41
Frankie Avalon ,5,"Who had the last number one hit of the 1950s with his song ""Why""? ",367,1.551,43,210580.69999980927,,p,K,1633.2000000476837,214284.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Love Me Do ,7,What was The Beatles's first song to hit the UK charts?,280,0.901,44,214284.19999980927,,p,K,1804.0,217524.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Tea leaves,7,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.574,45,217524.69999980927,,p,K,2144.800000190735,221751.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,2,What is the most fattening product in the modern diet?,457,0.942,46,221751.19999980927,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 224779.69999980927, 'date time': 1669831522571}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 224782.79999995232, 'date time': 1669831522575}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 224804.39999985695, 'date time': 1669831522596}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 224805.39999985695, 'date time': 1669831522597}]",p,K,2112.4000000953674,225331.79999995232,HRV,HRV_0149,2022-11-30 18:11:41
Betty Rubble,3,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,0.96,47,225331.89999985695,,p,K,2533.7999999523163,229340.0,HRV,HRV_0149,2022-11-30 18:11:41
Queen Isabella I ,1,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",50,1.443,48,229340.0,,p,K,1589.6999998092651,232890.5,HRV,HRV_0149,2022-11-30 18:11:41
Poland,7,What EU nation was once led by a president and a prime minister who were identical twins? ,172,1.102,49,232890.5,,p,K,1637.0999999046326,236155.0,HRV,HRV_0149,2022-11-30 18:11:41
Bling bling ,2,What term does rapper B.G. say he wishes he'd patented when he used it for the title of his massive 1999 hit?,264,1.412,50,236155.0,,p,K,1782.8999998569489,239860.5,HRV,HRV_0149,2022-11-30 18:11:41
The barrel of a gun,1,"According to Chairman Mao, ""political power grows out of"" what?",11,1.074,51,239860.59999990463,,p,K,1664.4000000953674,243134.0,HRV,HRV_0149,2022-11-30 18:11:41
Radioactivity,5,What is measured in becquerels? ,201,0.545,52,243134.0,,p,K,1530.3999998569489,245732.79999995232,HRV,HRV_0149,2022-11-30 18:11:41
The budgerigar,7,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.034,53,245732.79999995232,,p,K,2245.2000000476837,249534.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
Untethered space walk,5,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,0.603,54,249534.39999985695,,p,K,2734.7999999523163,253402.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
The Loch Ness Monster,1,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.625,55,253402.59999990463,,p,K,1775.2999999523163,257326.79999995232,HRV,HRV_0149,2022-11-30 18:11:41
The crocodile,1,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.753,56,257326.79999995232,,q,S,1511.7999999523163,261123.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Bright red,2,Vitamin A is largely available in natural food sources with which colour?,448,1.856,57,261123.89999985695,,q,S,1660.6000001430511,265161.69999980927,HRV,HRV_0149,2022-11-30 18:11:41
Giant squid,5,Which animal can have eyes that are a foot in diameter? ,324,0.749,58,265161.7999999523,,p,K,1539.7000000476837,267978.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
The La Brea tar pits ,4,"A California Chumash Indian woman, who appears to have been killed by a blow to the head 9,000 years ago, is the only human ever to be found where?",7,1.598,59,267978.19999980927,,q,S,1918.6000001430511,272011.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
A Spoonful of Sugar ,5,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,0.534,60,272011.39999985695,,q,S,1892.9000000953674,274965.0,HRV,HRV_0149,2022-11-30 18:11:41
Joan of Arc's ,6,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,1.367,61,274965.0,,p,K,1820.7999999523163,278668.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
All in the Family ,5,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.516,62,278668.39999985695,,p,K,3848.4000000953674,284573.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
Japan,4,Where is the longest suspension bridge? ,319,0.535,63,284573.39999985695,,p,K,1579.2000000476837,287206.5,HRV,HRV_0149,2022-11-30 18:11:41
Chicago,7,What city has the only drive-thru post office in the world? ,147,0.582,64,287206.5,,p,K,1590.3999998569489,289886.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Rod Serling ,6,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,175,0.54,65,289887.0,,p,K,3096.7999999523163,294054.7999999523,HRV,HRV_0149,2022-11-30 18:11:41
Walt Disney,7,Which person has been awarded the most Oscars ever? ,349,1.753,66,294054.7999999523,,p,K,1727.8999998569489,298060.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
"A peanut is a legume, not a nut",6,What type of food is a peanut?,447,1.219,67,298060.19999980927,,p,K,1547.3000001907349,301350.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Phosphorus,6,"What element did alchemist Hennig Brand discover in 1669 when, boiling his own urine in the hopes of making gold, he observed glowing fumes?",169,0.573,68,301350.69999980927,,p,K,1751.0,304186.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
A glacial ridge,3,What is an esker? ,198,1.066,69,304187.0,,p,K,1572.8999998569489,307339.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Adlai Stevenson,5,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.18,70,307339.59999990463,,p,K,2017.0,311057.7999999523,HRV,HRV_0149,2022-11-30 18:11:41
Mung beans ,3,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.102,71,311057.7999999523,,p,K,1612.0999999046326,314284.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Buck,4,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,1.981,72,314284.89999985695,,q,S,1643.2000000476837,318430.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Claudius,6,Which Roman emperor had a speech impediment?  ,351,0.812,73,318430.19999980927,,p,K,1565.3000001907349,321338.69999980927,HRV,HRV_0149,2022-11-30 18:11:41
Charles ,1,What river runs through Boston? ,252,1.703,74,321338.69999980927,,p,K,2503.4000000953674,326076.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
The popsicle,6,Which popular treat was invented by an 11-year-old in California? ,413,0.55,75,326076.59999990463,,p,K,1636.4000000953674,328788.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
pastry,2,Choux and filo are two types of what food product?,446,1.342,76,328788.39999985695,,q,S,1917.5,332570.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Sri Lanka,7,"The word serendipity comes from Serendip, the Persian name for what island? ",109,0.816,77,332570.19999980927,,q,S,1531.4000000953674,335453.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
citrus fruit (scurvy is caused by a lack of vitamin c),3,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,0.793,78,335453.09999990463,,q,S,1880.5,338639.69999980927,HRV,HRV_0149,2022-11-30 18:11:41
A wiki,6,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,1.983,79,338639.69999980927,,p,K,1608.6000001430511,342743.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
Snoopy's,6,"Whose doghouse apparently contains a basement, a pool table, an Andrew Wyeth painting, and a Jacuzzi?",387,1.526,80,342743.39999985695,,p,K,1835.4000000953674,346638.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
cooking,5,"If you suffer from Mageirocophobia, what are you scared of?",438,1.696,81,346638.2999999523,,p,K,1657.5999999046326,350518.69999980927,HRV,HRV_0149,2022-11-30 18:11:41
Espresso,1,The Italian government regulates the price of what beverage?,399,0.547,82,350518.7999999523,,q,S,1548.7999999523163,353143.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Albert Einstein,1,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,0.511,83,353143.59999990463,,p,K,1650.5,355824.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
Theodore Roosevelt ,2,"What former president coined the phrase ""lunatic fringe"" to refer to the wackos in his own reform movement?",178,1.042,84,355824.39999985695,,p,K,3565.7000000476837,360956.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Oklahoma,3,"What U.S. state has the slogan ""Native America"" on its license plates?",271,0.927,85,360956.89999985695,,p,K,1784.7999999523163,364195.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Thomas Crapper,2,What was the unfortunate name of the plumber who helped popularize and improve the flush toilet? ,294,0.691,86,364195.89999985695,,q,S,2145.4000000953674,367551.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
Delaware,5,"Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?",38,0.924,87,367551.5,,p,K,1534.5,370530.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Teeth,1,"One in every 2,000 babies is born with what? ",77,1.927,88,370530.59999990463,,p,K,3128.4000000953674,376106.5,HRV,HRV_0149,2022-11-30 18:11:41
Coca-cola,3,What popular drink was first marketed as a brain tonic?,405,1.962,89,376106.59999990463,,p,K,1753.5999999046326,380347.0,HRV,HRV_0149,2022-11-30 18:11:41
Liffey,7,What river runs through Dublin?   ,253,1.097,90,380347.0,,p,K,1643.5999999046326,383610.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Martin Luther King Jr. ,2,Who won the Nobel Peace Prize in 1964? ,386,1.223,91,383610.19999980927,,p,K,2333.0,387695.0,HRV,HRV_0149,2022-11-30 18:11:41
Joeys,5,What are infant marsupials called?  ,135,0.747,92,387695.0,,p,K,2990.199999809265,391944.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
France,7,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,1.478,93,391944.09999990463,,q,S,1759.2999999523163,395706.0,HRV,HRV_0149,2022-11-30 18:11:41
The Netherlands,1,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,1.269,94,395706.0,,q,S,1513.5,399009.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
Two of the seven cities of gold,3,What are Quivira and Cibola?  ,136,0.686,95,399009.39999985695,,p,K,1674.7000000476837,401899.0,HRV,HRV_0149,2022-11-30 18:11:41
Bed ,2,"Shakespeare mentioned his wife only once in his will, making her the odd bequest of his ""second best"" what? ",82,1.174,96,401899.0,,p,K,1791.1999998092651,405379.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
"the white flesh that houses the seeds, known as the placenta",6,What is the hottest part of a chili?,432,1.91,97,405379.69999980927,,p,K,1945.0,409763.5,HRV,HRV_0149,2022-11-30 18:11:41
Cornea,1,What is the only part of the body that has no blood supply? ,211,0.843,98,409763.59999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 410770.19999980927, 'date time': 1669831708563}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 410772, 'date time': 1669831708564}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 410788.19999980927, 'date time': 1669831708581}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 410789.5, 'date time': 1669831708582}]",p,K,1634.0,412772.0,HRV,HRV_0149,2022-11-30 18:11:41
Shower curtain ,3,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,33,1.749,99,412772.09999990463,,p,K,1608.7000000476837,416653.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
Tooth,3,What is the only part of the body that can't repair itself? ,210,0.745,100,416653.39999985695,,p,K,1642.2000000476837,419575.0,HRV,HRV_0149,2022-11-30 18:11:41
popscicle,6,What food was invented by an 11 year old in 1905?,450,0.751,101,419575.0,,p,K,2729.7999999523163,423576.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Marriage,1,Gamophobia is the fear of what?,42,1.758,102,423576.2999999523,,p,K,1685.7999999523163,427547.5,HRV,HRV_0149,2022-11-30 18:11:41
Criss-Cross ,3,What was the game of Scrabble originally called? ,286,1.142,103,427547.5,,p,K,1502.0,430709.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Michael Dell,2,What founder of PCs Limited went on to become the youngest Fortune 500 CEO in history?,180,1.485,104,430709.19999980927,,p,K,2181.7000000476837,434896.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
Oliver!,4,What's the only Best Picture Oscar winner whose title ends with an exclamation point?  ,306,0.748,105,434896.2999999523,,p,K,1625.5,437784.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
Coca-Cola,7,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,0.553,106,437784.2999999523,,q,S,2642.399999856949,441505.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
General Electric ,4,What's the only stock from the original Dow Jones Industrial Average that's still used in computing the index?,310,1.17,107,441505.19999980927,,p,K,2422.5,445625.39999985695,HRV,HRV_0149,2022-11-30 18:11:41
James Brown,1,"When asked to define ""cool,"" what two words did James Brown use? ",312,1.945,108,445625.5,,p,K,2139.5999999046326,450234.89999985695,HRV,HRV_0149,2022-11-30 18:11:41
Capitol Hill,5,"Until 1790, what was known as Jenkins Hill? ",119,1.294,109,450234.89999985695,,p,K,2305.5,454373.69999980927,HRV,HRV_0149,2022-11-30 18:11:41
A mine shaft passage,4,What is an adit?  ,197,1.969,110,454373.69999980927,,p,K,2693.600000143051,459560.5,HRV,HRV_0149,2022-11-30 18:11:41
Cygnet ,6,What is the name given to a young swan? ,207,1.933,111,459560.59999990463,,p,K,1502.2000000476837,463505.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
Monrovia,6,What African capital city is named after a U.S. president? ,128,1.849,112,463505.2999999523,,p,K,1753.0,467628.5,HRV,HRV_0149,2022-11-30 18:11:41
The Missouri River ,4,"What forms the only part of the Kansas border, a seventy-five mile stretch, that's not drawn with a straight edge?",179,0.958,113,467628.5,,p,K,1953.7999999523163,471063.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Rabbit,7,What kind of animal attacked Jimmy Carter during an April 1979 fishing trip?   ,221,0.978,114,471063.19999980927,,p,K,1816.7000000476837,474378.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
Canadian Oil,6,What is canola an abbreviation for?,436,1.347,115,474378.2999999523,,p,K,1853.2999999523163,478106.69999980927,HRV,HRV_0149,2022-11-30 18:11:41
Iraq,1,In which country were the Hanging Gardens of Babylon located?,69,1.408,116,478106.69999980927,,p,K,1955.2000000476837,482002.5,HRV,HRV_0149,2022-11-30 18:11:41
Latex. This is known as the latex-fruit syndrome. ,1,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,0.506,117,482002.5,,p,K,1585.2999999523163,484610.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Peregrine falcon,7,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,1.828,118,484610.19999980927,,p,K,2734.100000143051,489689.0,HRV,HRV_0149,2022-11-30 18:11:41
A red giant ,6,"What kind of enormous, cool star will our own sun become in five billion years? ",224,1.639,119,489689.09999990463,,q,S,2234.7999999523163,494084.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Avocado,4,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.049,120,494084.19999980927,,p,K,1810.4000000953674,497456.7999999523,HRV,HRV_0149,2022-11-30 18:11:41
Grace Kelly ,7,What was the name of the American actress who was first to appear on a postage stamp?  ,288,0.569,121,497456.7999999523,,p,K,1793.5999999046326,500346.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
"Gaslight Caf̩, Greenwich Village",5,Where did Bob Dylan first play in public? ,314,1.172,122,500346.59999990463,,p,K,2560.7999999523163,504599.59999990463,HRV,HRV_0149,2022-11-30 18:11:41
Bacon,7,"In Britain, what kind of meat comes in rashers?",397,1.866,123,504599.59999990463,,p,K,2102.0999999046326,509102.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
Kansas City ,6,The first suburban shopping center in the U.S. was established in what city?,99,1.269,124,509102.09999990463,,p,K,1662.2000000476837,512558.19999980927,HRV,HRV_0149,2022-11-30 18:11:41
Shark,2,"What animal is thought to be immune to most all diseases, including cancer? ",132,0.849,125,512558.19999980927,,p,K,3230.7000000476837,517162.0,HRV,HRV_0149,2022-11-30 18:11:41
Poison-arrow frog,2,"Which animal's poison could kill up to 2,200 people? ",329,0.918,126,517162.0,,p,K,3432.0,522027.09999990463,HRV,HRV_0149,2022-11-30 18:11:41
Cayenne pepper ,7,What spice is named for the capital of French Guiana? ,409,1.578,127,522027.09999990463,,p,K,1953.0999999046326,526088.6999998093,HRV,HRV_0149,2022-11-30 18:11:41
Jim Lovell,2,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,0.676,128,526088.6999998093,,p,K,1807.3000001907349,529101.399999857,HRV,HRV_0149,2022-11-30 18:11:41
Orville Wright,4,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.361,129,529101.399999857,,q,S,2541.0,533525.899999857,HRV,HRV_0149,2022-11-30 18:11:41
Mountain Dew,2,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,0.547,130,533526.0,,q,S,2412.899999856949,537025.0,HRV,HRV_0149,2022-11-30 18:11:41
Zinfindel,4,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,0.869,131,537025.0,,p,K,1843.7999999523163,540251.6999998093,HRV,HRV_0149,2022-11-30 18:11:41
The dodo,1,"What is believed to have received its name from the Portuguese word for ""simpleton""? ",199,1.568,132,540251.6999998093,,p,K,2139.7000000476837,544483.899999857,HRV,HRV_0149,2022-11-30 18:11:41
Pearl Harbor ,4,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,0.892,133,544483.899999857,,p,K,2258.4000000953674,548168.2999999523,HRV,HRV_0149,2022-11-30 18:11:41
