Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
It causes sour foods subsequently consumed to taste sweet. ,7,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,0.888,16,270313.8000000119,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 276480.8000000119, 'date time': 1669835109658}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 280506.40000000596, 'date time': 1669835113683}]",t,W,2510.9000000059605,275355.5,279375.10000002384,5,1864.7999999821186,282653.8000000119,HRV,HRV_0236,2022-11-30 19:10:50
Model train set,7,HO scale is the world's most popular size of what?,45,1.694,17,282653.8000000119,,t,W,3544.0999999940395,288722.10000002384,292730.90000000596,3,1814.5,296771.10000002384,HRV,HRV_0236,2022-11-30 19:10:50
Luxor,5,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,0.592,18,296771.2000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 297422.5, 'date time': 1669835130599}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 300346.7000000179, 'date time': 1669835133524}]",q,S,5154.5999999940395,,,,,303047.0,HRV,HRV_0236,2022-11-30 19:10:50
Coca-cola,1,What popular drink was first marketed as a brain tonic?,405,1.564,19,303047.2000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 309884.8000000119, 'date time': 1669835143062}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 313034.60000002384, 'date time': 1669835146211}]",t,W,1953.9000000059605,307529.5,311548.2000000179,5,1691.9000000059605,315333.0,HRV,HRV_0236,2022-11-30 19:10:50
Condoleeza (con dolcezza) Rice ,5,"Whose unusual first name is derived from an Italian musical term for ""with sweetness""? ",390,1.337,20,315333.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 320749.5, 'date time': 1669835153927}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 326042.40000000596, 'date time': 1669835159219}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 328611.5, 'date time': 1669835161789}]",t,W,3468.0,321325.3000000119,325339.5,3,1665.800000011921,328870.7000000179,HRV,HRV_0236,2022-11-30 19:10:50
Tooth,4,What is the only part of the body that can't repair itself? ,210,1.739,21,328871.7000000179,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 334680.3000000119, 'date time': 1669835167857}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 338545.2000000179, 'date time': 1669835171722}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 340013.90000000596, 'date time': 1669835173191}]",t,W,6633.5,338022.7000000179,342033.10000002384,5,765.6999999880791,345061.10000002384,HRV,HRV_0236,2022-11-30 19:10:50
Jamaica Bay,5,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,0.985,22,345061.2000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 348958.90000000596, 'date time': 1669835182136}]",q,S,3093.0,,,,,349653.60000002384,HRV,HRV_0236,2022-11-30 19:10:50
France,7,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,0.651,23,349653.60000002384,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 349865.40000000596, 'date time': 1669835183043}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 358600.90000000596, 'date time': 1669835191778}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 359922.2000000179, 'date time': 1669835193099}]",t,W,3088.699999988079,355265.40000000596,359272.2000000179,2,1930.0999999940395,362372.8000000119,HRV,HRV_0236,2022-11-30 19:10:50
Pen(n)sylvania ,6,What proper name is spelled unusually with a single 'n' both on the Liberty Bell and in the U.S. Constitution? ,249,1.254,24,362372.8000000119,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 363433.3000000119, 'date time': 1669835196610}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 368920.7000000179, 'date time': 1669835202098}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 377038.2000000179, 'date time': 1669835210215}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 380815.5, 'date time': 1669835213992}]",t,W,7537.9000000059605,372435.8000000119,376441.40000000596,,,380961.3000000119,HRV,HRV_0236,2022-11-30 19:10:50
honey,6,Which is the only food that can never go off or go bad?,442,0.891,25,380961.3000000119,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 385524.90000000596, 'date time': 1669835218701}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 388829.60000002384, 'date time': 1669835222006}]",t,W,1843.5999999940395,385317.8000000119,389341.10000002384,5,876.0999999940395,391633.8000000119,HRV,HRV_0236,2022-11-30 19:10:50
Buck,1,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,1.343,26,391633.90000000596,,q,S,3194.2000000178814,,,,,396688.5,HRV,HRV_0236,2022-11-30 19:10:50
Anne Hathaway,2,What was the name of William Shakespeare's wife?  ,290,1.043,27,396688.60000002384,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 402385.3000000119, 'date time': 1669835235562}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 403867.90000000596, 'date time': 1669835237044}]",t,W,1793.0,400999.90000000596,405003.7000000179,5,1477.5,408037.90000000596,HRV,HRV_0236,2022-11-30 19:10:50
American Pie,2,What was the name of the plane Buddy Holly died in?  ,289,0.548,28,408038.0,,q,S,3613.7000000178814,,,,,412719.7000000179,HRV,HRV_0236,2022-11-30 19:10:50
Michael Dell,5,What founder of PCs Limited went on to become the youngest Fortune 500 CEO in history?,180,0.512,29,412719.7000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 413796, 'date time': 1669835246973}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 416290.7000000179, 'date time': 1669835249467}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 421198, 'date time': 1669835254374}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 422913.8000000119, 'date time': 1669835256090}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 423624.90000000596, 'date time': 1669835256801}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 425411, 'date time': 1669835258587}]",t,W,4738.0,419989.40000000596,424005.5,1,1627.7000000178814,426689.3000000119,HRV,HRV_0236,2022-11-30 19:10:50
The Pope,3,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",32,1.124,30,426689.3000000119,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 432108.5, 'date time': 1669835265285}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 438115.8000000119, 'date time': 1669835271292}]",t,W,3317.5999999940395,432518.90000000596,436543.40000000596,2,2323.9000000059605,440511.90000000596,HRV,HRV_0236,2022-11-30 19:10:50
The popsicle,5,Which popular treat was invented by an 11-year-old in California? ,413,1.479,31,440511.90000000596,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 441730.10000002384, 'date time': 1669835274906}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 442773.10000002384, 'date time': 1669835275949}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 448570.40000000596, 'date time': 1669835281747}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 453873.90000000596, 'date time': 1669835287050}]",t,W,3462.800000011921,446497.60000002384,450517.60000002384,,,455057.7000000179,HRV,HRV_0236,2022-11-30 19:10:50
Jose Castro ,6,"What Mexican general, who governed California for four months in 1835, would probably be surprised by how he's remembered in San Francisco today?",231,1.925,32,455057.7000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 464304.8000000119, 'date time': 1669835297481}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 466374.60000002384, 'date time': 1669835299551}]",t,W,3483.4000000059605,461055.2000000179,465079.10000002384,1,1591.8999999761581,469127.60000002384,HRV,HRV_0236,2022-11-30 19:10:50
Columbia,7,What company introduced the first LP record albums?  ,155,1.945,33,469127.60000002384,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 473424.7000000179, 'date time': 1669835306601}]",q,S,2042.8999999761581,,,,,473650.40000000596,HRV,HRV_0236,2022-11-30 19:10:50
Coca-Cola,3,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.46,34,473650.40000000596,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 474213.5, 'date time': 1669835307390}]",q,S,3180.7000000178814,,,,,478819.40000000596,HRV,HRV_0236,2022-11-30 19:10:50
Medicine,2,What industry uses 20% of China's harvested plants?  ,188,1.911,35,478819.40000000596,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 483062.40000000596, 'date time': 1669835316239}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 487090.10000002384, 'date time': 1669835320266}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 490018.10000002384, 'date time': 1669835323194}]",t,W,2419.4000000059605,483770.60000002384,487792.3000000119,4,542.6999999880791,490761.40000000596,HRV,HRV_0236,2022-11-30 19:10:50
Excalibur,5,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",14,0.893,36,490761.40000000596,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 491622.90000000596, 'date time': 1669835324799}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 500323.3000000119, 'date time': 1669835333500}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 501456.3000000119, 'date time': 1669835334633}]",t,W,3413.4000000059605,496695.60000002384,500708.8000000119,4,1431.199999988079,503549.7000000179,HRV,HRV_0236,2022-11-30 19:10:50
60 fragments per 100 gram ,3,What amount of insects does the FDA allow in chocolate,453,1.897,37,503549.7000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 504591.3000000119, 'date time': 1669835337768}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 505674.90000000596, 'date time': 1669835338851}]",t,W,3371.9000000059605,509448.8000000119,513476.8000000119,2,1317.800000011921,517205.7000000179,HRV,HRV_0236,2022-11-30 19:10:50
Chuck E. Cheese's,7,What restaurant chain was the brainchild of Atari founder Nolan Bushnell? ,251,1.13,38,517205.7000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 522732, 'date time': 1669835355909}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 526136.400000006, 'date time': 1669835359313}]",t,W,2888.699999988079,522618.60000002384,526630.2000000179,5,1190.7999999821186,529469.400000006,HRV,HRV_0236,2022-11-30 19:10:50
Cement,2,"The SS Faith, a ship built by Leslie Comyn, was made of what unique material?",105,0.901,39,529469.400000006,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 530101.6000000238, 'date time': 1669835363278}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 530585, 'date time': 1669835363762}]",q,S,2641.0999999940395,,,,,533542.8000000119,HRV,HRV_0236,2022-11-30 19:10:50
Honey,3,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,1.955,40,533543.2000000179,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 541460.1000000238, 'date time': 1669835374637}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 542039.6000000238, 'date time': 1669835375216}]",t,W,2410.199999988079,538470.2000000179,542471.7000000179,5,685.7999999821186,545630.1000000238,HRV,HRV_0236,2022-11-30 19:10:50
Fiber is the gut bacteria's preferred fuel source. ,5,What food is most beneficial for your gut bacteria?,458,0.892,41,545630.1000000238,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 550173.2000000179, 'date time': 1669835383350}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 554380.400000006, 'date time': 1669835387557}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 557192.2000000179, 'date time': 1669835390369}]",t,W,2042.0,550191.7000000179,554206.6000000238,3,1980.7999999821186,557594.2000000179,HRV,HRV_0236,2022-11-30 19:10:50
popscicle,5,What food was invented by an 11 year old in 1905?,450,1.396,42,557594.2000000179,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 559045.8000000119, 'date time': 1669835392222}]",t,W,2545.0,562658.8000000119,566665.0,5,1911.300000011921,570498.0,HRV,HRV_0236,2022-11-30 19:10:50
OutKast,6,Who was sued in 1999 by Rosa Parks after they used her name to title a hit song?  ,379,1.114,43,570498.1000000238,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 577319.5, 'date time': 1669835410496}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 578621.6000000238, 'date time': 1669835411799}]",t,W,4721.699999988079,577752.0,581768.400000006,2,2197.5999999940395,585596.7000000179,HRV,HRV_0236,2022-11-30 19:10:50
There was a pound of every ingredient in the original reciipe. ,4,How did the pound cake get its name?,460,1.701,44,585596.8000000119,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 585776.400000006, 'date time': 1669835418953}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 587876.3000000119, 'date time': 1669835421053}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 593543.5, 'date time': 1669835426720}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 596542.2000000179, 'date time': 1669835429719}]",t,W,3471.199999988079,591591.2000000179,595612.5,4,1707.6000000238419,599548.400000006,HRV,HRV_0236,2022-11-30 19:10:50
Japan,1,Where is the longest suspension bridge? ,319,0.55,45,599548.5,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 600548.2000000179, 'date time': 1669835433725}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 601632.8000000119, 'date time': 1669835434810}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 611154.5, 'date time': 1669835444331}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 612919.400000006, 'date time': 1669835446096}]",t,W,4206.300000011921,606281.0,610299.8000000119,,,614814.1000000238,HRV,HRV_0236,2022-11-30 19:10:50
