Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Luge,2,What sports term is the shortest word ever to decide the National Spelling Bee?   ,261,1.448,49,325424,p,K,1545.0,,,328988,,,,HRV,HRV_0163,2022-11-30 18:17:20
Rabbit,3,What kind of animal attacked Jimmy Carter during an April 1979 fishing trip?   ,221,0.792,50,328988,p,K,1512.0,,,331819,,,,HRV,HRV_0163,2022-11-30 18:17:20
Mushrooms which have been exposed to light,3,What is the only non-animal natural source of vitamin D?,459,1.922,51,331819,q,S,1525.0,,,335813,,,,HRV,HRV_0163,2022-11-30 18:17:20
coca-cola,6,Which famous soft drink was invented in 1892?,425,0.7,52,335813,p,K,1624.0,,,338677,,,,HRV,HRV_0163,2022-11-30 18:17:20
A wiki,4,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,0.735,53,338677,t,W,1839.0,343063.0,347088.0,349115,4,766.0,,HRV,HRV_0163,2022-11-30 18:17:20
Roulette,6,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,1.06,54,349115,t,W,1588.0,353236.0,357255.0,359593,3,727.0,,HRV,HRV_0163,2022-11-30 18:17:20
cooking,2,"If you suffer from Mageirocophobia, what are you scared of?",438,0.818,55,359593,t,W,1593.0,363719.0,367725.0,369700,5,631.0,,HRV,HRV_0163,2022-11-30 18:17:20
Adding olive juice,2,What turns a plain martini into a dirty martini?,440,1.579,56,369700,p,K,1783.0,,,373592,,,,HRV,HRV_0163,2022-11-30 18:17:20
The I Ching,3,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",80,1.779,57,373592,q,S,1531.0,,,377419,,,,HRV,HRV_0163,2022-11-30 18:17:20
Rod Serling ,3,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,175,1.644,58,377419,p,K,1502.0,,,381105,,,,HRV,HRV_0163,2022-11-30 18:17:20
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,5,Whice fruit is effective than coffee at waking you up in the morning?,454,0.706,59,381105,t,W,1970.0,385608.0,389627.0,392496,3,1620.0,,HRV,HRV_0163,2022-11-30 18:17:20
Ian Thorpe ,7,Who outgrew a childhood chlorine allergy to become the biggest Olympic medal winner in Australian history? ,370,0.984,60,392496,p,K,1766.0,,,395778,,,,HRV,HRV_0163,2022-11-30 18:17:20
Koala,1,"What animal, which eighteenth century settlers called a ""native bear"" has two opposable thumbs on each hand?",134,0.901,61,395778,p,K,1501.0,,,398701,,,,HRV,HRV_0163,2022-11-30 18:17:20
C,7,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",71,1.191,62,398701,p,K,1515.0,,,401932,,,,HRV,HRV_0163,2022-11-30 18:17:20
Speed of wind,3,What does an anemometer measure? ,168,1.628,63,401932,q,S,1799.0,,,405878,,,,HRV,HRV_0163,2022-11-30 18:17:20
State quarters ,7,What's been released five times a year from January 1999 to fall 2008?,300,1.463,64,405878,t,W,1540.0,409940.0,413951.0,416718,3,782.0,,HRV,HRV_0163,2022-11-30 18:17:20
Bamboo ,6,What were the first modern Olympic pole vaulters' poles made of? ,296,0.699,65,416718,t,W,2559.0,421811.0,425826.0,428561,3,1499.0,,HRV,HRV_0163,2022-11-30 18:17:20
The Blair Witch Project,7,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,1.782,66,428561,p,K,1716.0,,,432589,,,,HRV,HRV_0163,2022-11-30 18:17:20
Cockroach,6,What animal can live up to a week without its head?,131,1.912,67,432589,p,K,1516.0,,,436544,,,,HRV,HRV_0163,2022-11-30 18:17:20
All in the Family ,6,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,0.718,68,436544,q,S,1935.0,,,439736,,,,HRV,HRV_0163,2022-11-30 18:17:20
Ripe cranerries bounce when dropped on the ground,6,How do farmers test whether cranberries are ripe?,452,1.714,69,439736,p,K,1557.0,,,443527,,,,HRV,HRV_0163,2022-11-30 18:17:20
Green Eggs and Ham,4,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,1.697,70,443527,p,K,1517.0,,,447262,,,,HRV,HRV_0163,2022-11-30 18:17:20
Grover Cleveland ,5,Who was the only U.S. president to have been married in the White House? ,385,0.732,71,447262,t,W,1660.0,451436.0,455453.0,458557,4,1853.0,,HRV,HRV_0163,2022-11-30 18:17:20
Benjamin Franklin ,4,"Who carried hundreds of imported books in his Philadelphia shop in the 1730s, the same decade in which he started America's first lending library?",362,1.488,72,458557,q,S,2190.0,,,462761,,,,HRV,HRV_0163,2022-11-30 18:17:20
Lou Gehrig,3,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,0.567,73,462761,p,K,1985.0,,,465830,,,,HRV,HRV_0163,2022-11-30 18:17:20
Italy ,6,What country borders both of the world's only two nations with square flags? ,157,1.902,74,465830,t,W,4199.0,472559.0,476579.0,480434,4,1415.0,,HRV,HRV_0163,2022-11-30 18:17:20
A truce ,3,What was put in place by the Ancient Greeks before and during all Olympic festivals? ,278,1.685,75,480434,p,K,1983.0,,,484619,,,,HRV,HRV_0163,2022-11-30 18:17:20
The World Almanac and Book of Facts,3,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,1.554,76,484619,p,K,2111.0,,,488807,,,,HRV,HRV_0163,2022-11-30 18:17:20
Peter Pan ,6,What was the first English play to be written especially for children? ,283,1.847,77,488807,p,K,1515.0,,,492700,,,,HRV,HRV_0163,2022-11-30 18:17:20
The Galapagos Islands ,4,What islands are home to most of the world's blue-footed boobies? ,216,1.511,78,492700,t,W,2013.0,497248.0,501263.0,503811,4,503.0,,HRV,HRV_0163,2022-11-30 18:17:20
Radioactivity,6,What is measured in becquerels? ,201,1.681,79,503811,t,W,2480.0,508811.0,512825.0,515556,4,523.0,,HRV,HRV_0163,2022-11-30 18:17:20
Kiwi,6,"Which bird species has survived more than 70 million years, despite the fact that it lays one egg a year and is nearly blind?",331,1.693,80,515556,p,K,1594.0,,,519369,,,,HRV,HRV_0163,2022-11-30 18:17:20
Latex. This is known as the latex-fruit syndrome. ,1,Allergy to which material is associated with allergy to fruit such as papaya and banana? ,462,1.549,81,519369,q,S,1529.0,,,522975,,,,HRV,HRV_0163,2022-11-30 18:17:20
The names of the Great Lakes ,6,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,0.941,82,522975,p,K,1831.0,,,526274,,,,HRV,HRV_0163,2022-11-30 18:17:20
Botany Bay,7,"What Pacific inlet was called ""Stingray Bay"" until Captain Cook renamed it for ""the great quantity of plants"" his scientists had discovered?",242,1.655,83,526274,p,K,1501.0,,,529948,,,,HRV,HRV_0163,2022-11-30 18:17:20
The Beatles' Rain ,5,What was the first rock song ever to feature hidden messages in the form of back-masked vocals?  ,284,0.823,84,529948,q,S,1529.0,,,532827,,,,HRV,HRV_0163,2022-11-30 18:17:20
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",4,Cooking which food requires over two years of training?,461,0.527,85,532827,q,S,2479.0,,,536360,,,,HRV,HRV_0163,2022-11-30 18:17:20
Generals,4,Eleven U.S. presidents have been what before being elected?,36,1.327,86,536360,p,K,1566.0,,,539759,,,,HRV,HRV_0163,2022-11-30 18:17:20
Rechargeable batteries,1,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,0.761,87,539765,p,K,1718.0,,,542780,,,,HRV,HRV_0163,2022-11-30 18:17:20
The Korean War,2,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,1.565,88,542780,p,K,1523.0,,,546417,,,,HRV,HRV_0163,2022-11-30 18:17:20
Holy Roman Emperor Henry IV ,4,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,0.821,89,546417,q,S,1856.0,,,549610,,,,HRV,HRV_0163,2022-11-30 18:17:20
Orca (Killer Whale) ,7,Which is the largest species of dolphin? ,343,1.513,90,549610,q,S,1726.0,,,553366,,,,HRV,HRV_0163,2022-11-30 18:17:20
Cornea,4,What is the only part of the body that has no blood supply? ,211,0.638,91,553366,t,W,2749.0,558646.0,562698.0,565140,5,1299.0,,HRV,HRV_0163,2022-11-30 18:17:20
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,3,What is the most fattening product in the modern diet?,457,0.676,92,565140,,,,,,574662,,,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 569806, 'date time': 1669832202858}]",HRV,HRV_0163,2022-11-30 18:17:20
Cayenne pepper ,1,What spice is named for the capital of French Guiana? ,409,0.89,93,574662,,,,,,584180,,,,HRV,HRV_0163,2022-11-30 18:17:20
Haddock,2,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.737,94,584180,,,,,,593710,,,,HRV,HRV_0163,2022-11-30 18:17:20
Monday,5,The risk of heart attack is highest on which day of the week?,104,1.872,95,593710,,,,,,603241,,,,HRV,HRV_0163,2022-11-30 18:17:20
