Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,exp,subjectId,date
Canadian Oil,2,What is canola an abbreviation for?,436,0.991,64,429142.8000000119,p,K,2867.399999976158,,,433518.09999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
Twenty-fourth ,7,Which Constitutional Amendment deals with poll taxes? ,335,1.41,65,433518.09999999404,p,K,3188.0,,,438629.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,1,Whice fruit is effective than coffee at waking you up in the morning?,454,1.118,66,438629.8000000119,p,K,2557.699999988079,,,442813.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Mushrooms which have been exposed to light,5,What is the only non-animal natural source of vitamin D?,459,1.725,67,442813.90000000596,p,K,4573.9000000059605,,,449621.5,,,HRV,HRV_0193,2022-11-30 18:24:45
a spit,7,"If something is described as rotisserie, what has it been cooked on?",428,1.579,68,449621.5,q,S,2902.699999988079,,,454613.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
As Good As It Gets ,4,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,1.917,69,454613.8000000119,q,S,3158.5999999940395,,,460197.59999999404,,,HRV,HRV_0193,2022-11-30 18:24:45
Luxor,1,A causeway lined with hundreds of sphinxes once connected Karnak to what other great Egyptian temple?,8,1.343,70,460197.59999999404,q,S,3344.4000000059605,,,465397.5,,,HRV,HRV_0193,2022-11-30 18:24:45
NY,3,In which state was the first execution by electric chair?  ,70,1.841,71,465397.5,q,S,4201.0999999940395,,,471949.90000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
James Brown,1,"When asked to define ""cool,"" what two words did James Brown use? ",312,1.162,72,471949.90000000596,q,S,4296.699999988079,,,477916.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Cornea,6,What is the only part of the body that has no blood supply? ,211,1.763,73,477916.8000000119,q,S,4787.5,,,484974.40000000596,,,HRV,HRV_0193,2022-11-30 18:24:45
India,6,What's the only country outside Africa where lions still live in the wild?  ,307,1.844,74,484974.40000000596,q,S,5361.9000000059605,,,492693.6999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
Two of the seven cities of gold,6,What are Quivira and Cibola?  ,136,0.817,75,492693.8000000119,q,S,3747.699999988079,,,497774.0,,,HRV,HRV_0193,2022-11-30 18:24:45
The names of the Great Lakes ,5,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,0.84,76,497774.0,q,S,4613.5999999940395,,,503741.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Bright red,1,Vitamin A is largely available in natural food sources with which colour?,448,1.741,77,503741.8000000119,p,K,4372.699999988079,,,510365.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Pearl Harbor ,5,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.752,78,510365.8000000119,q,S,2222.399999976158,,,514853.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Bumblebee bat,6,"Which mammal is the world's smallest, weighing less than a penny? ",347,1.947,79,514853.8000000119,q,S,4352.0,,,521661.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Every jar of peanut butter must be at least 90% peanuts,2,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.677,80,521661.90000000596,q,S,2919.2999999821186,,,526765.099999994,,,HRV,HRV_0193,2022-11-30 18:24:45
Gecko,5,What is the only type of lizard that has a voice? ,213,0.96,81,526765.099999994,q,S,3032.4000000059605,,,531270.5,,,HRV,HRV_0193,2022-11-30 18:24:45
Jim Lovell,1,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.262,82,531270.5,p,K,3248.4000000059605,,,536293.1999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
USA,2,Which country invented volleyball?   ,340,1.231,83,536293.3000000119,q,S,3002.399999976158,,,541038.900000006,,,HRV,HRV_0193,2022-11-30 18:24:45
Louisiana's,2,What U.S. state's civil law is most closely based on the Napoleonic Code?  ,272,0.639,84,541039.0,p,K,3647.300000011921,,,545837.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Frankie Avalon ,6,"Who had the last number one hit of the 1950s with his song ""Why""? ",367,1.872,85,545837.8000000119,q,S,3841.399999976158,,,552061.6999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
Matches,2,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,72,1.644,86,552061.6999999881,q,S,3690.9000000059605,,,557910.0,,,HRV,HRV_0193,2022-11-30 18:24:45
Pachyderm,7,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.026,87,557910.0,,,,,,567421.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
The Commodore 64 ,5,What 1982 successor to the VIC-20 is still the bestselling computer model of all time?,124,0.524,88,567421.900000006,q,S,6197.0,,,574653.6999999881,,,HRV,HRV_0193,2022-11-30 18:24:45
Chitty Chitty Bang Bang ,7,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,1.044,89,574653.6999999881,q,S,6125.5,,,582333.8000000119,,,HRV,HRV_0193,2022-11-30 18:24:45
Genetics,2,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,1.835,90,582333.8000000119,p,K,3622.7999999821186,,,588301.5,,,HRV,HRV_0193,2022-11-30 18:24:45
Rhesus antigens (Rh or RhD),4,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,1.449,91,588301.5,p,K,3170.300000011921,,,593438.0,,,HRV,HRV_0193,2022-11-30 18:24:45
American Pie,5,What was the name of the plane Buddy Holly died in?  ,289,1.874,92,593438.0,p,K,2904.300000011921,,,598728.0,,,HRV,HRV_0193,2022-11-30 18:24:45
"Cle(a)veland, Ohio",4,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,102,1.129,93,598728.099999994,q,S,3486.300000011921,,,603853.599999994,,,HRV,HRV_0193,2022-11-30 18:24:45
