Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
University of Phoenix,6,"What school has the most students over age 25, according to U.S. News & World Report?",256,1.156,41,344379.7999999523,q,S,2902.300000190735,,,348957.2999999523,,,,HRV,HRV_0299,2022-11-30 20:42:50
Claudius,6,Which Roman emperor had a speech impediment?  ,351,0.945,42,348957.5,q,S,1781.7999999523163,,,352224.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
The Hindenburg explosion,3,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,0.994,43,352224.5,q,S,3126.9000000953674,,,356876.90000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
France,3,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,1.647,44,356876.90000009537,q,S,3511.5,,,362566.5,,,,HRV,HRV_0299,2022-11-30 20:42:50
The Beatles' Rain ,4,What was the first rock song ever to feature hidden messages in the form of back-masked vocals?  ,284,1.901,45,362566.5,q,S,3880.4000000953674,,,368879.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
Sri Lanka,4,"The word serendipity comes from Serendip, the Persian name for what island? ",109,0.95,46,368879.40000009537,q,S,3727.0999999046326,,,374090.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
60 fragments per 100 gram ,2,What amount of insects does the FDA allow in chocolate,453,1.006,47,374090.7999999523,q,S,3149.4000000953674,,,378776.7999999523,,,,HRV,HRV_0299,2022-11-30 20:42:50
Grover Cleveland ,7,Who was the only U.S. president to have been married in the White House? ,385,1.855,48,378776.90000009537,t,W,3685.0,385009.2999999523,389027.10000014305,392089.5,3,692.0,,HRV,HRV_0299,2022-11-30 20:42:50
Untethered space walk,7,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,0.69,49,392089.5,q,S,3896.0,,,397200.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Model train set,4,HO scale is the world's most popular size of what?,45,1.124,50,397200.2000000477,q,S,3747.0,,,402600.0,,,,HRV,HRV_0299,2022-11-30 20:42:50
Avocado,4,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.925,51,402600.10000014305,q,S,4012.399999856949,,,409072.90000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
the skin and bones of animals,1,What is gelatin made from?,445,1.67,52,409072.90000009537,q,S,1983.2000000476837,,,413251.0,,,,HRV,HRV_0299,2022-11-30 20:42:50
"the Red Hot Chili Peppers, followed closely by Meatloaf",2,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.152,53,413251.0,q,S,6253.5,,,421193.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
Traffic lights,1,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",113,1.686,54,421193.10000014305,q,S,3917.199999809265,,,427316.2999999523,,,,HRV,HRV_0299,2022-11-30 20:42:50
The popsicle,4,Which popular treat was invented by an 11-year-old in California? ,413,0.673,55,427316.40000009537,t,W,4010.0999999046326,433849.7999999523,437876.0,439952.2000000477,2,875.9000000953674,,HRV,HRV_0299,2022-11-30 20:42:50
potein,1,"What nutrient comes from meat, eggs, and fish?",433,0.525,56,439952.40000009537,p,K,4245.799999952316,,,445256.2000000477,,,,HRV,HRV_0299,2022-11-30 20:42:50
Benjamin Franklin ,4,"Who carried hundreds of imported books in his Philadelphia shop in the 1730s, the same decade in which he started America's first lending library?",362,0.998,57,445256.2999999523,q,S,5427.300000190735,,,452217.5,,,,HRV,HRV_0299,2022-11-30 20:42:50
Cricket,3,"What sport used the term ""home run"" long before baseball?  ",260,1.126,58,452217.5,q,S,3438.2999999523163,,,457309.5,,,,HRV,HRV_0299,2022-11-30 20:42:50
Walt Disney,5,Which person has been awarded the most Oscars ever? ,349,0.927,59,457309.90000009537,t,W,3718.7999999523163,463552.2000000477,467570.7000000477,471799.7000000477,2,2776.2000000476837,,HRV,HRV_0299,2022-11-30 20:42:50
Love Me Do ,5,What was The Beatles's first song to hit the UK charts?,280,0.888,60,471799.90000009537,q,S,3099.2000000476837,,,476315.0,,,,HRV,HRV_0299,2022-11-30 20:42:50
Matches,5,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,0.963,61,476315.40000009537,q,S,5037.099999904633,,,482846.10000014305,,,,HRV,HRV_0299,2022-11-30 20:42:50
PayPal,5,YouTube.com is the brainchild of three former employees of what other major website? ,396,0.975,62,482846.5,q,S,4508.0,,,488863.7999999523,,,,HRV,HRV_0299,2022-11-30 20:42:50
The Korean War,7,"What 20th-century conflict was dubbed the ""forgotten war"" despite over 50,000 U.S. deaths?",126,0.634,63,488863.90000009537,q,S,3435.2999999523163,,,493468.7000000477,,,,HRV,HRV_0299,2022-11-30 20:42:50
"Portland, Oregon",4,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.859,64,493469.0,q,S,4436.900000095367,,,500293.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
Giant squid,5,What is the largest creature without a backbone? ,203,0.989,65,500293.40000009537,t,W,2811.7999999523163,505632.2999999523,509651.10000014305,511746.5,2,578.2999999523163,,HRV,HRV_0299,2022-11-30 20:42:50
The budgerigar,3,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.51,66,511746.60000014305,q,S,4091.5,,,517871.40000009537,,,,HRV,HRV_0299,2022-11-30 20:42:50
Marriage,1,Gamophobia is the fear of what?,42,0.543,67,517871.7999999523,p,K,4331.400000095367,,,523274.7999999523,,,,HRV,HRV_0299,2022-11-30 20:42:50
Syzygy,7,What's the astronomical term for three celestial bodies aligning?   ,302,1.793,68,523274.7999999523,q,S,3408.5,,,528996.9000000954,,,,HRV,HRV_0299,2022-11-30 20:42:50
Kayak,7,An umiak is a larger version of what? ,20,1.253,69,528997.2000000477,q,S,2226.2000000476837,,,533006.4000000954,,,,HRV,HRV_0299,2022-11-30 20:42:50
A jenny ,4,What is a female donkey called?,194,1.644,70,533006.4000000954,q,S,1819.5999999046326,,,536991.0,,,,HRV,HRV_0299,2022-11-30 20:42:50
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,5,Whice fruit is effective than coffee at waking you up in the morning?,454,0.696,71,536991.2999999523,q,S,4163.100000143051,,,542380.5,,,,HRV,HRV_0299,2022-11-30 20:42:50
The Stanley Cup ,3,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,0.914,72,542380.600000143,q,S,3914.199999809265,,,547727.7000000477,,,,HRV,HRV_0299,2022-11-30 20:42:50
Montenegro,2,What European country is named for the dark-looking Dinaric Alps? ,173,1.92,73,547727.7000000477,q,S,3124.7999999523163,,,553308.4000000954,,,,HRV,HRV_0299,2022-11-30 20:42:50
Columbia,5,What company introduced the first LP record albums?  ,155,0.804,74,553308.5,q,S,2713.5,,,557350.2000000477,,,,HRV,HRV_0299,2022-11-30 20:42:50
Apple sauce,4,What was the first food eaten in space?,435,1.547,75,557350.2000000477,q,S,3827.2999999523163,,,563239.600000143,,,,HRV,HRV_0299,2022-11-30 20:42:50
Hippopotamus ,5,Which wild mammal in Africa has killed the highest number of people? ,358,0.758,76,563239.600000143,t,W,4485.199999809265,570260.7999999523,574284.7999999523,576242.9000000954,4,678.3000001907349,,HRV,HRV_0299,2022-11-30 20:42:50
Dorito is Spanish for little golden things,2,What does Dorito actually mean?,434,1.155,77,576242.9000000954,q,S,1956.7999999523163,,,579883.5,,,,HRV,HRV_0299,2022-11-30 20:42:50
Haddock,2,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,1.725,78,579883.9000000954,q,S,4902.599999904633,,,587037.9000000954,,,,HRV,HRV_0299,2022-11-30 20:42:50
Monrovia,7,What African capital city is named after a U.S. president? ,128,1.832,79,587038.2999999523,q,S,2256.2000000476837,,,591661.600000143,,,,HRV,HRV_0299,2022-11-30 20:42:50
Draw,4,What does a screever do on a sidewalk? ,167,1.253,80,591661.600000143,q,S,3261.0,,,596698.0,,,,HRV,HRV_0299,2022-11-30 20:42:50
Black,5,What color lipstick did silent movie stars wear?  ,151,1.098,81,596698.100000143,p,K,4235.0,,,602551.4000000954,,,,HRV,HRV_0299,2022-11-30 20:42:50
