Var1,QuestionNum,Question,AnswerUse,IsFood,Curiosity,Satisfy,More,CurSD,SatSD,MoreSD,KnowNO,KnowTOT,KnowYES,Count,KnowNOprop,KnowYESprop,KnowTOTprop,CurSD_z
23,13,"According to the Guinness Book of Records, what was the loudest rock band ever?",KISS ,0,73.65116279,66.97674419,40.1627907,30.84668981,30.19893436,32.91614905,31,6,7,44,0.704545455,0.159090909,0.136363636,-0.60472706
24,14,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?",Excalibur,0,54.58139535,63.46511628,42.55813953,31.66959828,31.03864629,32.31268535,32,5,6,43,0.744186047,0.139534884,0.11627907,-0.315935435
25,15,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?",Francisco Goya,0,58.90697674,54.69767442,50.60465116,35.14311824,30.0035989,32.89893582,34,5,5,44,0.772727273,0.113636364,0.113636364,0.903062202
28,16,"After humans, what's the worlds most abundant mammal species?",Mice,0,73.56521739,58.56521739,35.65217391,30.71492737,31.08315169,33.64733266,28,7,10,46,0.608695652,0.217391304,0.152173913,-0.650967793
31,17,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",Honda's Civic,0,59.58333333,58.55555556,40.38888889,33.0924031,32.68065784,30.27519284,24,6,6,36,0.666666667,0.166666667,0.166666667,0.18338391
34,18,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,Jim Lovell,0,66.55319149,60.57446809,44.08510638,30.02883289,30.22361924,30.24812591,34,7,7,48,0.708333333,0.145833333,0.145833333,-0.891745896
35,19,Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ,Teapot Dome scandal,0,59.87804878,56.34146341,51.53658537,32.08831183,33.6159261,33.2228066,29,4,9,42,0.69047619,0.214285714,0.095238095,-0.168992036
38,20,An umiak is a larger version of what? ,Kayak,0,58.89361702,61.23404255,43.23404255,33.92269603,34.33860343,34.93112028,45,1,1,47,0.957446809,0.021276596,0.021276596,0.474767042
39,21,"Anciently, what was the job description of a ""hierodule""?",Temple Prostitute,0,59,58.68421053,51.68421053,34.32042966,34.26534398,37.65569858,37,1,2,40,0.925,0.05,0.025,0.614347742
42,22,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",The Big Bang,0,66.23255814,72.79069767,64.60465116,27.68344633,27.06038938,30.46320148,30,2,10,43,0.697674419,0.23255814,0.046511628,-1.714836223
44,23,"At 6-8 weeks, babies start producing what? ",Tears,0,70.17647059,70.76470588,56.85294118,24.38761557,26.08501117,31.45765056,24,4,8,37,0.648648649,0.216216216,0.108108108,-2.871475582
45,24,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ",Tim McGraw,0,63.43589744,63,57.25641026,33.53536615,32.95371555,34.52666243,32,3,4,39,0.820512821,0.102564103,0.076923077,0.338837432
47,25,Bauxite ore is mined so it can be processed into what metal?,Aluminum,0,61.06,66.04,46.02,33.47274859,29.55724988,31.59726803,38,9,4,51,0.745098039,0.078431373,0.176470588,0.316862415
48,26,"Because her name became a slang term for a life preserver, who is the only actress whose name is an entry in Merriam-Webster's?",Mae West,0,67.16666667,51.66666667,46.97222222,31.11407582,31.67333263,36.08362202,33,2,1,37,0.891891892,0.027027027,0.054054054,-0.510890573
52,27,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",Liberia,0,54.80487805,53.75609756,41.43902439,34.62312776,31.00224225,34.77358824,38,1,2,41,0.926829268,0.048780488,0.024390244,0.72057666
55,28,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",Oxygen,0,63.46341463,67.85365854,48.04878049,30.50335847,30.20973434,35.38852301,24,8,9,41,0.585365854,0.219512195,0.195121951,-0.725215815
57,29,Carnivorous animals will not eat another animal that has been killed by what means?,Lightning strike,0,68.81578947,68.65789474,66.57894737,33.73894635,31.8300184,32.95667228,20,9,9,38,0.526315789,0.236842105,0.236842105,0.410281899
58,30,Certain types of which animal can be frozen solid and then continue living once thawed?,Frog,0,73.14,73.86,62.86,30.94564689,29.1827528,36.27897013,36,5,10,51,0.705882353,0.196078431,0.098039216,-0.56999905
60,31,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,Untethered space walk,0,64.875,64.7,51.8,26.59013457,27.21255366,32.59479273,31,7,3,42,0.738095238,0.071428571,0.166666667,-2.098523221
64,32,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?",The Pope,0,58.93877551,67.36734694,48.42857143,31.78666398,28.55163005,32.15522249,33,8,8,49,0.673469388,0.163265306,0.163265306,-0.274852381
66,33,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,Shower curtain ,0,64.47619048,56.64285714,49.64285714,31.70230283,33.85969719,35.00370812,34,4,4,42,0.80952381,0.095238095,0.095238095,-0.304458095
69,34,"During which war was ""The African Queen"" set?",World War I,0,50.19444444,54.5,37.38888889,32.11748028,30.92433161,34.13191031,26,5,5,36,0.722222222,0.138888889,0.138888889,-0.158755655
73,35,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?"," ""!"" ",0,65.78571429,59.35714286,48.88095238,34.31527834,35.96530946,36.4853478,38,2,2,43,0.88372093,0.046511628,0.046511628,0.612539938
74,36,Eleven U.S. presidents have been what before being elected?,Generals,0,75.38095238,70.38095238,45.11904762,28.45788706,34.08737151,35.85825916,28,7,7,42,0.666666667,0.166666667,0.166666667,-1.443053873
75,37,"Europe's only free-range monkeys are the Barbary apes, which live where?",Gibralter,0,60.28205128,64.8974359,48.23076923,33.83469779,30.22180711,36.62862092,32,2,5,40,0.8,0.125,0.05,0.443884925
76,38,"Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?",Delaware,0,62.65116279,62.93023256,38.93023256,33.57924793,31.53410501,34.19718406,31,5,7,43,0.720930233,0.162790698,0.11627907,0.354237311
77,39,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?",The Ritz (Hotel),0,54.04347826,57.34782609,36.7173913,28.01266104,26.21722707,28.4524266,28,10,8,46,0.608695652,0.173913043,0.217391304,-1.599301559
79,40,"For his tenacity, 19th century biologist Thomas Huxley was nicknamed whose ""bulldog""?",Darwin's,0,52.02564103,51.43589744,40.23076923,33.5806078,29.06598199,27.78058915,32,4,3,39,0.820512821,0.076923077,0.102564103,0.354714543
80,41,For what crime was Bruno Hauptmann executed in 1936?,Kidnapping and killing the Lindbergh baby,0,54.24444444,58.2,50.84444444,32.27027591,28.82123586,33.49284561,38,2,6,46,0.826086957,0.130434783,0.043478261,-0.105133535
84,42,Gamophobia is the fear of what?,Marriage,0,74.87878788,64.90909091,48.27272727,26.74854853,31.59743229,38.13403395,26,4,3,33,0.787878788,0.090909091,0.121212121,-2.042929401
85,43,Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ,Tuesday,0,63.97619048,58.47619048,46.4047619,33.43686303,32.33833193,35.24621379,33,4,5,42,0.785714286,0.119047619,0.095238095,0.304268733
87,44,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,Genetics,0,51.2195122,59.19512195,47.2195122,33.78795066,30.58367172,35.44750499,36,3,3,42,0.857142857,0.071428571,0.071428571,0.42747948
89,45,HO scale is the world's most popular size of what?,Model train set,0,56.68571429,56.22857143,32.74285714,31.4107245,36.1329943,33.34167403,27,1,7,35,0.771428571,0.2,0.028571429,-0.40678464
108,46,Ida May Fuller was the first U.S. citizen to receive a check for what?,Social Security,0,59.275,62.025,44.3,30.56475891,29.85304821,34.0784916,34,2,4,40,0.85,0.1,0.05,-0.703667936
110,47,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,The Netherlands,0,64.89795918,57.73469388,61.67346939,34.4675239,30.2336564,34.18112768,42,3,4,49,0.857142857,0.081632653,0.06122449,0.66596902
113,48,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",Library of Congress,0,59.25581395,66.09302326,42.1627907,32.18776241,26.06750756,32.63136837,40,0,4,44,0.909090909,0.090909091,0,-0.134090835
114,49,"In 1849, Walter Hunt received a patent for turning a single piece of wire into what?",A paper clip,0,65.64864865,68.48648649,42.45945946,34.089927,28.64206466,33.09380153,31,2,4,38,0.815789474,0.105263158,0.052631579,0.533455105
115,50,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",Queen Isabella I ,0,65.24137931,53.27586207,46.5862069,28.86626203,28.08011059,33.30756804,20,6,4,30,0.666666667,0.133333333,0.2,-1.299738694
116,51,"In 1900, Texas biologist Vernon Bailey discovered a network of tunnels the size of the state of Maryland. What had dug them?",Prairie dogs,0,64.5,55.67647059,54.20588235,30.24270511,29.81429451,35.87248411,28,2,5,35,0.8,0.142857143,0.057142857,-0.816689548
117,52,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?",Smoke,0,70.90909091,62.18181818,54.54545455,34.91705666,34.0971749,36.45861275,36,5,3,44,0.818181818,0.068181818,0.113636364,0.823728115
119,53,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",Lou Gehrig,0,64.83333333,61.08333333,36.94444444,34.12874783,33.03277593,33.31747242,25,5,6,36,0.694444444,0.166666667,0.138888889,0.547078892
124,54,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",Let's spend some time together,0,56.21428571,54.4047619,36.78571429,34.27545215,31.32758429,31.13584376,36,5,2,43,0.837209302,0.046511628,0.11627907,0.598563329
127,55,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",The Loch Ness Monster,0,60.83333333,64.27083333,45.27083333,30.4563401,31.75822198,34.10792607,45,0,2,48,0.9375,0.041666667,0,-0.741716448
128,56,"in 2004, for the Internet age, what new character was added to the Morse code alphabet, the first ever official addition since world war I?",@,0,69.2244898,75.79591837,47.3877551,29.92509072,25.2817289,34.74299469,39,5,6,50,0.78,0.12,0.1,-0.928153191
130,57,"In 2005, Bhutan became the first country to entirely ban what?",Tobacco,0,67.92307692,64.28205128,53.97435897,27.99002136,23.72423668,29.9055418,34,2,4,40,0.85,0.1,0.05,-1.607246734
133,58,"In ancient Egypt, what was the penalty for killing a cat?",Death,0,65.85714286,62.24489796,44.95918367,31.79884694,34.71102767,36.69012082,32,5,12,50,0.64,0.24,0.1,-0.27057689
137,59,"In Europe, but not the U.S., what are measured in ""Paris Points""?",Shoe sizes,0,56.05714286,52.05714286,40.42857143,34.40070353,32.49248135,35.57038235,31,2,1,36,0.861111111,0.027777778,0.055555556,0.642519068
138,60,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",Peregrine falcon,0,64.04081633,65.75510204,54.18367347,29.63947198,28.75799209,30.10099214,32,6,11,50,0.64,0.22,0.12,-1.028388275
152,61,"In what country did the domesticated ""potbellied pig"" originate?",Vietnam,0,58.76315789,68.52631579,45.97368421,33.40046464,26.94813521,34.58908345,27,5,6,39,0.692307692,0.153846154,0.128205128,0.291495077
153,62,In what country was the largest rough diamond ever discovered?,South Africa,0,61.32,64.74,45.06,32.24234761,29.520529,33.03641158,32,9,9,50,0.64,0.18,0.18,-0.114934695
154,63,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",Egypt,0,60.15384615,57.74358974,49.76923077,33.61197974,31.98331633,32.98840429,27,6,7,40,0.675,0.175,0.15,0.365724218
158,64,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ",Stratosphere,0,57.86842105,64.65789474,43.13157895,28.78735745,24.76077578,30.3708351,26,8,5,39,0.666666667,0.128205128,0.205128205,-1.327429482
160,65,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ",Mexico ,0,55.92682927,52.17073171,41.04878049,34.73067106,32.61663873,34.60632256,37,0,4,41,0.902439024,0.097560976,0,0.758317924
162,66,In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ,Pancreas,0,51.12,52.72,36.92,33.44239031,34.94078957,30.03932117,38,3,8,50,0.76,0.16,0.06,0.306208475
164,67,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",Texas,0,61.33333333,59.93333333,34.84444444,34.44165026,33.20898017,31.16156983,37,7,2,46,0.804347826,0.043478261,0.152173913,0.65688892
171,68,In which country is it most common for divers to be attacked by sharks?,United States,0,68.6969697,62,58.39393939,26.85084362,29.4300017,30.69501119,18,7,8,33,0.545454545,0.242424242,0.212121212,-2.007029947
173,69,In which country were the Hanging Gardens of Babylon located?,Iraq,0,56.92105263,60.81578947,42.89473684,32.72769022,29.74109475,28.73625591,16,13,9,38,0.421052632,0.236842105,0.342105263,0.055391515
178,70,In which state was the first execution by electric chair?  ,NY,0,63.65789474,60.81578947,44.31578947,35.41588918,32.61640713,36.49220966,29,3,6,38,0.763157895,0.157894737,0.078947368,0.998788477
181,71,"James Bond works for M, but what single initial is used for the real-life director of Britain's MI6?",C,0,57.225,54.25,38.975,33.45604656,34.38153201,33.96641441,32,5,5,42,0.761904762,0.119047619,0.119047619,0.311001002
182,72,John Walker invented what common household item having accidentally mixed potassium chlorate and antimony sulfide the previous year?,Matches,0,65.05714286,63.22857143,48.77142857,29.71921824,29.58048414,28.38297513,25,4,5,35,0.714285714,0.142857143,0.114285714,-1.00040211
183,73,Lobster blood is what color?,Blue,0,66,66.19047619,48.9047619,30.26790943,30.80484448,32.10866422,28,6,11,46,0.608695652,0.239130435,0.130434783,-0.807844337
187,74,Ninety percent of the world's true cinnamon comes from what island nation? ,Sri Lanka,0,65.95,59.575,46.15,31.95906837,31.88592447,35.99184381,29,7,5,41,0.707317073,0.12195122,0.170731707,-0.214348755
190,75,"Of all the countries named for a person, which country is named for the person who lived most recently?",Bolivia,0,70.3255814,64.18604651,45.30232558,30.4730333,30.61376582,35.10022038,39,4,0,43,0.906976744,0,0.093023256,-0.735858135
192,76,"Of the world's seven most populous islands, what's the only one not in Asia? ",Great Britain,0,67.47619048,67.14285714,38.5,26.3227974,27.29207106,33.57209207,30,8,6,44,0.681818182,0.136363636,0.181818182,-2.192342568
203,77,"One in every 2,000 babies is born with what? ",Teeth,0,69.5,69.60869565,56.54347826,30.61208912,29.85630643,34.08010597,39,6,3,49,0.795918367,0.06122449,0.12244898,-0.687057866
204,78,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,The Mona Lisa,0,76.25581395,78.02325581,60.06976744,29.91901213,27.61942758,33.45672069,28,8,8,44,0.636363636,0.181818182,0.181818182,-0.930286411
206,79,Pantophobia is the fear of what?,Everything ,0,63.93181818,71.75,49.04545455,32.13228307,32.78267055,36.90336504,29,8,8,45,0.644444444,0.177777778,0.177777778,-0.153560763
208,80,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",The I Ching,0,61.0952381,51.38095238,35.71428571,33.01574608,30.10951748,31.36666377,34,4,4,42,0.80952381,0.095238095,0.095238095,0.156481883
212,81,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,Cell,0,57.70731707,71.82926829,51.04878049,34.2711569,24.97789266,33.50593322,31,6,6,44,0.704545455,0.136363636,0.136363636,0.597055952
216,82,"Shakespeare mentioned his wife only once in his will, making her the odd bequest of his ""second best"" what? ",Bed ,0,61.80645161,51.32258065,46.83870968,34.59423782,36.88033541,38.3171822,30,1,0,31,0.967741935,0,0.032258065,0.710438021
217,83,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,Czechoslovakia,0,58.36363636,61.52272727,46.40909091,33.34114778,31.64445551,35.6887828,30,7,7,44,0.681818182,0.159090909,0.159090909,0.270678408
219,84,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",Air bags,0,62.6122449,62.97959184,49.63265306,33.33030173,30.49418647,35.41932963,44,2,3,49,0.897959184,0.06122449,0.040816327,0.266872094
221,85,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",Echinoderms,0,53.0952381,57.69047619,31.85714286,30.0964381,31.89578158,30.64077582,29,7,6,42,0.69047619,0.142857143,0.166666667,-0.868020512
223,86,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",Paris,0,52.55102041,50.48979592,39.7755102,31.51260411,32.42177923,29.90141113,38,7,3,49,0.775510204,0.06122449,0.142857143,-0.371030994
227,87,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",The crust and the mantle,0,53.51219512,55.63414634,41.65853659,35.23430285,33.64279722,29.15785465,33,5,4,42,0.785714286,0.095238095,0.119047619,0.935062544
230,88,The adjective callipygian refers to someone who has a beautiful what? ,Butt,0,56.07317073,62.7804878,51.26829268,33.7663962,29.84335118,29.93996025,27,4,10,41,0.658536585,0.243902439,0.097560976,0.419915154
231,89,The Admiral is which type of insect? ,Butterfly,0,54.82222222,59.68888889,44.71111111,29.7728437,30.01122686,28.31047206,38,2,4,45,0.844444444,0.088888889,0.044444444,-0.981582781
232,90,The air expelled from what can travel at 100 mph?,A sneeze,0,62.65789474,71.02631579,43.52631579,31.47910188,27.44181741,33.37075661,28,3,7,38,0.736842105,0.184210526,0.078947368,-0.382788273
233,91,The apgar score is used to measure the color and condition of what? ,Newborns ,0,62.71052632,65.55263158,43.94736842,28.37195789,28.59001656,29.9927445,24,7,8,39,0.615384615,0.205128205,0.179487179,-1.473209869
237,92,"The average male spends 2,965 hours doing what over the course of his lifetime?",Shaving,0,70.74285714,58.42857143,24.88571429,32.14612122,32.3130694,27.62327602,28,5,4,37,0.756756757,0.108108108,0.135135135,-0.148704401
238,93,"The BBC once banned the Beatles' ""Come Together"" for ""advertising"" what product in the lyrics?",Coca-Cola,0,74.67647059,61.20588235,55.35294118,31.5342244,32.19615958,33.40466521,19,9,8,36,0.527777778,0.222222222,0.25,-0.363443566
244,94,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",Boston Tea Party,0,54.37777778,61.44444444,40.84444444,35.01771557,32.61103798,36.07942977,33,6,6,46,0.717391304,0.130434783,0.130434783,0.859053371
246,95,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,The crocodile,0,59.13333333,62.93333333,50.26666667,33.19679612,32.11513379,35.44804136,34,4,7,46,0.739130435,0.152173913,0.086956522,0.220019614
247,96,The electric eel is native only to what continent?,South America,0,58.28888889,62.91111111,44.24444444,31.29596418,25.39758598,33.59867121,33,5,9,47,0.70212766,0.191489362,0.106382979,-0.447058645
248,97,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",Nuclear Disarmament,0,67.9,66.2,56.675,28.3013092,29.37572694,31.33801452,37,1,2,40,0.925,0.05,0.025,-1.498003329
250,98,The fictional nation of Brobdingnag from Gulliver's Travels is presumed to be where?,Near Alaska,0,58.02564103,54.07692308,42.82051282,33.75647086,31.48465342,33.65605584,34,4,1,39,0.871794872,0.025641026,0.102564103,0.416431956
253,99,The first suburban shopping center in the U.S. was established in what city?,Kansas City ,0,62.38461538,53.05128205,44.8974359,31.23646265,30.81861085,37.27620581,32,2,5,39,0.820512821,0.128205128,0.051282051,-0.467940119
254,100,The first swear word on the big screen was in what movie?,Gone with the Wind,0,64.16216216,66.59459459,39.94594595,34.32646656,28.35240482,32.69806819,31,1,7,39,0.794871795,0.179487179,0.025641026,0.616466333
264,101,The Linke Scale is used to measure the blueness of what?,The sky,0,57.32142857,66.83928571,50.78571429,29.52909637,23.26196801,29.98103297,48,6,2,56,0.857142857,0.035714286,0.107142857,-1.067123509
266,102,The name of which city permanently lost its first 'a' when the first issue of a newspaper was published in 1831 and they had to shorten it to fit on the paper's masthead?,"Cle(a)veland, Ohio",0,63.10810811,64,52.81081081,35.25445896,32.88278847,35.44780031,31,5,1,37,0.837837838,0.027027027,0.135135135,0.942136133
270,103,"The pinna is the outer, visible part of what?",Ear ,0,62.36956522,62,40.34782609,30.74870093,30.022214,32.86552898,36,3,6,46,0.782608696,0.130434783,0.065217391,-0.639115295
272,104,The risk of heart attack is highest on which day of the week?,Monday,0,76,76.78947368,63.68421053,24.45624886,22.73128324,31.86551577,29,2,7,38,0.763157895,0.184210526,0.052631579,-2.847389406
275,105,"The SS Faith, a ship built by Leslie Comyn, was made of what unique material?",Cement,0,62.33333333,65.9047619,57.52380952,30.67744597,27.35744383,31.7929568,42,0,0,42,1,0,0,-0.664121522
276,106,"The title of the song ""Kumbaya"" is actually a distortion of what three-word phrase?",Come by her,0,63.6,55.68888889,45.73333333,33.23429226,31.19281839,37.36880079,33,4,8,45,0.733333333,0.177777778,0.088888889,0.233178514
278,107,"The U.S.'s first successful ICBM was what rocket named for a Titan of Greek myth, later used to launch John Glenn into orbit?",The Atlas,0,60.39473684,60.97368421,47.44736842,32.0898565,29.21632905,30.45572539,26,7,5,38,0.684210526,0.131578947,0.184210526,-0.168449948
279,108,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",Brazil,0,63.53658537,63.29268293,34.95121951,33.61554518,28.6820884,34.23079843,32,3,6,42,0.761904762,0.142857143,0.071428571,0.366975475
284,109,"The word serendipity comes from Serendip, the Persian name for what island? ",Sri Lanka,0,61.14285714,61.23809524,42.5952381,31.53362234,30.19837625,34.39870922,38,2,3,43,0.88372093,0.069767442,0.046511628,-0.363654852
285,110,"The world's first ""sister cities"" were what Spanish city and its midwestern namesake?",Toledo,0,56.54545455,53.84090909,35.11363636,34.83479585,33.54340692,35.58757028,35,5,4,44,0.795454545,0.090909091,0.113636364,0.794859495
286,111,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",Ivory Coast's ,0,52.76666667,57.73333333,41.83333333,31.78123859,31.28614691,31.08285183,22,4,4,31,0.709677419,0.129032258,0.129032258,-0.276756366
288,112,"The world's smallest park, measuring two feet in diameter, is located in what U.S. state? ",Oregon ,0,69.82051282,60.69230769,60.05128205,29.49832448,28.92199477,35.04504524,36,1,2,39,0.923076923,0.051282051,0.025641026,-1.077922601
289,113,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",Traffic lights,0,66.72972973,55.67567568,35.48648649,31.61456121,32.45514345,32.77924616,32,2,3,37,0.864864865,0.081081081,0.054054054,-0.335250153
290,114,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",Bhutan,0,66.15,50.425,39.025,29.2176185,29.10977235,30.34881614,37,3,1,41,0.902439024,0.024390244,0.073170732,-1.176433601
291,115,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",Sudan,0,61.26190476,61.26190476,42.14285714,29.66484289,26.55510564,32.76938743,30,5,7,42,0.714285714,0.166666667,0.119047619,-1.019484604
292,116,"Though the rest of him lies in Westminster Abbey, what writer's heart is buried near his native Dorchester?",Thomas Hardy,0,68,55.70731707,46.41463415,33.84375866,29.71047282,33.09983052,32,3,6,41,0.780487805,0.146341463,0.073170732,0.447064747
293,117,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",Rechargeable batteries,0,62.07317073,62.31707317,51.63414634,31.88682349,28.11533303,31.2991662,31,3,7,41,0.756097561,0.170731707,0.073170732,-0.239702386
296,118,"Two of the ""four humors"" the ancients believed controlled temperament consist of what bodily fluid?",Bile,0,64.45,53.45,46.625,31.64381092,31.30654884,35.48180285,30,4,6,40,0.75,0.15,0.1,-0.324985257
298,119,"Until 1790, what was known as Jenkins Hill? ",Capitol Hill,0,53.62790698,58.6744186,37.69767442,30.95697725,26.51838619,30.18556489,42,0,3,45,0.933333333,0.066666667,0,-0.566022768
299,120,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",North Korea,0,63.72093023,59.48837209,45.74418605,29.46048652,31.91161312,34.50610231,39,0,4,43,0.906976744,0.093023256,0,-1.091201462
301,121,"W.C. Minor, a murderer, spent the last decades of his life in an insane asylum writing hundreds of entries for what reference work? ",The Oxford English Dictionary,0,60.08510638,59.74468085,54.06382979,32.49068749,30.8942573,34.7327713,40,3,5,48,0.833333333,0.104166667,0.0625,-0.02778226
305,122,What 1963 song led to a thirty-one month FBI investigation into supposed obscenities hidden in its unintelligible lyrics?,Louie Louie,0,65.61538462,67.8974359,65.20512821,32.70491303,28.74094354,35.38374552,26,6,7,39,0.666666667,0.179487179,0.153846154,0.047398084
306,123,What 1980 film is named for the legendary square-shaped capital of Kublai Khan? ,Xanadu ,0,58.20930233,52.13953488,33.90697674,35.15716965,33.38204635,31.03823598,34,6,3,43,0.790697674,0.069767442,0.139534884,0.907993407
