Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,trialEvents,exp,subjectId,date
Cornea,4,What is the only part of the body that has no blood supply? ,211,1.822,22,261597.90000000037,t,W,4818.4000000003725,268939.2000000011,272947.9000000004,5,2920.699999999255,278219.0999999996,,HRV,HRV_0131,2022-11-30 17:54:32
American Beauty,4,What Oscar-winning Best Picture is named for a type of rose? ,240,1.08,23,278219.2000000011,q,S,3795.2999999988824,,,,,283631.0999999996,,HRV,HRV_0131,2022-11-30 17:54:32
Germany,1,Which European country was the first to produce decaffeinated coffee? ,412,1.787,24,283631.0999999996,q,S,5319.10000000149,,,,,291267.7000000011,,HRV,HRV_0131,2022-11-30 17:54:32
coca-cola,4,Which famous soft drink was invented in 1892?,425,0.692,25,291267.7000000011,t,W,4606.5,298397.9000000004,302402.0999999996,5,3318.10000000149,306934.4000000004,,HRV,HRV_0131,2022-11-30 17:54:32
honey,7,Which is the only food that can never go off or go bad?,442,1.232,26,306934.4000000004,t,W,6069.800000000745,315513.30000000075,319530.30000000075,5,1943.9000000003725,323222.5,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 308175.30000000075, 'date time': 1669830566212}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 309904.30000000075, 'date time': 1669830567941}]",HRV,HRV_0131,2022-11-30 17:54:32
Peanuts ,1,What snack food is an ingredient in the explosive dynamite?  ,408,0.591,27,323222.5,p,K,6233.5,,,,,330576.80000000075,,HRV,HRV_0131,2022-11-30 17:54:32
Penny Marshall,1,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,0.669,28,330576.80000000075,t,W,4297.299999998882,337403.9000000004,341418.0999999996,,,345943.4000000004,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 344195.9000000004, 'date time': 1669830602233}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 345548.5999999996, 'date time': 1669830603586}]",HRV,HRV_0131,2022-11-30 17:54:32
The Super Bowl ,7,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,1.891,29,345943.4000000004,q,S,4877.5999999996275,,,,,353235.5,,HRV,HRV_0131,2022-11-30 17:54:32
Chuck E. Cheese's,5,What restaurant chain was the brainchild of Atari founder Nolan Bushnell? ,251,1.064,30,353235.5,t,W,4037.5,359793.5,363802.5,5,1958.4000000003725,367339.0,,HRV,HRV_0131,2022-11-30 17:54:32
Sri Lanka,4,"The word serendipity comes from Serendip, the Persian name for what island? ",109,1.39,31,367339.0,q,S,3680.0,,,,,372932.80000000075,,HRV,HRV_0131,2022-11-30 17:54:32
Francisco Goya,5,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?",15,0.895,32,372932.80000000075,q,S,6234.0,,,,,380592.5999999996,,HRV,HRV_0131,2022-11-30 17:54:32
Marriage,4,Gamophobia is the fear of what?,42,1.7,33,380592.5999999996,t,W,2916.4000000003725,386043.9000000004,390065.4000000004,5,1257.4000000003725,393540.0,,HRV,HRV_0131,2022-11-30 17:54:32
Untethered space walk,5,Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?,31,1.404,34,393540.0999999996,p,K,6620.800000000745,,,,,402103.4000000004,,HRV,HRV_0131,2022-11-30 17:54:32
spiced ham,2,What two words were combined to make the word Spam?,426,1.665,35,402103.5,t,W,7545.300000000745,412162.5999999996,416183.30000000075,5,1627.5999999996275,420000.2000000011,,HRV,HRV_0131,2022-11-30 17:54:32
Death,7,"In ancient Egypt, what was the penalty for killing a cat?",58,0.793,36,420000.2000000011,t,W,3825.0,426342.9000000004,430348.80000000075,5,1752.0999999996275,433416.7000000011,,HRV,HRV_0131,2022-11-30 17:54:32
France,6,"What country launched Europe's first super-high-speed passenger train, in 1981?",159,1.419,37,433416.7000000011,q,S,3250.39999999851,,,,,438596.7000000011,,HRV,HRV_0131,2022-11-30 17:54:32
Joan of Arc's ,4,"Whose remains were thrown in the Seine River on May 30, 1431? ",389,0.917,38,438596.7000000011,q,S,3443.89999999851,,,,,443479.0999999996,,HRV,HRV_0131,2022-11-30 17:54:32
Espresso,1,The Italian government regulates the price of what beverage?,399,1.129,39,443479.0999999996,p,K,4003.60000000149,,,,,449136.5,,HRV,HRV_0131,2022-11-30 17:54:32
Air bags,3,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",84,1.651,40,449136.5999999996,q,S,6826.10000000149,,,,,458134.7000000011,,HRV,HRV_0131,2022-11-30 17:54:32
Black,7,What color lipstick did silent movie stars wear?  ,151,1.689,41,458134.7000000011,t,W,3790.0999999996275,464453.7000000011,468462.30000000075,,,472977.9000000004,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 469145.7000000011, 'date time': 1669830727183}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 472118.0999999996, 'date time': 1669830730156}]",HRV,HRV_0131,2022-11-30 17:54:32
The budgerigar,1,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.458,42,472977.9000000004,q,S,4956.5999999996275,,,,,479917.0,,HRV,HRV_0131,2022-11-30 17:54:32
Roulette,6,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,1.038,43,479917.0,t,W,6867.700000001118,489309.0999999996,493318.0,5,2338.5,497220.9000000004,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 493602.30000000075, 'date time': 1669830751639}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 494721.80000000075, 'date time': 1669830752759}]",HRV,HRV_0131,2022-11-30 17:54:32
Liffey,6,What river runs through Dublin?   ,253,0.66,44,497221.0,q,S,2332.7000000011176,,,,,500725.4000000004,,HRV,HRV_0131,2022-11-30 17:54:32
Texas,6,"What state's motto is ""friendship"" since that's supposed to have been the meaning of the state's Caddo Indian name?",263,1.937,45,500725.4000000004,t,W,7311.0999999996275,510574.9000000004,514590.0999999996,5,2010.4000000003725,519057.4000000004,,HRV,HRV_0131,2022-11-30 17:54:32
Mountain Dew,6,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.965,46,519057.4000000004,t,W,6565.5,528138.9000000004,532148.0,5,926.3000000007451,535563.3000000007,,HRV,HRV_0131,2022-11-30 17:54:32
George VI,3,Who was the last British Monarch to also be an emperor?  ,381,1.832,47,535563.3000000007,t,W,5451.0,543542.0,547549.3000000007,5,2129.0,552033.2000000011,,HRV,HRV_0131,2022-11-30 17:54:32
J,7,What's the only letter that doesn't appear in the periodic table of elements?,309,0.86,48,552033.3000000007,t,W,3370.9000000003725,557927.3000000007,561931.5,3,1262.800000000745,564567.5999999996,,HRV,HRV_0131,2022-11-30 17:54:32
All in the Family ,7,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,0.963,49,564567.7000000011,q,S,5368.599999997765,,,,,571428.5000000019,,HRV,HRV_0131,2022-11-30 17:54:32
Cadabra.com ,2,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,1.217,50,571428.5000000019,t,W,4971.79999999702,578934.0999999996,582949.9000000004,5,2056.5,586741.5000000019,,HRV,HRV_0131,2022-11-30 17:54:32
Avocado,7,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.522,51,586741.5000000019,q,S,4986.79999999702,,,,,593781.4000000004,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 588474.5000000019, 'date time': 1669830846511}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 589731.2999999989, 'date time': 1669830847768}]",HRV,HRV_0131,2022-11-30 17:54:32
The names of the Great Lakes ,4,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,1.265,52,593781.4000000004,t,W,4642.699999999255,600948.7999999989,604954.7000000011,5,1951.8999999985099,608683.0999999996,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 604724.0999999996, 'date time': 1669830862761}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 605899.5000000019, 'date time': 1669830863937}]",HRV,HRV_0131,2022-11-30 17:54:32
