Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,exp,subjectId,date
George Orwell ,4,"Whose first book was ""Down and Out in Paris and London"", about his year among the poverty-stricken underclass of those cities?",388,1.085,21,104835.79999995232,,q,S,3650.2999999523163,110085.40000009537,HRV,HRV_0231,2022-11-30 19:12:10
Choking on food,4,"Each year, approximately 125 people die of what? ",417,1.858,22,110085.5,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 110214, 'date time': 1669835038950}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 110859.29999995232, 'date time': 1669835039595}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 113329, 'date time': 1669835042065}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 113337.20000004768, 'date time': 1669835042073}]",q,S,4935.200000047684,117394.0,HRV,HRV_0231,2022-11-30 19:12:10
Radar,1,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,0.919,23,117394.09999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 117464.40000009537, 'date time': 1669835046200}]",,,,126926.20000004768,HRV,HRV_0231,2022-11-30 19:12:10
potein,4,"What nutrient comes from meat, eggs, and fish?",433,1.967,24,126926.20000004768,,,,,136446.29999995232,HRV,HRV_0231,2022-11-30 19:12:10
On a Jell-O box,1,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,1.891,25,136446.29999995232,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 142860.20000004768, 'date time': 1669835071596}]",,,,145966.20000004768,HRV,HRV_0231,2022-11-30 19:12:10
Rat,5,Which animal can go longer without water than a camel can? ,323,1.221,26,145966.20000004768,,q,S,2221.2000000476837,149945.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
Boston Tea Party,5,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",94,1.149,27,149945.90000009537,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 153631.09999990463, 'date time': 1669835082367}]",q,S,2272.199999809265,153872.5,HRV,HRV_0231,2022-11-30 19:12:10
The Beatles' Rain ,4,What was the first rock song ever to feature hidden messages in the form of back-masked vocals?  ,284,1.387,28,153872.5,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 156839.40000009537, 'date time': 1669835085575}]",q,S,3967.2999999523163,159756.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",1,Cooking which food requires over two years of training?,461,0.809,29,159756.90000009537,,q,S,2964.899999856949,164056.20000004768,HRV,HRV_0231,2022-11-30 19:12:10
lobster,5,Which expensive restaurant item used to be fed to pisinors and servants?,449,1.447,30,164056.20000004768,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 165309.70000004768, 'date time': 1669835094046}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 166263.79999995232, 'date time': 1669835095000}]",q,S,2688.7999999523163,168697.5,HRV,HRV_0231,2022-11-30 19:12:10
All in the Family ,3,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.432,31,168697.5,,p,K,4790.700000047684,175452.0,HRV,HRV_0231,2022-11-30 19:12:10
Mae West,1,"Because her name became a slang term for a life preserver, who is the only actress whose name is an entry in Merriam-Webster's?",26,0.787,32,175452.0,,q,S,2808.2000000476837,179581.40000009537,HRV,HRV_0231,2022-11-30 19:12:10
The Loch Ness Monster,7,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.177,33,179581.5,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 182299.20000004768, 'date time': 1669835111036}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 184189.09999990463, 'date time': 1669835112925}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 186936.09999990463, 'date time': 1669835115672}]",q,S,6078.400000095367,187356.20000004768,HRV,HRV_0231,2022-11-30 19:12:10
The Mona Lisa,4,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,1.762,34,187356.29999995232,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 195952.40000009537, 'date time': 1669835124689}]",,,,196871.70000004768,HRV,HRV_0231,2022-11-30 19:12:10
Penny Marshall,2,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,0.68,35,196871.79999995232,,q,S,2905.0,200986.0,HRV,HRV_0231,2022-11-30 19:12:10
Avocados have twice the amount of potassium as bananas. ,6,Which fruit has more potassium than bananas?,455,0.743,36,200986.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 202207.40000009537, 'date time': 1669835130944}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 205191.20000004768, 'date time': 1669835133928}]",q,S,7193.0,209436.5,HRV,HRV_0231,2022-11-30 19:12:10
The barrel of a gun,3,"According to Chairman Mao, ""political power grows out of"" what?",11,1.845,37,209436.5,,q,S,3478.2000000476837,215273.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
The evacuation of Saigon,6,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",6,1.492,38,215273.90000009537,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 215378.70000004768, 'date time': 1669835144115}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 216055.90000009537, 'date time': 1669835144792}]",q,S,1708.6999998092651,219006.29999995232,HRV,HRV_0231,2022-11-30 19:12:10
Spanish,6,Which language is spoken in the Canary Islands?   ,346,0.837,39,219006.29999995232,,q,S,1744.5,222121.5,HRV,HRV_0231,2022-11-30 19:12:10
Paris,3,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,1.508,40,222121.5,,q,S,2458.7999999523163,226626.29999995232,HRV,HRV_0231,2022-11-30 19:12:10
Spiro Agnew ,2,"What vice president referred to his critics as the ""nattering nabobs of negativism""? ",274,1.017,41,226626.29999995232,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 229782.70000004768, 'date time': 1669835158519}]",q,S,2885.600000143051,231056.29999995232,HRV,HRV_0231,2022-11-30 19:12:10
Marriage,6,Gamophobia is the fear of what?,42,0.58,42,231056.29999995232,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 235169.70000004768, 'date time': 1669835163906}]",q,S,4911.600000143051,237086.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
Adlai Stevenson,7,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.221,43,237086.20000004768,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 239609.09999990463, 'date time': 1669835168345}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 243878.40000009537, 'date time': 1669835172615}]",q,S,7306.799999952316,246146.79999995232,HRV,HRV_0231,2022-11-30 19:12:10
Antawn Jamison ,5,What Washington Wizards All-Star still bears the misplaced w in his name from a birth certificate typo?,295,0.91,44,246146.79999995232,,q,S,4933.200000047684,252515.79999995232,HRV,HRV_0231,2022-11-30 19:12:10
The nock,5,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.468,45,252515.79999995232,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 257361.29999995232, 'date time': 1669835186098}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 258373.90000009537, 'date time': 1669835187110}]",q,S,4227.200000047684,258748.20000004768,HRV,HRV_0231,2022-11-30 19:12:10
Sri Lanka,3,Ninety percent of the world's true cinnamon comes from what island nation? ,74,1.439,46,258748.29999995232,,p,K,5196.5,265904.7999999523,HRV,HRV_0231,2022-11-30 19:12:10
Monday,6,The risk of heart attack is highest on which day of the week?,104,1.201,47,265904.7999999523,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 269599.2000000477, 'date time': 1669835198335}]",q,S,2863.100000143051,270506.7000000477,HRV,HRV_0231,2022-11-30 19:12:10
Bamboo ,1,What were the first modern Olympic pole vaulters' poles made of? ,296,0.962,48,270506.7999999523,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 276328.40000009537, 'date time': 1669835205065}]",q,S,7448.200000047684,279445.7999999523,HRV,HRV_0231,2022-11-30 19:12:10
Genetics,6,Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?,44,0.536,49,279445.7999999523,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 281709.09999990463, 'date time': 1669835210445}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 286199.59999990463, 'date time': 1669835214936}]",q,S,7211.400000095367,287706.5,HRV,HRV_0231,2022-11-30 19:12:10
Iraq,1,In which country were the Hanging Gardens of Babylon located?,69,0.998,50,287706.5,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 288373.5, 'date time': 1669835217110}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 293140.7999999523, 'date time': 1669835221877}]",q,S,5869.5,295116.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
Mars,3,Where did the Beagle 2 crash and disappear on Christmas Day 2003?  ,316,1.043,51,295116.09999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 299088, 'date time': 1669835227824}]",q,S,3233.2000000476837,299904.2999999523,HRV,HRV_0231,2022-11-30 19:12:10
pastry,5,Choux and filo are two types of what food product?,446,0.871,52,299904.2999999523,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 299999.7999999523, 'date time': 1669835228736}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 303892.7000000477, 'date time': 1669835232629}]",q,S,3011.100000143051,304326.2000000477,HRV,HRV_0231,2022-11-30 19:12:10
Speed of wind,6,What does an anemometer measure? ,168,1.075,53,304326.2000000477,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 307000.7999999523, 'date time': 1669835235737}]",q,S,4193.399999856949,310106.0,HRV,HRV_0231,2022-11-30 19:12:10
Espresso,6,The Italian government regulates the price of what beverage?,399,1.424,54,310106.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 311946.2000000477, 'date time': 1669835240682}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 315859.59999990463, 'date time': 1669835244596}]",q,S,6883.400000095367,318956.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
Sepia,4,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,0.963,55,318956.09999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 319210.40000009537, 'date time': 1669835247946}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 325744.09999990463, 'date time': 1669835254480}]",q,S,7338.700000047684,327775.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
A Spoonful of Sugar ,6,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.53,56,327775.90000009537,,q,S,2508.399999856949,332346.0,HRV,HRV_0231,2022-11-30 19:12:10
The Chrysler Building ,2,What skyscraper's exterior ornaments include radiator caps on the thirty-first floor and hood ornament eagles on the sixty-first floor?,258,1.31,57,332346.0,,p,K,4911.599999904633,339086.0,HRV,HRV_0231,2022-11-30 19:12:10
Cheetah,2,Which is the only cat that cannot retract its claws? ,344,1.988,58,339086.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 343676.40000009537, 'date time': 1669835272412}]",q,S,3668.0999999046326,345256.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
chickpeas,7,What is used to make hummus?,424,1.066,59,345256.90000009537,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 346294.5, 'date time': 1669835275030}]",p,K,3036.0,349896.0,HRV,HRV_0231,2022-11-30 19:12:10
Peter Pan ,5,What was the first English play to be written especially for children? ,283,1.533,60,349896.09999990463,,q,S,1756.2000000476837,353706.0,HRV,HRV_0231,2022-11-30 19:12:10
Abraham Lincoln,5,Who was the only U.S. president to also hold a patent for an invention?,384,0.904,61,353706.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 354402.2000000477, 'date time': 1669835283138}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 355074.40000009537, 'date time': 1669835283810}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 357611.90000009537, 'date time': 1669835286348}]",q,S,2646.7999999523163,357786.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
Happy Birthday,3,What was the first song ever performed in outer space? ,285,1.295,62,357786.09999990463,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 363393.7000000477, 'date time': 1669835292129}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 365627.90000009537, 'date time': 1669835294364}]",q,S,6277.0,365876.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
Ripe cranerries bounce when dropped on the ground,5,How do farmers test whether cranberries are ripe?,452,0.867,63,365876.09999990463,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 373271.90000009537, 'date time': 1669835302008}]",q,S,7828.900000095367,375115.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
Pepper and Mustard,6,What are the top two most popular spices in the world?,422,0.62,64,375116.0,,q,S,3143.2000000476837,379385.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
Great Britain,2,"Of the world's seven most populous islands, what's the only one not in Asia? ",76,1.429,65,379386.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 380879.59999990463, 'date time': 1669835309615}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 382502.2999999523, 'date time': 1669835311238}]",q,S,7882.400000095367,389236.0,HRV,HRV_0231,2022-11-30 19:12:10
Pandemonium,1,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,0.937,66,389236.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 392851.09999990463, 'date time': 1669835321587}]",q,S,3093.0,393802.5,HRV,HRV_0231,2022-11-30 19:12:10
ZZ Top,4,What musical group chose their name deliberately so that they would appear last in alphabetical listings?,234,1.921,67,393802.59999990463,,,,,403311.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
Criss-Cross ,2,What was the game of Scrabble originally called? ,286,0.943,68,403311.90000009537,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 403516.7999999523, 'date time': 1669835332253}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 406202.09999990463, 'date time': 1669835334939}]",q,S,1749.1999998092651,406536.0,HRV,HRV_0231,2022-11-30 19:12:10
Shenandoah Valley,2,What area changed hands 72 times during the Civil War? ,139,1.894,69,406536.0,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 410025.5, 'date time': 1669835338762}]",q,S,5673.900000095367,414621.0,HRV,HRV_0231,2022-11-30 19:12:10
Shaving,6,"The average male spends 2,965 hours doing what over the course of his lifetime?",92,1.471,70,414621.0,,q,S,4369.900000095367,421005.7999999523,HRV,HRV_0231,2022-11-30 19:12:10
cheese ,6,What item of food holds the world record for being the most stolen item of food in the world?,444,1.89,71,421005.7999999523,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 421190.7000000477, 'date time': 1669835349927}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 425091.40000009537, 'date time': 1669835353828}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 428136.7999999523, 'date time': 1669835356873}]",q,S,4811.0,428246.0,HRV,HRV_0231,2022-11-30 19:12:10
The Hindenburg explosion,7,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.999,72,428246.09999990463,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 431965.2999999523, 'date time': 1669835360702}]",q,S,4305.700000047684,435069.59999990463,HRV,HRV_0231,2022-11-30 19:12:10
honey,4,Which is the only food that can never go off or go bad?,442,0.561,73,435069.59999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 435749.09999990463, 'date time': 1669835364486}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 437108.7999999523, 'date time': 1669835365845}]",p,K,4066.100000143051,440236.0,HRV,HRV_0231,2022-11-30 19:12:10
The I Ching,6,"Pink Floyd's ""Chapter 24"" was inspired by what literary work?",80,0.728,74,440236.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 442709.2000000477, 'date time': 1669835371446}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 445340.2999999523, 'date time': 1669835374077}]",q,S,5779.900000095367,447286.0,HRV,HRV_0231,2022-11-30 19:12:10
Russia,7,Which country has the most public libraries?  ,339,1.143,75,447286.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 448281.59999990463, 'date time': 1669835377018}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 451838, 'date time': 1669835380574}]",q,S,5452.599999904633,454406.0,HRV,HRV_0231,2022-11-30 19:12:10
Mountain Dew,3,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,0.766,76,454406.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 458929.7000000477, 'date time': 1669835387666}]",q,S,4215.400000095367,459915.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
Tse-tse fly,4,What transmits the disease typanosomiasis to humans and cattle? ,267,1.347,77,459916.0,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 461781.7999999523, 'date time': 1669835390518}]",q,S,5535.0,467305.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
It causes sour foods subsequently consumed to taste sweet. ,6,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,1.87,78,467305.90000009537,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 467335.59999990463, 'date time': 1669835396072}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 471421.90000009537, 'date time': 1669835400158}]",q,S,5146.599999904633,474840.2000000477,HRV,HRV_0231,2022-11-30 19:12:10
Gabriele Falloppio ,7,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.057,79,474840.2000000477,,q,S,2707.899999856949,479131.2000000477,HRV,HRV_0231,2022-11-30 19:12:10
Newborns ,1,The apgar score is used to measure the color and condition of what? ,91,1.522,80,479131.2000000477,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 482111, 'date time': 1669835410847}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 482900.59999990463, 'date time': 1669835411637}]",q,S,6059.099999904633,487255.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
a spit,1,"If something is described as rotisserie, what has it been cooked on?",428,1.199,81,487255.90000009537,,p,K,3314.2999999523163,492282.90000009537,HRV,HRV_0231,2022-11-30 19:12:10
OutKast,2,Who was sued in 1999 by Rosa Parks after they used her name to title a hit song?  ,379,0.841,82,492282.90000009537,,p,K,3448.899999856949,497095.59999990463,HRV,HRV_0231,2022-11-30 19:12:10
Holy Roman Emperor Henry IV ,2,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.411,83,497095.59999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 497560.40000009537, 'date time': 1669835426297}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 499342.5, 'date time': 1669835428079}]",q,S,3105.9000000953674,502135.5,HRV,HRV_0231,2022-11-30 19:12:10
Canadian Oil,2,What is canola an abbreviation for?,436,0.815,84,502135.5,,q,S,5184.900000095367,508666.09999990463,HRV,HRV_0231,2022-11-30 19:12:10
Haricot beans,6,Baked beans are made from what type of bean?,443,1.929,85,508666.09999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 509121.7999999523, 'date time': 1669835437858}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 516515.59999990463, 'date time': 1669835445252}]",,,,518188.7999999523,HRV,HRV_0231,2022-11-30 19:12:10
The budgerigar,4,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,0.938,86,518188.7999999523,,q,S,3389.7999999523163,523037.59999990463,HRV,HRV_0231,2022-11-30 19:12:10
Tobacco,4,"In 2005, Bhutan became the first country to entirely ban what?",57,1.843,87,523037.59999990463,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 527389, 'date time': 1669835456125}]",q,S,4114.0,529515.9000000954,HRV,HRV_0231,2022-11-30 19:12:10
Captain Cook ,7,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,0.94,88,529515.9000000954,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 530657.5, 'date time': 1669835459393}]",q,S,4367.199999809265,535355.7000000477,HRV,HRV_0231,2022-11-30 19:12:10
Pet Rocks,4,What imports from a Baja California beach made Gary Drahl a millionaire in late 1975?,186,1.642,89,535355.7000000477,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 542337.5999999046, 'date time': 1669835471073}]",q,S,5859.799999952316,543375.9000000954,HRV,HRV_0231,2022-11-30 19:12:10
Kayak,1,An umiak is a larger version of what? ,20,0.682,90,543376.0,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 545140.9000000954, 'date time': 1669835473877}]",q,S,3185.9000000953674,547761.0,HRV,HRV_0231,2022-11-30 19:12:10
Let's spend some time together,4,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?",54,1.854,91,547761.0,,q,S,3222.0,553385.7000000477,HRV,HRV_0231,2022-11-30 19:12:10
Vietnam,7,"In what country did the domesticated ""potbellied pig"" originate?",61,1.218,92,553385.7999999523,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 555315.0999999046, 'date time': 1669835484051}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 559254.7999999523, 'date time': 1669835487991}]",q,S,6129.0,561265.7999999523,HRV,HRV_0231,2022-11-30 19:12:10
Prussian Blue ,5,What craylola color became 'midnight blue' in 1985 to remove an out-of-date geographical term? ,160,1.475,93,561265.7999999523,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 567733.2999999523, 'date time': 1669835496469}]",q,S,6066.0,569315.7999999523,HRV,HRV_0231,2022-11-30 19:12:10
Twenty-fourth ,7,Which Constitutional Amendment deals with poll taxes? ,335,1.657,94,569315.7999999523,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 570723, 'date time': 1669835499459}]",q,S,2208.7999999523163,573705.7999999523,HRV,HRV_0231,2022-11-30 19:12:10
Buck,1,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,0.546,95,573705.7999999523,,p,K,3846.7999999523163,578666.2000000477,HRV,HRV_0231,2022-11-30 19:12:10
Bolivia,6,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,1.046,96,578666.2000000477,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 582902.5999999046, 'date time': 1669835511638}]",q,S,3410.2000000476837,583641.4000000954,HRV,HRV_0231,2022-11-30 19:12:10
St. Louis Gateway Arch ,2,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,0.524,97,583641.5,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 593010.5, 'date time': 1669835521746}]",,,,593166.2999999523,HRV,HRV_0231,2022-11-30 19:12:10
