Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Pieces of Skylab fell there,7,"Why did the Shire of Esperance, in Western Australia, issue the United States a $400 fine for littering in 1979?",391,1.462,25,139373.19999998808,144405.89999997616,q,S,3042.900000035763,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Delaware,1,"Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?",38,1.836,26,144405.89999997616,148852.10000002384,q,S,2090.2000000476837,,,,,HRV,HRV_0201,2022-11-30 18:30:10
8 Mile Road ,4,"What road, which names a 2002 film, divides Wayne County from affluent Oakland and Maycomb Counties?",254,1.208,27,148852.10000002384,152252.5,q,S,1660.0999999642372,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Every jar of peanut butter must be at least 90% peanuts,4,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.32,28,152252.60000002384,155960.39999997616,p,K,1867.2999999523163,,,,,HRV,HRV_0201,2022-11-30 18:30:10
India,5,What's the only country outside Africa where lions still live in the wild?  ,307,0.576,29,155960.39999997616,160447.80000001192,q,S,3383.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Syzygy,3,What's the astronomical term for three celestial bodies aligning?   ,302,0.932,30,160447.80000001192,173306.19999998808,t,W,1808.300000011921,164780.69999998808,168798.0,,,HRV,HRV_0201,2022-11-30 18:30:10
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,5,What is the most fattening product in the modern diet?,457,1.876,31,173306.19999998808,178021.60000002384,q,S,2317.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
It causes sour foods subsequently consumed to taste sweet. ,2,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,0.741,32,178021.60000002384,189364.89999997616,t,W,3050.099999964237,183601.30000001192,187607.0,4,504.5,HRV,HRV_0201,2022-11-30 18:30:10
Ear ,6,"The pinna is the outer, visible part of what?",103,1.199,33,189365.0,192808.80000001192,q,S,1714.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Bumblebee bat,3,"Which mammal is the world's smallest, weighing less than a penny? ",347,1.249,34,192808.80000001192,196316.0,p,K,1718.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Belgium,7,Where were French fries invented?,437,0.762,35,196316.0,200177.69999998808,q,S,2571.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
James Brown,4,"When asked to define ""cool,"" what two words did James Brown use? ",312,1.748,36,200177.69999998808,205560.10000002384,p,K,3093.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Gilbert Van Camp ,2,What Indianapolis grocer made his name by selling canned pork and beans to U.S. troops during the Civil War?,187,1.295,37,205560.19999998808,209947.39999997616,q,S,2567.100000023842,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Canadian Oil,2,What is canola an abbreviation for?,436,1.772,38,209947.5,214493.19999998808,p,K,2251.899999976158,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The Guinness Book of World Records,3,What did Ross and Norris McWhirter compile as a promotional giveaway in 1955? ,164,1.613,39,214493.19999998808,218649.89999997616,q,S,2026.199999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Gary Busey,2,What actor campaigned against helmet laws until he was almost killed in a helmetless 1988 motorcycle accident?,127,1.079,40,218649.89999997616,221874.30000001192,p,K,1629.300000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The Hardy Boys ,2,"Who solves crimes in Bayport, located on Barmet Bay? ",374,1.645,41,221874.39999997616,225589.39999997616,q,S,1548.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Brazil,4,"The United States has more stars on its flag than any other country, with fifty. What nation is in second place, with twenty-seven?",108,0.797,42,225589.39999997616,229762.80000001192,q,S,2857.7000000476837,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Tse-tse fly,6,What transmits the disease typanosomiasis to humans and cattle? ,267,0.521,43,229762.89999997616,233568.80000001192,q,S,2764.2000000476837,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The budgerigar,3,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.146,44,233568.89999997616,236901.19999998808,p,K,1662.1000000238419,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Prairie dogs,5,"In 1900, Texas biologist Vernon Bailey discovered a network of tunnels the size of the state of Maryland. What had dug them?",51,0.531,45,236901.19999998808,239461.69999998808,q,S,1505.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Sudan,3,"Though an eleven-year ceasefire held from 1972 to 1983, what African country has been embroiled in a civil war since 1955?",115,1.72,46,239461.69999998808,243688.39999997616,q,S,1977.199999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
honey,5,Which is the only food that can never go off or go bad?,442,0.756,47,243688.39999997616,247193.69999998808,q,S,2230.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
lobster,7,Which expensive restaurant item used to be fed to pisinors and servants?,449,0.777,48,247193.69999998808,251658.60000002384,p,K,3165.199999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Ohio,1,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,1.854,49,251658.60000002384,255696.69999998808,p,K,1652.199999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Grace Kelly ,1,What was the name of the American actress who was first to appear on a postage stamp?  ,288,0.665,50,255696.69999998808,258778.89999997616,q,S,1902.1000000238419,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Rhesus antigens (Rh or RhD),1,"What is absent in ""negative"" blood types like O negative and AB negative? ",196,0.944,51,258778.89999997616,262149.60000002384,q,S,1907.9000000357628,,,,,HRV,HRV_0201,2022-11-30 18:30:10
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",5,Cooking which food requires over two years of training?,461,0.765,52,262149.60000002384,265404.0,p,K,1953.0999999642372,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Generals,2,Eleven U.S. presidents have been what before being elected?,36,0.557,53,265404.0,269272.5,q,S,2778.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
A jenny ,7,What is a female donkey called?,194,1.701,54,269272.5,281479.5,t,W,2894.100000023842,274691.10000002384,278709.10000002384,4,529.3999999761581,HRV,HRV_0201,2022-11-30 18:30:10
Orca (Killer Whale) ,3,Which is the largest species of dolphin? ,343,1.641,55,281479.60000002384,285504.8000000119,q,S,1855.0999999642372,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Temple Prostitute,1,"Anciently, what was the job description of a ""hierodule""?",21,1.877,56,285504.8000000119,289696.3000000119,q,S,1781.5999999642372,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Arthur Conan Doyle,4,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,1.844,57,289696.3000000119,293613.6999999881,q,S,1550.0999999642372,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Equal Employment Opportunity Commission ,2,"What federal agency, which targets workplace discrimination, was chaired by Clarence Thomas for most of the 1980s?",176,0.555,58,293613.6999999881,297187.5,q,S,2488.600000023842,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Shoe sizes,4,"In Europe, but not the U.S., what are measured in ""Paris Points""?",59,0.586,59,297187.60000002384,300076.39999997616,q,S,1778.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Grover Cleveland ,5,Who was the only U.S. president to have been married in the White House? ,385,1.358,60,300076.39999997616,304106.3000000119,q,S,2145.900000035763,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Monday,5,The risk of heart attack is highest on which day of the week?,104,1.85,61,304106.3000000119,317574.8000000119,t,W,3347.899999976158,309985.39999997616,314002.5,5,1179.6000000238419,HRV,HRV_0201,2022-11-30 18:30:10
Copperhead snake,1,Which poisonous snake smells like fresh cut cucumbers? ,350,1.254,62,317574.89999997616,328817.1999999881,t,W,2143.400000035763,322240.1999999881,326250.6999999881,5,787.1999999880791,HRV,HRV_0201,2022-11-30 18:30:10
Mung beans ,6,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.304,63,328817.1999999881,332276.1999999881,q,S,1620.9000000357628,,,,,HRV,HRV_0201,2022-11-30 18:30:10
over 10 billion donuts. ,7,How many donuts are concumed in the US every year?,463,0.882,64,332276.1999999881,335910.5,q,S,2225.600000023842,,,,,HRV,HRV_0201,2022-11-30 18:30:10
It sits beside the Finger Lakes ,6,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,1.803,65,335910.5,340222.1999999881,p,K,1983.3999999761581,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The nock,4,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.436,66,340222.1999999881,344381.3000000119,p,K,2199.600000023842,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Aerie,2,What name is given to an eagle's nest?   ,235,1.851,67,344381.3000000119,349126.5,q,S,2368.399999976158,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Library of Congress,3,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?",48,1.889,68,349126.60000002384,354741.60000002384,q,S,3199.2999999523163,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Lightning strike,3,Carnivorous animals will not eat another animal that has been killed by what means?,29,1.753,69,354741.60000002384,359338.3000000119,p,K,2320.0,,,,,HRV,HRV_0201,2022-11-30 18:30:10
As Good As It Gets ,5,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,1.421,70,359338.3000000119,372342.10000002384,t,W,3435.399999976158,365305.1999999881,369320.1999999881,3,1077.300000011921,HRV,HRV_0201,2022-11-30 18:30:10
Saffron,6,What is the most expensive spice (by weight) in the world?,431,1.535,71,372342.10000002384,377028.10000002384,q,S,2623.399999976158,,,,,HRV,HRV_0201,2022-11-30 18:30:10
UFOs,7,What was studied by Project Blue Book?   ,279,0.614,72,377028.10000002384,380440.8000000119,p,K,2289.199999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Matches,6,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,0.663,73,380440.89999997616,383976.0,q,S,2332.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Newborns ,5,The apgar score is used to measure the color and condition of what? ,91,1.407,74,383976.0,388522.5,p,K,2613.300000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Coca-Cola,7,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.462,75,388522.5,394775.8000000119,p,K,4274.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Avocado,2,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.918,76,394775.8000000119,408712.1999999881,t,W,4277.399999976158,401581.3000000119,405597.39999997616,4,671.8000000119209,HRV,HRV_0201,2022-11-30 18:30:10
Peregrine falcon,6,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,1.298,77,408712.3000000119,413307.60000002384,q,S,2772.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Darwin's,4,"For his tenacity, 19th century biologist Thomas Huxley was nicknamed whose ""bulldog""?",40,0.594,78,413307.60000002384,417799.89999997616,q,S,3377.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
"The code is ""SUX"" ",7,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,0.634,79,417800.0,421740.3000000119,q,S,2772.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Fiber is the gut bacteria's preferred fuel source. ,2,What food is most beneficial for your gut bacteria?,458,1.094,80,421740.3000000119,437273.8000000119,t,W,5480.699999988079,429746.10000002384,433766.39999997616,5,1894.300000011921,HRV,HRV_0201,2022-11-30 18:30:10
ZZ Top,1,What musical group chose their name deliberately so that they would appear last in alphabetical listings?,234,0.719,81,437273.8000000119,442600.3000000119,q,S,4091.0,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Oliver!,3,What's the only Best Picture Oscar winner whose title ends with an exclamation point?  ,306,1.391,82,442600.3000000119,446195.39999997616,q,S,1684.300000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Broccoli! ,3,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,0.897,83,446195.39999997616,449855.60000002384,q,S,2233.2000000476837,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Pressure,1,What is measured in millibars? ,202,0.775,84,449855.6999999881,454302.6999999881,p,K,3140.900000035763,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Betty Rubble,2,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,1.348,85,454302.6999999881,458160.1999999881,q,S,1989.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Happy Birthday,3,What was the first song ever performed in outer space? ,285,1.056,86,458160.3000000119,470898.5,t,W,3708.099999964237,464385.5,468410.10000002384,4,898.6999999880791,HRV,HRV_0201,2022-11-30 18:30:10
Throat,3,Where in the human body is the only bone that is not jointed to another?  ,317,1.574,87,470898.5,476709.60000002384,p,K,3705.699999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
South Africa,6,In what country was the largest rough diamond ever discovered?,62,1.909,88,476709.6999999881,480718.39999997616,q,S,1582.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
George Marshall,5,What future secretary of state became America's first five-star general in December 1944? ,181,1.905,89,480718.39999997616,484702.0,q,S,1566.0,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Speed of wind,2,What does an anemometer measure? ,168,1.289,90,484702.0,488254.39999997616,q,S,1742.199999988079,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Museum of Modern Art in NYC ,7,"Which museum hung Matisse's ""Le Bateau"" upsidedown for more than a month, until an art student noticed the error?",348,1.158,91,488254.39999997616,492365.0,q,S,2429.7000000476837,,,,,HRV,HRV_0201,2022-11-30 18:30:10
cheese ,2,What item of food holds the world record for being the most stolen item of food in the world?,444,1.549,92,492365.0,505000.3000000119,t,W,2943.300000011921,497828.8000000119,501850.3000000119,4,1073.5999999642372,HRV,HRV_0201,2022-11-30 18:30:10
Tea leaves,3,Tasseomancy is a method of fortune telling that primarily uses what? ,418,1.564,93,505000.3000000119,509374.10000002384,q,S,2283.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Phosphorus,5,"What element did alchemist Hennig Brand discover in 1669 when, boiling his own urine in the hopes of making gold, he observed glowing fumes?",169,0.635,94,509374.10000002384,521447.1999999881,t,W,3765.699999988079,515659.8000000119,519676.0,3,607.8999999761581,HRV,HRV_0201,2022-11-30 18:30:10
Adam,1,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.416,95,521447.1999999881,526952.8000000119,q,S,3548.5,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Don Adams,7,Who provided the voice for cartoon character Inspector Gadget? ,372,0.982,96,526952.8000000119,531208.8999999762,q,S,2738.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Oxygen,7,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,0.615,97,531209.0,534367.0,q,S,2010.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Zinfindel,6,"What grape, used to make a popular California wine, is called Primitivo in Europe?  ",403,1.233,98,534367.0,538170.6000000238,q,S,2060.600000023842,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Nuclear Disarmament,5,"The famous ""peace symbol"" was designed to combine the semaphoe positions for N and D. What do the N and D stand for?",97,1.439,99,538170.6000000238,542286.5,q,S,2152.899999976158,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Arkansas ,6,Where is the only active diamond mine in the U.S.?,320,0.56,100,542286.5,546185.5,q,S,2820.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Molasses,5,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",10,1.593,101,546185.5,559015.3000000119,t,W,3281.899999976158,551993.5,555998.0,3,893.3000000119209,HRV,HRV_0201,2022-11-30 18:30:10
Ostrich,6,Which animal's eyes are bigger than its brain?   ,327,0.775,102,559015.3000000119,572029.8000000119,t,W,3595.899999976158,565136.1000000238,569153.5,3,1569.699999988079,HRV,HRV_0201,2022-11-30 18:30:10
Lolita by Vladimir Nabokov,5,"""Don't Stand So Close to Me"" by the Police was inspired by what literary work?",3,1.914,103,572029.8000000119,576962.8000000119,q,S,2493.300000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The bishop,7,Which chess piece was originally called 'the elephant'? ,334,1.08,104,576962.8999999762,580156.1999999881,q,S,1584.1000000238419,,,,,HRV,HRV_0201,2022-11-30 18:30:10
The Oxford English Dictionary,6,"W.C. Minor, a murderer, spent the last decades of his life in an insane asylum writing hundreds of entries for what reference work? ",121,1.765,105,580156.1999999881,584764.3999999762,q,S,2326.800000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
On a Jell-O box,1,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.693,106,584764.6000000238,587850.6999999881,q,S,1886.3999999761581,,,,,HRV,HRV_0201,2022-11-30 18:30:10
North Korea,4,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",120,1.18,107,587850.6999999881,592929.6999999881,p,K,3392.300000011921,,,,,HRV,HRV_0201,2022-11-30 18:30:10
Penny Marshall,7,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,1.201,108,592929.6999999881,605790.3000000119,t,W,4001.199999988079,599462.0,603489.1999999881,3,577.8000000119209,HRV,HRV_0201,2022-11-30 18:30:10
