Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,C_TrialEnd,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Choking on food,1,"Each year, approximately 125 people die of what? ",417,0.531,25,170286.40000009537,,172867.09999990463,p,K,1527.0999999046326,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Air bags,4,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",84,1.603,26,172867.09999990463,,176996.79999995232,p,K,1989.3000001907349,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The crust and the mantle,5,"The ""Mohorovicic discontinuity"" divides what two outer layers of the earth?",87,0.604,27,176996.79999995232,,180444.20000004768,q,S,2314.7999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The Super Bowl ,7,What rubber Wham-O toy inspired the name of one of the world's largest sporting events? ,255,1.461,28,180444.29999995232,,183963.09999990463,q,S,1521.5,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Boston Tea Party,7,"The Dartmouth, the Eleanor,  and the Beaver were the three ships on which what famous event from American history occurred?",94,0.943,29,183963.09999990463,,194585.5,t,W,1792.9000000953674,188280.70000004768,192300.5,5,815.0999999046326,HRV,HRV_0115,2022-11-30 17:58:04
The popsicle,2,Which popular treat was invented by an 11-year-old in California? ,413,0.95,30,194585.5,,205886.79999995232,t,W,1908.5999999046326,199038.70000004768,203054.29999995232,2,1348.1000001430511,HRV,HRV_0115,2022-11-30 17:58:04
Czechoslovakia,6,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.502,31,205886.79999995232,,209493.29999995232,p,K,1569.2000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Mountain Dew,4,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.227,32,209493.29999995232,,213326.20000004768,q,S,2085.7000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
UFOs,6,What was studied by Project Blue Book?   ,279,1.21,33,213326.29999995232,,218328.20000004768,p,K,3277.7999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The Blair Witch Project,3,"What 1990's movie was filmed on a budget of $60,000 but grossed over $100 million? ",125,0.617,34,218328.20000004768,,222840.0,p,K,3326.7999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Copperhead snake,4,Which poisonous snake smells like fresh cut cucumbers? ,350,1.512,35,222840.09999990463,,226871.29999995232,q,S,2007.6000001430511,,,,,HRV,HRV_0115,2022-11-30 17:58:04
A sneeze,3,The air expelled from what can travel at 100 mph?,90,0.531,36,226871.40000009537,,230079.5,p,K,2165.899999856949,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The budgerigar,5,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.963,37,230079.59999990463,,234145.0,q,S,1573.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
60 fragments per 100 gram ,4,What amount of insects does the FDA allow in chocolate,453,1.788,38,234145.0,,238226.20000004768,q,S,1764.7999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Matches,5,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,1.614,39,238226.20000004768,,242197.40000009537,p,K,1829.0999999046326,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Orville Wright,1,Who was flying the plane in which the first US airplane fatality occurred? ,377,1.703,40,242197.40000009537,,253671.70000004768,t,W,1695.3999998569489,246417.09999990463,250429.0,1,1022.5999999046326,HRV,HRV_0115,2022-11-30 17:58:04
Fiber is the gut bacteria's preferred fuel source. ,1,What food is most beneficial for your gut bacteria?,458,1.395,41,253671.79999995232,,264718.40000009537,t,W,1547.7999999523163,257739.20000004768,261747.90000009537,5,1053.1999998092651,HRV,HRV_0115,2022-11-30 17:58:04
AstroTurf ,4,"What was originally sold in 1965 under the name ""Chemgrass""?  ",277,0.597,42,264718.40000009537,,267536.90000009537,p,K,1690.1999998092651,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Pearl Harbor ,3,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,1.741,43,267536.90000009537,,271714.40000009537,p,K,1917.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
honey,1,Which is the only food that can never go off or go bad?,442,1.424,44,271714.40000009537,,277231.7999999523,q,S,3565.399999856949,,,,,HRV,HRV_0115,2022-11-30 17:58:04
India,4,What's the only country outside Africa where lions still live in the wild?  ,307,1.383,45,277232.0,,290426.2000000477,t,W,3477.2999999523163,283246.7999999523,287286.59999990463,5,1228.6000001430511,HRV,HRV_0115,2022-11-30 17:58:04
Mae West,2,"Because her name became a slang term for a life preserver, who is the only actress whose name is an entry in Merriam-Webster's?",26,1.106,46,290426.2000000477,,293955.90000009537,p,K,1901.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Sepia,5,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,0.604,47,293956.09999990463,,296661.7000000477,q,S,1582.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Social Security,1,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.41,48,296661.7000000477,,307947.5,t,W,1775.0,300977.2999999523,304998.7999999523,4,1017.2999999523163,HRV,HRV_0115,2022-11-30 17:58:04
The Galapagos Islands ,1,What islands are home to most of the world's blue-footed boobies? ,216,1.043,49,307947.5,,319077.2000000477,t,W,2080.0999999046326,312551.7999999523,316565.40000009537,4,935.5999999046326,HRV,HRV_0115,2022-11-30 17:58:04
Pepper and Mustard,6,What are the top two most popular spices in the world?,422,0.571,50,319077.2000000477,,321942.0,q,S,1777.0999999046326,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Brigham Young University,4,What is the most sober school according to The Princeton Review? ,206,0.669,51,321942.0,,325157.7999999523,q,S,2021.7000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
A truce ,7,What was put in place by the Ancient Greeks before and during all Olympic festivals? ,278,1.961,52,325157.7999999523,,329372.0,p,K,1724.1000001430511,,,,,HRV,HRV_0115,2022-11-30 17:58:04
"Intercourse, Pennsylvania",6,"What Amish country village in Pennsylvania, where ""Witness"" was filmed, is a frequent victim of street-sign theft?",130,1.027,53,329372.09999990463,,332482.7999999523,p,K,1562.8000001907349,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Claudius,4,Which Roman emperor had a speech impediment?  ,351,1.07,54,332482.7999999523,,335979.40000009537,q,S,1858.2000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Adding olive juice,5,What turns a plain martini into a dirty martini?,440,0.656,55,335979.40000009537,,339137.40000009537,p,K,1976.6999998092651,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Mexico ,1,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ",65,1.469,56,339137.40000009537,,350387.7999999523,t,W,1860.0,343514.59999990463,347535.7000000477,3,857.2999999523163,HRV,HRV_0115,2022-11-30 17:58:04
On a Jell-O box,5,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.57,57,350387.7999999523,,353470.7000000477,q,S,1967.2999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Tuxedo Club ,5,What New York country club lent its name to the kind of dinner jacket first worn there in 1886?  ,238,1.205,58,353471.09999990463,,356951.09999990463,q,S,1751.4000000953674,,,,,HRV,HRV_0115,2022-11-30 17:58:04
San Fancisco,4,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.444,59,356951.2000000477,,360983.2000000477,p,K,2061.5999999046326,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The names of the Great Lakes ,7,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,1.093,60,360983.2000000477,,364879.5,q,S,2270.2999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Ostrich,3,Which animal's eyes are bigger than its brain?   ,327,1.772,61,364879.59999990463,,376584.2999999523,t,W,1767.9000000953674,369169.2999999523,373181.0,4,1114.2000000476837,HRV,HRV_0115,2022-11-30 17:58:04
Cell,5,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,0.69,62,376584.2999999523,,379804.2999999523,p,K,2003.9000000953674,,,,,HRV,HRV_0115,2022-11-30 17:58:04
OutKast,5,Who was sued in 1999 by Rosa Parks after they used her name to title a hit song?  ,379,1.052,63,379804.2999999523,,383480.7999999523,q,S,2102.7999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
The Hardy Boys ,4,"Who solves crimes in Bayport, located on Barmet Bay? ",374,1.99,64,383481.0,,388094.59999990463,p,K,2094.7999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Monday,2,The risk of heart attack is highest on which day of the week?,104,0.797,65,388094.59999990463,,398831.5,t,W,1621.4000000953674,392232.2000000477,396250.90000009537,3,1265.2999999523163,HRV,HRV_0115,2022-11-30 17:58:04
popscicle,6,What food was invented by an 11 year old in 1905?,450,1.718,66,398831.59999990463,,402999.2999999523,p,K,1938.5,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Pig,6,What is the only type of animal besides a human that can get a sunburn?,212,1.33,67,402999.2999999523,,406625.0,p,K,1756.1000001430511,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Rechargeable batteries,5,"Three quarters of the cadmium mined annually is used, with nickel, to make what household items?",117,1.395,68,406625.2000000477,,410405.0,p,K,1836.8999998569489,,,,,HRV,HRV_0115,2022-11-30 17:58:04
a spit,3,"If something is described as rotisserie, what has it been cooked on?",428,1.948,69,410405.0,,422159.59999990463,t,W,1631.5,414565.7999999523,418570.40000009537,4,1113.0999999046326,HRV,HRV_0115,2022-11-30 17:58:04
cooking,5,"If you suffer from Mageirocophobia, what are you scared of?",438,0.522,70,422159.59999990463,,425115.7000000477,q,S,1920.1000001430511,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Lou Gehrig,2,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,0.556,71,425115.7000000477,,436963.90000009537,t,W,3031.7999999523163,430667.5,434673.2999999523,4,1216.0,HRV,HRV_0115,2022-11-30 17:58:04
The Discovery,7,Which space shuttle is named for the ship on which Robert Scott first sailed to Antarctica? ,352,1.841,72,436964.0,,441057.40000009537,p,K,1732.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Egypt,1,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ",63,0.825,73,441057.40000009537,,451869.7000000477,t,W,1868.7999999523163,445477.90000009537,449486.40000009537,4,1041.3999998569489,HRV,HRV_0115,2022-11-30 17:58:04
Mushrooms which have been exposed to light,2,What is the only non-animal natural source of vitamin D?,459,1.972,74,451869.7000000477,,463615.7000000477,t,W,1726.2000000476837,456119.90000009537,460133.0,4,993.9000000953674,HRV,HRV_0115,2022-11-30 17:58:04
Butt,6,The adjective callipygian refers to someone who has a beautiful what? ,88,0.632,75,463615.7999999523,,466464.7000000477,p,K,1703.7999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Pachyderm,2,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.036,76,466464.7000000477,,477640.5,t,W,1969.0,471014.2000000477,475023.90000009537,3,1048.6999998092651,HRV,HRV_0115,2022-11-30 17:58:04
Buck,5,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,1.221,77,477640.5,,481127.59999990463,p,K,1760.9000000953674,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Martin Luther King Jr. ,1,What civil rights leader did Dorothy Parker leave the bulk of her estate to?,149,1.426,78,481127.59999990463,,492577.5,t,W,1753.7000000476837,485406.7000000477,489429.7000000477,5,1188.0,HRV,HRV_0115,2022-11-30 17:58:04
Canadian Oil,7,What is canola an abbreviation for?,436,0.91,79,492577.59999990463,,495920.7000000477,q,S,1924.1000001430511,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Queen Isabella I ,6,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",50,1.577,80,495920.7000000477,,499866.2000000477,q,S,1849.2000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Generals,1,Eleven U.S. presidents have been what before being elected?,36,0.72,81,499866.2999999523,,510676.09999990463,t,W,1608.7000000476837,503997.40000009537,508012.40000009537,5,1407.6999998092651,HRV,HRV_0115,2022-11-30 17:58:04
Bruce Springsteen's Born in the USA ,6,What was the first CD pressed for commerical release in the U.S.?,282,0.827,82,510676.09999990463,,513950.90000009537,p,K,1931.8000001907349,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Broccoli! ,7,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.641,83,513951.0,,518483.7000000477,p,K,2358.2999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Sixteenth,4,Which Constitutional Amendment deals with the income tax? ,336,0.895,84,518483.7000000477,,521458.2999999523,q,S,1552.8999998569489,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Odor Eaters ,7,What product did Herbert Lapidus invent in 1974 by impregnanting latex rubber with coconut charcoal?,248,1.461,85,521458.2999999523,,525346.5999999046,p,K,1907.6000001430511,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Peregrine falcon,4,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?",60,1.159,86,525346.5999999046,,529211.5,q,S,2182.800000190735,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Cricket,2,"What sport used the term ""home run"" long before baseball?  ",260,1.761,87,529211.5,,540360.0,t,W,1716.7999999523163,533463.2000000477,537475.7999999523,4,609.5,HRV,HRV_0115,2022-11-30 17:58:04
Bhutan,2,"Thimpu, the world's only capital city with no traffic lights, is the capital of what tiny kingdom?",114,0.616,88,540360.0,,550728.0999999046,t,W,2147.5,545073.7999999523,549084.5,3,515.0999999046326,HRV,HRV_0115,2022-11-30 17:58:04
A jenny ,4,What is a female donkey called?,194,1.439,89,550728.0999999046,,555662.2999999523,q,S,2968.9000000953674,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Speed of wind,4,What does an anemometer measure? ,168,1.68,90,555662.4000000954,,560192.0999999046,p,K,2337.399999856949,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Sri Lanka,5,"The word serendipity comes from Serendip, the Persian name for what island? ",109,1.596,91,560192.2000000477,,564631.7000000477,q,S,2336.5999999046326,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Ozone,5,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,0.919,92,564631.7000000477,,567656.2999999523,p,K,1591.0,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Louisiana's,7,What U.S. state's civil law is most closely based on the Napoleonic Code?  ,272,1.314,93,567656.4000000954,,571239.7999999523,q,S,1731.0999999046326,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Avocado,6,Pet parrots can eat most human foods except chocolate and which pitted food?  ,398,1.799,94,571239.9000000954,,575296.4000000954,q,S,1744.2999999523163,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Black,7,What color lipstick did silent movie stars wear?  ,151,0.669,95,575296.5,,578120.4000000954,p,K,1638.5,,,,,HRV,HRV_0115,2022-11-30 17:58:04
New Jersey's Rutgers,6,Which U.S. state's leading public university is the only one not to be named for the state?  ,357,1.655,96,578120.5,,581878.2999999523,p,K,1576.5999999046326,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Avocados have twice the amount of potassium as bananas. ,6,Which fruit has more potassium than bananas?,455,1.822,97,581878.2999999523,,586122.5,p,K,1896.7000000476837,,,,,HRV,HRV_0115,2022-11-30 17:58:04
Dragees,2,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.961,98,586122.5,,597871.5,t,W,2127.4000000953674,590803.5,594833.9000000954,4,551.6999998092651,HRV,HRV_0115,2022-11-30 17:58:04
Orca (Killer Whale) ,3,Which is the largest species of dolphin? ,343,0.807,99,597871.5,,610033.0999999046,t,W,3294.7000000476837,603694.9000000954,607716.4000000954,5,951.5,HRV,HRV_0115,2022-11-30 17:58:04
